tribe_id,canonical_name,entity_class,state,funding,federal-register,legislation,deals,nagpra,lobbying,contractors,subcontracting,native-owned-businesses,natural-resources,nonprofits,gaming,collections_present,total_rows
ANRC-ARCSLO-00,Arctic Slope Regional Corporation,Alaska Native Regional Corporation,AK,420,13,0,46,8,453,272028,6164,0,27,3,0,9,279162
ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",Alaska Native Regional Corporation,AK,32,0,0,15,3,166,140098,241,0,53,2,0,8,140610
ANVC-AFOGNA-00,Afognak Native Corporation,Alaska Native Village Corporation,AK,0,1,0,3,24,5,105701,5243,0,0,3,0,7,110980
ANRC-CHGCCO-00,Chugach Alaska Corporation,Alaska Native Regional Corporation,AK,130,20,1,14,43,315,104897,3982,0,35,3,0,10,109440
TRBF-BLULKE-00,Blue Lake,Federally recognized tribe,CA,283,2,0,3,24,67,107257,23,0,0,21,795,9,108475
TRBF-CHKNAT-00,Cherokee Nation,Federally recognized tribe,OK,1781,112,0,17,583,654,98593,1344,0,0,53,4265,9,107402
AKNF-INPTBW-00-ARCSLO,Barrow,Federally recognized Alaska Native Village,AK,446,14,1,0,63,2,105166,152,0,0,8,0,8,105852
ANRC-BRBYCO-00,Bristol Bay Native Corporation,Alaska Native Regional Corporation,AK,570,25,0,17,8,258,87899,956,0,25,10,0,9,89768
ANVC-CHENEG-00,Chenega Corporation,Alaska Native Village Corporation,AK,0,0,0,10,0,0,63324,37,0,0,0,0,3,63371
TRBF-CHKSWN-00,The Chickasaw Nation,Federally recognized tribe,OK,1642,113,0,40,561,553,39341,132,0,0,74,10956,9,53412
TRBF-WNNBGO-00,Winnebago,Federally recognized tribe,NE,1096,44,0,7,356,441,40239,26,0,0,113,718,9,43040
ANVC-KPVKPT-00,Ukpeaġvik Iñupiat Corporation,Alaska Native Village Corporation,AK,0,0,0,8,4,6,41141,257,0,0,4,0,6,41420
TRBF-CSKTFR-00,Confederated Salish,Federally recognized tribe,MT,3154,25,0,12,70,342,31230,32,0,0,7,1221,9,36093
TRBF-MHATAT-00,Three Affiliated,Federally recognized tribe,ND,1077,74,2,7,459,453,29516,188,0,1645,16,1011,11,34448
ANVC-OLGOON-00,Olgoonik Corporation,Alaska Native Village Corporation,AK,5,2,2,3,0,4,33652,2,0,0,0,0,7,33670
ANVC-KYTLTS-00,"K'oyitl'ots'ina, Ltd.",Alaska Native Village Corporation,AK,0,0,0,0,0,0,33146,2,0,0,0,0,2,33148
ANVC-GLDBLT-00,"Goldbelt, Incorporated",Alaska Native Village Corporation,AK,0,2,0,0,0,5,31371,6,0,0,4,0,5,31388
ANRC-CKINLT-00,"Cook Inlet Region, Incorporated",Alaska Native Regional Corporation,AK,605,0,0,12,5,365,28784,254,0,47,4,1,9,30077
TRBF-CTWNAT-00,The Choctaw Nation of Oklahoma,Federally recognized tribe,OK,1733,87,0,6,367,751,19685,10,0,0,19,7200,9,29858
ANRC-BERSTR-00,Bering Straits Native Corporation,Alaska Native Regional Corporation,AK,90,23,0,8,7,315,27634,368,0,16,5,1,10,28467
ANRC-CALSTA-00,Calista Corporation,Alaska Native Regional Corporation,AK,37,99,0,8,7,455,24899,890,0,18,3,0,9,26416
ANRC-KONIAG-00,"Koniag, Incorporated",Alaska Native Regional Corporation,AK,0,7,0,14,58,109,24574,2,0,26,2,0,8,24792
TRBF-NAVAJO-00,Navajo,Federally recognized tribe,AZ,4411,251,46,5,456,630,16001,7,0,117,65,1545,11,23534
ANVC-EYAKXX-00,Eyak Corporation,Alaska Native Village Corporation,AK,2,0,0,0,0,1,22043,213,0,0,2,0,5,22261
TRBF-HLTNML-00,Houlton,Federally recognized tribe,ME,517,9,0,0,74,9,18299,4,0,0,12,0,7,18924
ANRC-AHTNAI-00,"Ahtna, Incorporated",Alaska Native Regional Corporation,AK,115,14,0,9,0,127,18559,8,0,9,4,0,8,18845
TRBF-PSKNML-00,Paskenta,Federally recognized tribe,CA,107,3,0,0,64,141,17397,48,0,0,9,770,8,18539
ANRC-ALEUTC-00,Aleut Corporation,Alaska Native Regional Corporation,AK,0,23,3,7,37,180,18104,21,0,33,10,0,9,18418
AKNF-VEAGLE-00-DOYONL-TNNACH,Eagle,Federally recognized Alaska Native Village,AK,54,143,0,3,3,1,17438,83,0,0,15,0,8,17740
TRBF-SNCNAT-00,Seneca,Federally recognized tribe,NY,797,66,0,20,344,560,12661,1,0,0,272,2380,9,17101
ANVC-OUZINK-00,Ouzinkie Native Corporation,Alaska Native Village Corporation,AK,0,0,0,0,17,1,15297,99,0,0,0,0,4,15414
ANVC-TATITL-00,The Tatitlek Corporation,Alaska Native Village Corporation,AK,1,1,0,0,0,3,13764,5,0,0,2,0,6,13776
TRBF-ONDAWI-00,Oneida Nation (Wisconsin),Federally recognized tribe,WI,698,15,0,0,103,321,10728,38,0,0,7,1739,8,13649
ANRC-DOYONL-00,"Doyon, Limited",Alaska Native Regional Corporation,AK,10,77,0,12,3,572,11068,922,0,24,6,0,9,12694
AKNF-PRBLFC-00,Pribilof Islands,Federally recognized Alaska Native Village,AK,359,17,0,0,10,0,10900,793,0,0,4,0,6,12083
ANVC-TYONE1-00,The Tyonek Native Corporation,Alaska Native Village Corporation,AK,8,0,0,0,0,2,11780,202,0,0,0,0,4,11992
TRBF-MSENAT-00,The Muscogee (Creek) Nation,Federally recognized tribe,OK,1485,116,0,9,715,292,5492,3,0,0,18,3344,9,11474
TRBF-DELAWN-00,Delaware Nation,Federally recognized tribe,OK,280,96,1,7,414,23,9694,1,0,0,15,742,10,11273
TRBF-TEMOAK-00,Te-Moak,Federally recognized tribe,NV,247,8,0,4,124,49,9362,9,0,0,12,1,9,9816
TRBF-FSTCTY-00,Forest County,Federally recognized tribe,WI,717,22,0,7,0,564,7291,2,0,0,14,191,8,8808
ANVC-NTVSKD-00,"Natives of Kodiak, Inc.",Alaska Native Village Corporation,AK,0,0,0,0,24,0,7623,975,0,0,2,0,4,8624
TRBF-CADDON-00,Caddo,Federally recognized tribe,OK,442,61,0,0,362,9,7536,7,0,0,32,51,8,8500
ANVC-KKKTGR-00,Kikiktagruk Inupiat Corporation,Alaska Native Village Corporation,AK,8,3,0,0,0,0,8081,1,0,0,2,0,5,8095
TRBF-OSAGEN-00,The Osage Nation,Federally recognized tribe,OK,1180,67,0,9,452,326,2820,3,0,177,58,2842,10,7934
TRBF-OKYOWG-00,Ohkay Owingeh,Federally recognized tribe,NM,400,68,2,9,205,103,6846,1,0,1,36,228,11,7899
AKNF-ARCTIC-00-DOYONL-CATHTG-TNNACH-VENTGV,Arctic Village,Federally recognized Alaska Native Village,AK,75,1,0,2,0,0,7701,1,0,1,22,0,7,7803
TRBF-WYNDTT-00,Wyandotte Nation,Federally recognized tribe,OK,469,35,0,8,179,161,5609,1,0,0,42,1106,9,7610
ANVC-SITNAS-00,Sitnasuak Native Corporation,Alaska Native Village Corporation,AK,5,6,0,4,0,1,7332,17,0,0,2,3,8,7370
ANVC-CHGGNG-00,"Choggiung, Ltd.",Alaska Native Village Corporation,AK,0,0,0,2,0,0,6150,1155,0,0,4,0,4,7311
TRBF-POARCH-00,Poarch,Federally recognized tribe,AL,501,73,8,12,324,554,4320,6,0,0,13,1492,10,7303
ANRC-SEALSK-00,Sealaska Corporation,Alaska Native Regional Corporation,AK,292,13,0,29,17,431,6376,25,0,20,2,0,9,7205
TRBF-OMAHAT-00,Omaha,Federally recognized tribe,NE,5997,103,0,3,272,18,155,3,0,0,28,362,9,6941
TRBF-ONDANY-00,Oneida,Federally recognized tribe,NY,302,20,0,16,301,343,4722,504,0,0,19,457,9,6684
ANVC-LDHRBR-00,Old Harbor Native Corporation,Alaska Native Village Corporation,AK,0,1,0,3,20,3,6627,0,0,0,1,0,6,6655
ANVC-TNDGSX-00,Tanadgusix Corporation (TDX),Alaska Native Village Corporation,AK,11,0,0,0,4,0,6156,460,0,0,2,0,5,6633
TRBF-MSHNTK-00,Mashantucket Pequot,Federally recognized tribe,CT,462,15,1,4,52,257,76,1,0,0,11,5573,10,6452
TRBF-UMATLL-00,Umatilla Tribe,Federally recognized tribe,OR,901,53,0,3,392,183,4463,1,0,0,21,163,9,6180
TRBF-MHEGAN-00,Mohegan,Federally recognized tribe,CT,229,23,2,32,54,391,24,1,0,0,37,5229,10,6022
TRBF-SUQUAM-00,Suquamish,Federally recognized tribe,WA,534,25,0,3,76,311,4111,1,0,1,19,852,10,5933
TRBF-TURTLM-00,Turtle Mountain,Federally recognized tribe,ND,1865,36,0,4,272,118,2610,6,0,193,60,576,10,5740
TRBF-YLSTSR-00,Ysleta del Sur,Federally recognized tribe,TX,296,60,16,3,313,261,4680,3,0,0,16,20,10,5668
TRBF-THNODM-00,Tohono O'odham,Federally recognized tribe,AZ,1222,67,2,8,499,440,1722,1,0,0,30,1666,10,5657
CNSF-MINNCH-WE,White Earth,Federal-level constituency entity,MN,881,38,7,3,0,13,240,1,0,0,39,4350,9,5572
TRBF-MIAMIT-00,Miami Tribe of Oklahoma,Federally recognized tribe,OK,463,69,5,0,393,225,3484,1,0,0,11,909,9,5560
TRBF-WKWTOK-00,Wichita,Federally recognized tribe,OK,672,75,2,12,269,4,4044,2,0,0,61,344,10,5485
TRBF-COLVLL-00,Confederated Colville,Federally recognized tribe,WA,1039,55,2,8,339,380,2958,2,0,1,76,465,11,5325
TRBF-OGLALA-00,Oglala Sioux,Federally recognized tribe,SD,2558,57,5,12,273,472,936,1,0,0,32,966,10,5312
AKNF-INPTAS-00-ARCSLO,Inupiat,Federally recognized Alaska Native Village,AK,410,5,0,0,15,8,4753,58,0,0,12,0,7,5261
TRBF-MINNCH-00,Minnesota Chippewa,Federally recognized tribe,MN,254,21,5,0,711,50,4160,1,0,0,7,34,9,5243
TRBF-YAKAMA-00,Confederated Yakama,Federally recognized tribe,WA,2240,42,0,6,374,207,1541,1,0,0,44,772,9,5227
TRBF-SMNLFL-00,Seminole,Federally recognized tribe,FL,839,112,7,16,514,825,320,1,0,0,57,2513,10,5204
