pair_key,owner_note_snapshot,resolution_status,decision_status,decision_id,owner_disposition,owner_decided_by,owner_decided_on,evidence_fingerprint,generated_assessment,cedar_uid,entity_name,entity_class,business_uid,business_name,business_identifiers,relationship_meaning,evidence_urls,evidence_status,supporting_ledger_rows_json,verification_protocol
CE-000BX-55|CB-1016544,,UNRESOLVED,,,,,,7392a71924a7403c3130825a8ce7faa1139ffaab7d786bf004477b0a4deaaa2f,ATTRIBUTION_REFUTED_OR_EXCLUDED,CE-000BX-55,"Shee Atika, Incorporated",Alaska Native Village Corporation,CB-1016544,"SHEE ATIKA, INCORPORATED",UEI:LRJDF5JLG4X5,(none) via unmatched tier X: REFUTED_OR_EXCLUDED,,UEI:LRJDF5JLG4X5 url=MISSING quarantined=N/- excluded=YES,"[{""attribution_method"": ""unmatched"", ""canonical_name"": """", ""cedar_uid"": """", ""confidence_tier"": ""X"", ""crossgov_name_collision_basis"": """", ""crossgov_name_collision_disposition"": """", ""crossgov_name_collision_flag"": """", ""crossgov_name_collision_proposed_entity_id"": """", ""entity_class"": """", ""evidence_source_file"": """", ""evidence_url"": """", ""evidence_url_integrity"": """", ""exclusion_evidence"": ""https://cage.dla.mil/Search/Details?id=714349"", ""exclusion_id"": ""EXCL-0068"", ""identifier"": ""LRJDF5JLG4X5"", ""identifier_type"": ""UEI"", ""is_authority"": """", ""joint_ownership_flag"": """", ""joint_ownership_note"": """", ""legal_business_name"": ""Shee Atika, Incorporated"", ""method_quarantined"": ""N"", ""prime_dollars_M"": ""1.304"", ""quarantine_disposition"": """", ""quarantine_disposition_basis"": """", ""source_file"": ""master_tribal_entity_registry.csv"", ""state"": ""AK"", ""tier_rationale"": ""EXCLUDED by ruling EXCL-0068: nonprofit_not_tribally_owned"", ""tribe_id"": """", ""verified_date"": """"}]","sam.gov entity search: paste UEI LRJDF5JLG4X5; expect the legal business name Shee Atika, Incorporated itself"
CE-000C8-C8|CB-1012396,,UNRESOLVED,,,,,,6c0f8f86e0f216c505c0cd53734991ae960985cbf615045e0c78d9236e493fcb,CONFLICT_ATTRIBUTED_TO_OTHER_ENTITY,CE-000C8-C8,St. George Tanaq Corporation,Alaska Native Village Corporation,CB-1012396,ST GEORGE TANAQ CORP,CAGE:1Q0D3 | UEI:DD76ANKVJKY8,CE-00053-BV via cluster_v3 tier X: REFUTED_OR_EXCLUDED | CE-00053-BV via cross_dataset_propagation:contracting tier B: ATTRIBUTED_TO_OTHER_ENTITY,,UEI:DD76ANKVJKY8 url=MISSING quarantined=Y/WITHDRAW excluded=no | CAGE:1Q0D3 url=MISSING quarantined=N/- excluded=no,"[{""attribution_method"": ""cluster_v3"", ""canonical_name"": ""Pribilof Islands"", ""cedar_uid"": ""CE-00053-BV"", ""confidence_tier"": ""X"", ""crossgov_name_collision_basis"": """", ""crossgov_name_collision_disposition"": """", ""crossgov_name_collision_flag"": """", ""crossgov_name_collision_proposed_entity_id"": """", ""entity_class"": ""Federally recognized Alaska Native Village"", ""evidence_source_file"": ""sam_uei_to_tribe_assignment_v3.csv"", ""evidence_url"": """", ""evidence_url_integrity"": ""Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not."", ""exclusion_evidence"": """", ""exclusion_id"": """", ""identifier"": ""DD76ANKVJKY8"", ""identifier_type"": ""UEI"", ""is_authority"": """", ""joint_ownership_flag"": """", ""joint_ownership_note"": """", ""legal_business_name"": ""St George Tanaq Corporation"", ""method_quarantined"": ""Y"", ""prime_dollars_M"": ""0.097"", ""quarantine_disposition"": ""WITHDRAW"", ""quarantine_disposition_basis"": ""no rung of the corroboration ladder reached and the firm matched a FRAGMENT: `george` is one token of `Pribilof Islands`'s 7-token name (aleut|george|island|islands|paul|pribilof|saint). A fragment of a name is not a name (docs/ENTITY_MATCH_RULES.md, the opening defect table)"", ""source_file"": ""master_tribal_entity_registry.csv"", ""state"": ""AK"", ""tier_rationale"": ""WITHDRAWN 2026-09-02 by code/1079_quarantine_method_exposure.py. no rung of the corroboration ladder reached and the firm matched a FRAGMENT: `george` is one token of `Pribilof Islands`'s 7-token name (aleut|george|island|islands|paul|pribilof|saint). A fragment of a name is not a name (docs/ENTITY_MATCH_RULES.md, the opening defect table). This refuses THIS PAIRING and is not a ruling that the firm is non-Native (docs/ENTITY_MATCH_RULES.md). No exclusion_id is minted: data/spine/cedar_exclusion_rulings.csv is the owner's register."", ""tribe_id"": ""AKNF-PRBLFC-00"", ""verified_date"": ""2026-04-27""}, {""attribution_method"": ""cross_dataset_propagation:contracting"", ""canonical_name"": ""Pribilof Islands"", ""cedar_uid"": ""CE-00053-BV"", ""confidence_tier"": ""B"", ""crossgov_name_collision_basis"": """", ""crossgov_name_collision_disposition"": """", ""crossgov_name_collision_flag"": """", ""crossgov_name_collision_proposed_entity_id"": """", ""entity_class"": """", ""evidence_source_file"": """", ""evidence_url"": """", ""evidence_url_integrity"": """", ""exclusion_evidence"": """", ""exclusion_id"": """", ""identifier"": ""1Q0D3"", ""identifier_type"": ""CAGE"", ""is_authority"": """", ""joint_ownership_flag"": """", ""joint_ownership_note"": """", ""legal_business_name"": ""St. George Tanaq Corporation"", ""method_quarantined"": ""N"", ""prime_dollars_M"": """", ""quarantine_disposition"": """", ""quarantine_disposition_basis"": """", ""source_file"": ""contracting"", ""state"": """", ""tier_rationale"": ""Established in the contracting dataset on 2026-08-06 and absent from the ledger. Propagated, not researched; inherits that dataset's confidence, so tier B."", ""tribe_id"": ""AKNF-PRBLFC-00"", ""verified_date"": """"}]","cage.dla.mil: paste CAGE 1Q0D3; expect the registrant to be St. George Tanaq Corporation itself, not a subsidiary or parent"
CE-0009Z-7Q|CB-1004872,,UNRESOLVED,,,,,,3a14e1e336dfe2941a664ae34441e179b457d37e615d168ea57f2c6b0d4d0733,CONFLICT_ATTRIBUTED_TO_OTHER_ENTITY,CE-0009Z-7Q,Ukpeaġvik Iñupiat Corporation,Alaska Native Village Corporation,CB-1004872,UKPEAGVIK INUPIAT CORPORATION,CAGE:1V2A5 | UEI:KZMRSJJJN1L6,CE-0002B-CK via cross_dataset_propagation:contracting tier B: ATTRIBUTED_TO_OTHER_ENTITY | CE-0009Z-7Q via elijah_ruling_redirect tier B: QUARANTINE_WITHDRAW,,CAGE:1V2A5 url=MISSING quarantined=N/- excluded=no | UEI:KZMRSJJJN1L6 url=MISSING quarantined=Y/WITHDRAW excluded=no,"[{""attribution_method"": ""cross_dataset_propagation:contracting"", ""canonical_name"": ""Inupiat"", ""cedar_uid"": ""CE-0002B-CK"", ""confidence_tier"": ""B"", ""crossgov_name_collision_basis"": """", ""crossgov_name_collision_disposition"": """", ""crossgov_name_collision_flag"": """", ""crossgov_name_collision_proposed_entity_id"": """", ""entity_class"": """", ""evidence_source_file"": """", ""evidence_url"": """", ""evidence_url_integrity"": """", ""exclusion_evidence"": """", ""exclusion_id"": """", ""identifier"": ""1V2A5"", ""identifier_type"": ""CAGE"", ""is_authority"": """", ""joint_ownership_flag"": """", ""joint_ownership_note"": """", ""legal_business_name"": ""Ukpeagvik Inupiat Corporation"", ""method_quarantined"": ""N"", ""prime_dollars_M"": """", ""quarantine_disposition"": """", ""quarantine_disposition_basis"": """", ""source_file"": ""contracting"", ""state"": """", ""tier_rationale"": ""Established in the contracting dataset on 2026-08-06 and absent from the ledger. Propagated, not researched; inherits that dataset's confidence, so tier B."", ""tribe_id"": ""AKNF-INPTAS-00-ARCSLO"", ""verified_date"": """"}, {""attribution_method"": ""elijah_ruling_redirect"", ""canonical_name"": ""Ukpeaġvik Iñupiat Corporation"", ""cedar_uid"": ""CE-0009Z-7Q"", ""confidence_tier"": ""B"", ""crossgov_name_collision_basis"": """", ""crossgov_name_collision_disposition"": """", ""crossgov_name_collision_flag"": """", ""crossgov_name_collision_proposed_entity_id"": """", ""entity_class"": ""Federally recognized Alaska Native Village"", ""evidence_source_file"": ""sam_uei_to_tribe_assignment_v3.csv"", ""evidence_url"": """", ""evidence_url_integrity"": ""Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not."", ""exclusion_evidence"": """", ""exclusion_id"": """", ""identifier"": ""KZMRSJJJN1L6"", ""identifier_type"": ""UEI"", ""is_authority"": ""YES"", ""joint_ownership_flag"": """", ""joint_ownership_note"": """", ""legal_business_name"": ""Uic Development Company"", ""method_quarantined"": ""Y"", ""prime_dollars_M"": ""0.315"", ""quarantine_disposition"": ""WITHDRAW"", ""quarantine_disposition_basis"": ""no rung of the corroboration ladder reached and the firm matched a FRAGMENT: `inupiat` is one token of `Inupiat`'s 3-token name (arctic|inupiat|slope). A fragment of a name is not a name (docs/ENTITY_MATCH_RULES.md, the opening defect table)"", ""source_file"": ""review/agent_rulings_deals_2026-08-05.csv"", ""state"": ""AK"", ""tier_rationale"": ""Ruling applied in place 2026-09-03 by 174 from review/agent_rulings_deals_2026-08-05.csv; tier inherited (stated_on_ruling_row)"", ""tribe_id"": ""ANVC-KPVKPT-00"", ""verified_date"": ""2026-04-27""}]","cage.dla.mil: paste CAGE 1V2A5; expect the registrant to be Ukpeaġvik Iñupiat Corporation itself, not a subsidiary or parent"
CE-0009E-1E|CB-1015211,,UNRESOLVED,,,,,,a0c137e99ffba40fe8cbb9c006a8ba1a9a8336f8f8bf0e3b9ab877438e61551d,IDENTIFIER_NOT_IN_LEDGER,CE-0009E-1E,"Akhiok-Kaguyak, Inc.",Alaska Native Village Corporation,CB-1015211,"AKHIOK-KAGUYAK, INC.",UEI:LM6EN6AED963,"no ledger row; the ledger records attribution, never legal identity",,,[],"sam.gov entity search: paste UEI LM6EN6AED963; expect the legal business name Akhiok-Kaguyak, Inc. itself"
CE-0007M-V4|CB-1006980,,UNRESOLVED,,,,,,22e2eb0bf6360ca6099a2295cbf8dc51d1dab0b25d882ef8726ea0e9fc3701bb,IDENTIFIER_NOT_IN_LEDGER,CE-0007M-V4,Alakanuk Native Corporation,Alaska Native Village Corporation,CB-1006980,ALAKANUK NATIVE CORPORATION,UEI:KBSBRMMKYVF7,"no ledger row; the ledger records attribution, never legal identity",,,[],sam.gov entity search: paste UEI KBSBRMMKYVF7; expect the legal business name Alakanuk Native Corporation itself
CE-0007R-K8|CB-1004906,,UNRESOLVED,,,,,,0a48e0b9e119ddd08665fc7cc4cfd55e0eb1181f3b0b9697c55de0fc619a847f,IDENTIFIER_NOT_IN_LEDGER,CE-0007R-K8,Atxam Corporation,Alaska Native Village Corporation,CB-1004906,ATXAM CORPORATION,UEI:EJHYJMGWP7Y3,"no ledger row; the ledger records attribution, never legal identity",,,[],sam.gov entity search: paste UEI EJHYJMGWP7Y3; expect the legal business name Atxam Corporation itself
CE-0007Z-XQ|CB-1001005,,UNRESOLVED,,,,,,352b192563dfdf2e2a02eab29845c74af31e45713f639dd4a95653523c9fbf50,IDENTIFIER_NOT_IN_LEDGER,CE-0007Z-XQ,Baan O Yeel Kon Corporation,Alaska Native Village Corporation,CB-1001005,BAAN O YEEL KON CORPORATION,CAGE:1DUB9 | UEI:ZWR4BGFXLMR3,"no ledger row; the ledger records attribution, never legal identity",,,[],"cage.dla.mil: paste CAGE 1DUB9; expect the registrant to be Baan O Yeel Kon Corporation itself, not a subsidiary or parent"
CE-0007A-ZA|CB-1016143,,UNRESOLVED,,,,,,329f3a65fbbc8398db4f09a7b76473dc5138e0faf125af3174b66557a0602162,IDENTIFIER_NOT_IN_LEDGER,CE-0007A-ZA,Bristol Bay Native Corporation,Alaska Native Regional Corporation,CB-1016143,BRISTOL BAY NATIVE CORPORATION,UEI:PQUEL5MZFDJ3,"no ledger row; the ledger records attribution, never legal identity",,,[],sam.gov entity search: paste UEI PQUEL5MZFDJ3; expect the legal business name Bristol Bay Native Corporation itself
CE-00089-Y1|CB-1005696,,UNRESOLVED,,,,,,79c428db4068af58ab03acdc03cc7ddf58ba17b17ae97e01c4917752b36b9def,IDENTIFIER_NOT_IN_LEDGER,CE-00089-Y1,Chignik Lagoon Native Corporation,Alaska Native Village Corporation,CB-1005696,CHIGNIK LAGOON NATIVE CORPORATION,UEI:HZ8JCCY4N5E1,"no ledger row; the ledger records attribution, never legal identity",,,[],sam.gov entity search: paste UEI HZ8JCCY4N5E1; expect the legal business name Chignik Lagoon Native Corporation itself
CE-00095-BD|CB-1011137,,UNRESOLVED,,,,,,a3e8ccdd589cba2937b01338b104091882af1b0bc09eb6e0a1f086299021a02d,IDENTIFIER_NOT_IN_LEDGER,CE-00095-BD,Huna Totem Corporation,Alaska Native Village Corporation,CB-1011137,HUNA TOTEM CORP,UEI:H9NJJ5NGLL31,"no ledger row; the ledger records attribution, never legal identity",,,[],sam.gov entity search: paste UEI H9NJJ5NGLL31; expect the legal business name Huna Totem Corporation itself
