owner_rank,owner_entity_id,owner_name,owner_class,owner_entity_class_as_recorded,owner_state,owner_obligations_usd,owner_share_of_publishable_pct,owner_n_operating_companies,owner_n_identifiers,owner_n_uei_links,owner_first_fy,owner_last_fy,owner_native_setaside_usd,owner_8a_usd,owner_native_specific_setaside_usd,owner_no_setaside_usd_award_level,owner_no_setaside_share_pct,operating_company_seq,operating_company_name,operating_company_uei,publishable_operating_name,privacy_class,entity_class_basis,link_identifier_type,link_identifier,link_tier,link_join_route,link_ledger_method,link_is_ruling,link_tier_rationale,link_ledger_source_file,link_evidence_url,link_legal_business_name_internal_only,firm_obligations_usd,firm_transaction_rows,firm_first_fy,firm_last_fy,firm_native_setaside_usd,firm_carries_any_native_setaside,firm_8a_usd,measured_from,source_vintage,built_date,built_by
1,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,ANC_REGIONAL,Alaska Native Regional Corporation,AK,25165616365.17,14.2385,57,56,56,2000,2026,7185744187.25,7153861255.47,31882931.77,17380880046.44,69.07,3,ASRC FEDERAL SYSTEM SOLUTIONS LLC,FD7JDCJ4AMF9,Y,CORPORATE_FORM_PRESENT,governmental_or_institutional_token:federal,UEI,FD7JDCJ4AMF9,A,uei_exact,subsidiary_lookup,N,"Structural parent->child, documented",master_tribal_entity_registry.csv,https://www.asrcfederal.com/companies/,"Asrc Federal System Solutions, Llc",1424444962.16,2419,2017,2026,498893007.94,Y,498893007.94,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
1,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,ANC_REGIONAL,Alaska Native Regional Corporation,AK,25165616365.17,14.2385,57,56,56,2000,2026,7185744187.25,7153861255.47,31882931.77,17380880046.44,69.07,19,"ASRC FEDERAL PROFESSIONAL SERVICES, LLC",H2EKDUKQQLD3,Y,CORPORATE_FORM_PRESENT,governmental_or_institutional_token:federal,UEI,H2EKDUKQQLD3,A,uei_exact,subsidiary_lookup,N,"Structural parent->child, documented",master_tribal_entity_registry.csv,https://www.asrcfederal.com/companies/,Asrc Federal Professional Services Llc,596328973.17,750,2019,2026,219719573.15,Y,219719573.15,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
1,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,ANC_REGIONAL,Alaska Native Regional Corporation,AK,25165616365.17,14.2385,57,56,56,2000,2026,7185744187.25,7153861255.47,31882931.77,17380880046.44,69.07,24,"ASRC FEDERAL DATA NETWORX, LLC",H8L4SLLMSV15,Y,CORPORATE_FORM_PRESENT,governmental_or_institutional_token:federal,UEI,H8L4SLLMSV15,A,uei_exact,subsidiary_lookup,N,"Structural parent->child, documented",master_tribal_entity_registry.csv,https://www.asrcfederal.com/companies/,"Asrc Federal Data Networx, Llc",346638263.7,492,2017,2026,280262520.45,Y,280262520.45,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
1,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,ANC_REGIONAL,Alaska Native Regional Corporation,AK,25165616365.17,14.2385,57,56,56,2000,2026,7185744187.25,7153861255.47,31882931.77,17380880046.44,69.07,34,Field Support Services Incorporated,D72CCJ214SJ3,Y,CORPORATE_FORM_PRESENT,corporate_form_missed_by_171_regex:incorporated,UEI,D72CCJ214SJ3,A,uei_exact,agent_research_two_leg,N,Agent-researched 2026-08-06: firm-declared parent + retrieved document,master_tribal_entity_registry.csv,https://,Field Support Services Incorporated,71621868.24,194,2007,2024,63000121.01,Y,63000121.01,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
1,ANRC-ARCSLO-00,Arctic Slope Regional Corporation,ANC_REGIONAL,Alaska Native Regional Corporation,AK,25165616365.17,14.2385,57,56,56,2000,2026,7185744187.25,7153861255.47,31882931.77,17380880046.44,69.07,48,Asrc Communications Ltd,KMVUT7NM63F3,Y,CORPORATE_FORM_PRESENT,governmental_or_institutional_token:communications,UEI,KMVUT7NM63F3,A,uei_exact,agent_research_two_leg,N,Agent-researched 2026-08-06: firm-declared parent + retrieved document,master_tribal_entity_registry.csv,https://,Asrc Communications Ltd,421486.0,10,2005,2011,421486.0,Y,421486.0,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
2,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",ANC_REGIONAL,Alaska Native Regional Corporation,AK,19894720266.42,11.2563,70,67,67,2000,2026,7518025336.19,7442010938.17,76014398.01,11833315157.67,59.48,12,Cazador Apparel Limited Liability Company,FGMYA92VQKA9,Y,CORPORATE_FORM_PRESENT,corporate_form_missed_by_171_regex:limited,UEI,FGMYA92VQKA9,A,uei_exact,agent_research_two_leg,N,Agent-researched 2026-08-06: firm-declared parent + retrieved document,master_tribal_entity_registry.csv,https://,Cazador Apparel Limited Liability Company,523510192.02,1538,2005,2023,335782772.34,Y,335516708.74,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
2,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",ANC_REGIONAL,Alaska Native Regional Corporation,AK,19894720266.42,11.2563,70,67,67,2000,2026,7518025336.19,7442010938.17,76014398.01,11833315157.67,59.48,26,AKIMA SYSTEMS ENGINEERING LLC,GVEBGEGJMPA4,Y,CORPORATE_FORM_PRESENT,corporate_form_missed_by_171_regex:engineering,UEI,GVEBGEGJMPA4,A,uei_exact,subsidiary_lookup,N,"Structural parent->child, documented",master_tribal_entity_registry.csv,https://www.akima.com/our-company/,"Aperture Federal, Llc",271821825.57,1815,2020,2026,126272466.05,Y,126272466.05,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
2,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",ANC_REGIONAL,Alaska Native Regional Corporation,AK,19894720266.42,11.2563,70,67,67,2000,2026,7518025336.19,7442010938.17,76014398.01,11833315157.67,59.48,31,LOCKWOOD HILLS FEDERAL LLC,LN3GRBM6R1M7,Y,CORPORATE_FORM_PRESENT,governmental_or_institutional_token:federal,UEI,LN3GRBM6R1M7,A,uei_exact,agent_research_two_leg,N,Agent-researched 2026-08-06: firm-declared parent + retrieved document,master_tribal_entity_registry.csv,https://,"Lockwood Hills Federal, Llc",205430834.17,363,2017,2026,127557330.44,Y,127557330.44,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
2,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",ANC_REGIONAL,Alaska Native Regional Corporation,AK,19894720266.42,11.2563,70,67,67,2000,2026,7518025336.19,7442010938.17,76014398.01,11833315157.67,59.48,38,Ikun Limited Liability Company,SG42D5YAM9G4,Y,CORPORATE_FORM_PRESENT,corporate_form_missed_by_171_regex:limited,UEI,SG42D5YAM9G4,A,uei_exact,agent_research_two_leg,N,Agent-researched 2026-08-06: firm-declared parent + retrieved document,master_tribal_entity_registry.csv,https://,Ikun Limited Liability Company,116746696.44,384,2007,2026,86566381.68,Y,86566381.68,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
2,ANRC-NANARC-00,"NANA Regional Corporation, Incorporated",ANC_REGIONAL,Alaska Native Regional Corporation,AK,19894720266.42,11.2563,70,67,67,2000,2026,7518025336.19,7442010938.17,76014398.01,11833315157.67,59.48,54,"NANA MANAGEMENT SERVICES, LLC",NL18R48DQRK1,Y,CORPORATE_FORM_PRESENT,shares_owner_entity_name_stem:nana,UEI,NL18R48DQRK1,A,uei_exact,agent_research_two_leg,N,Agent-researched 2026-08-06: firm-declared parent + retrieved document,master_tribal_entity_registry.csv,https://,"Nana Management Services, Llc",3050569.22,48,2012,2026,0.0,N,0.0,data/clean/prime_contracts.csv,2026-08-29T11:27:26,2026-09-01,code/269_build_contractor_ranking.py
