uei,cage_code,legal_business_name,n_observations,first_year,last_year,source_file
C139RQBUN1Y4,3E1C9,CONNALLY CONTRACTING CORPORATION,10,2017,2018,Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv
C14WZZBHPQS4,NAN,"LOPEZ, MICHAEL",2,2015,2016,C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2015_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2016_ledger_rows.csv
C16JMF7236C5,7MZ92,"YAKIMA SPARTAN, LLC",10,2018,2021,Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv
C17QJNVQ1H56,69DN7,KILIUDA CONSULTING,619,2017,2023,Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv;Data Request 5-8-2023 IDVs.csv
C18GHYTABAV5,NAN,BEARSKIN SERVICES,779,2007,2017,C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2007_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2008_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2009_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2010_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2011_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2012_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2013_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2014_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2015_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2016_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2017_ledger_rows.csv
C1AFAKFBCJJ4,7T2G3,CCI FACILITY SUPPORT SERVICES LLC,349,2019,2023,Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv;Data Request 5-8-2023 IDVs.csv
C1C5ZAHF14S4,0KSA9,"BENOIT SHEET METAL EQUIPMENT, INC",4,2017,2017,Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv
C1CGMDVZSNJ6,7UPE1,SES CIVIL AND ENVIRONMENTAL LLC,194,2021,2023,C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_gapfill_2026-08-05\gapfill_recipient_universe.csv;Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv;Data Request 5-8-2023 IDVs.csv
C1EUGNCGGSN9,04099,"CAPCO, LLC",466,2017,2023,Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv;Data Request 5-8-2023 IDVs.csv
C1FRWAL9CAF3,7B2A0,"PORTSMOUTH MISSION ALLIANCE, LLC",183,2017,2025,C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2017_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2018_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2019_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2020_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2021_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2022_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2023_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2024_ledger_rows.csv;C:\Users\esm247\Desktop\Cedar Press\data\raw\contracts\usaspending_archive_2026-08-07\filtered\FY2025_ledger_rows.csv;Data Request 4-5-2023 File 1.csv;Data Request 4-5-2023 File 2.csv
