Deal_ID,Event_Date,Event_Date_precision,Event_Date_not_before,Event_Date_not_after,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Notes,Date_Added,Data_As_Of,sector,transaction_type,capital_source,native_party_role,deal_status_std,native_party_canonical_name,native_party_attribution_tier,cedar_uid
ANCSA-2015-001,2015-01-05,day,2015-01-05,2015-01-05,2015,Q1,2015-01,"Chugach Commercial Holdings, LLC acquires a 90-percent interest in All American Oilfield, LLC",Chugach Alaska Corporation,Alaska Native corporation,"All American Oilfield, LLC",Acquisition,Oil and gas services,90% ownership interest acquisition,Completed,5000000,"Total consideration paid by the Corporation: $4,464,000 closing cash payment plus $536,000 working capital contribution",10000000,AK,Alaska,"Chugach Alaska Corporation's wholly owned subsidiary Chugach Commercial Holdings, LLC acquired a 90% ownership interest in All American Oilfield, LLC, an oil and gas services company. No liabilities were assumed. Goodwill of $7,945,283 was recognised.",Chugach Alaska Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=d6ee583d-6ef6-4e4f-8a22-5375df11c3ff,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=063c5913-d29a-4691-a692-2620822cef72,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),Primary verified,High,"ANCSA portal harvest 2026-08-05. VALUE HANDLING: the note's table totals $10,000,000, which is the Corporation's $5,000,000 consideration PLUS a $3,000,000 promissory note, $1,000,000 contingent consideration and $1,000,000 of noncontrolling-interest contributions. Announced_Value_USD carries only the $5,000,000 the Corporation itself paid; Project_Total_Value_USD carries the $10,000,000 table total. Do NOT sum. The filing further states the earn-out was not achieved during 2015 and the $1,000,000 contingent consideration was never earned. See ANCSA-2020-001 for the later purchase of the remaining 10%.",2026-08-05,2026-08-05,Natural Resources,Acquisition,Private,Acquirer,Completed,Chugach Alaska Corporation,A,CE-0007C-BW
FA-DOE-0003,2024-05-01,day,2024-05-01,2024-05-01,2024,Q2,2024-05,DOE Office of Indian Energy grant: Coyote Valley Community Solar Project,Coyote Valley Band of Pomo Indians,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,3191312.0,Federal grant award (DOE share),9729518.0,CA,"Redwood Valley, CA",Coyote Valley Community Solar Project. DOE grant number DE-IE0000178. Type of application: Deployment. Awardee cost share $6538206; total project $9729518.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4853152,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2022. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,Coyote Valley Band of Pomo Indians of California,A,CE-00140-R9
FA-DOE-0008,2022-10-01,day,2022-10-01,2022-10-01,2022,Q4,2022-10,DOE Office of Indian Energy grant: Unaatuq Energy: Geothermal Technology for Pilgrim Hot Springs,Kawerak Inc.,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Geothermal,Awarded,Awarded,1737371.0,Federal grant award (DOE share),2154042.0,AK,"Nome, Alaska",Unaatuq Energy: Geothermal Technology for Pilgrim Hot Springs. DOE grant number DE-IE0000164. Type of application: Deployment. Awardee cost share $416671; total project $2154042.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4825161,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2022. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,Kawerak Incorporated,A,CE-0010H-AJ
FA-DOE-0012,2021-10-01,day,2021-10-01,2021-10-01,2021,Q4,2021-10,DOE Office of Indian Energy grant: Seminole Rural Reservation Resiliency - Brighton Solar,Seminole Tribe of Florida,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2158593.0,Federal grant award (DOE share),6313049.0,FL,"Hollywood, FL",Seminole Rural Reservation Resiliency - Brighton Solar. DOE grant number DE-IE0000150. Type of application: Deployment. Awardee cost share $4154456; total project $6313049.,The tribe or Native entity is the direct federal award recipient.,http://www.energy.gov/node/4815846,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2021. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,Seminole Tribe of Florida,A,CE-001A9-CA
FA-DOE-0016,2021-06-01,day,2021-06-01,2021-06-01,2021,Q2,2021-06,DOE Office of Indian Energy grant: Spokane Reservation Residential Solar Energy Project,Spokane Indian Housing Authority,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2529474.0,Federal grant award (DOE share),3415316.0,WA,"Wellpinit, WA",Spokane Reservation Residential Solar Energy Project. DOE grant number DE-IE0000131. Type of application: Deployment. Awardee cost share $885842; total project $3415316.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4810798,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2020. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,Spokane Tribe of the Spokane Reservation,B,CE-001AK-84
FA-DOE-0020,2019-10-01,day,2019-10-01,2019-10-01,2019,Q4,2019-10,DOE Office of Indian Energy grant: Community-Scale Solar Photovoltaic for the Forest County Potawatomi Community,Forest County Potawatomi Community,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,1724606.0,Federal grant award (DOE share),2155758.0,WI,"Crandon, WI",Community-Scale Solar Photovoltaic for the Forest County Potawatomi Community. DOE grant number DE-IE0000120. Type of application: Deployment. Awardee cost share $431152; total project $2155758.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4317644,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2019. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,"Forest County Potawatomi Community, Wisconsin",A,CE-0014H-YJ
FA-DOE-0025,2019-09-01,day,2019-09-01,2019-09-01,2019,Q3,2019-09,DOE Office of Indian Energy grant: Rincon Solar Microgrids Project,Rincon San Luiseño Band of Mission Indians,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,3000000.0,Federal grant award (DOE share),7267032.0,CA,"Valley Center, CA",Rincon Solar Microgrids Project. DOE grant number DE-IE0000125. Type of application: Deployment. Awardee cost share $4267032; total project $7267032.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4318073,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2019. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,"Rincon Band of Luiseno Indians (previously listed as Rincon Band of Luiseno Mission Indians of Rincon Reservation, California)",B,CE-00199-7T
FA-DOE-0029,2017-09,month,2017-09-01,2017-09-30,2017,Q3,2017-09,DOE Office of Indian Energy grant: Bethel Wind Energy Construction Project,Alaska Village Electric Cooperative (Joint Venture with Bethel Native Corporation),Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Wind,Awarded,Awarded,1000000.0,Federal grant award (DOE share),3724606.0,AK,"Anchorage, AK",Bethel Wind Energy Construction Project. DOE grant number DE-EE0000084. Type of application: Deployment. Awardee cost share $2724606; total project $3724606.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/3067144,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,"DOE Tribal Energy Projects Database award year 2017. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,Bethel Native Corporation,B,CE-0007X-H5
FA-DOE-0033,2017-09,month,2017-09-01,2017-09-30,2017,Q3,2017-09,DOE Office of Indian Energy grant: Children of The Sun Energy Infrastructure Initiative,Spokane Indian Housing Authority,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,1000000.0,Federal grant award (DOE share),2013081.0,WA,"Wellpinit, WA",Children of The Sun Energy Infrastructure Initiative. DOE grant number DE-IE0000093. Type of application: Deployment. Awardee cost share $1013181; total project $2013081.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/3068446,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,"DOE Tribal Energy Projects Database award year 2017. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,Spokane Tribe of the Spokane Reservation,B,CE-001AK-84
FA-DOE-0039,2016-07,month,2016-07-01,2016-07-31,2016,Q3,2016-07,DOE Office of Indian Energy grant: SCC Emission-Free and Treaty Resources Protection Clean Energy Initiative,Sokaogon Chippewa Community,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,1000000.0,Federal grant award (DOE share),2152925.0,WI,"Crandon, WI",SCC Emission-Free and Treaty Resources Protection Clean Energy Initiative. DOE grant number DE-IE0000036. Type of application: Deployment. Awardee cost share $1152925; total project $2152925.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/2315729,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,"DOE Tribal Energy Projects Database award year 2016. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,Energy,Grant / Public Award,Federal,Grantee,Awarded,"Sokaogon Chippewa Community, Wisconsin",A,CE-001AJ-2B
