Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Notes,Date_Added,Data_As_Of
FA-DOE-0001,2024-08-01,2024,Q3,2024-08,DOE Office of Indian Energy grant: San Carlos Hospital Community Microgrid,San Carlos Apache Tribe,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Microgrid,Awarded,Awarded,4000000.0,Federal grant award (DOE share),7721025.0,AZ,"San Carlos, AZ",San Carlos Hospital Community Microgrid. DOE grant number DE-IE0000170. Type of application: Deployment. Awardee cost share $3721025; total project $7721025.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4849819,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2022. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0005,2024-05-01,2024,Q2,2024-05,DOE Office of Indian Energy grant: Barona Community Microgrid Project,Barona Group of the Capitan Grande Band of Mission Indians of the Barona Reservation,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Renewable Energy (Multiple Technologies),Awarded,Awarded,4000000.0,Federal grant award (DOE share),5802744.0,CA,"Lakeside, CA",Barona Community Microgrid Project. DOE grant number DE-IE0000171. Type of application: Deployment. Awardee cost share $1802744; total project $5802744.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4846300/,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2022. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0009,2022-01-01,2022,Q1,2022-01,"DOE Office of Indian Energy grant: High Penetration Solar and Battery Project in Noatak, Alaska",Northwest Arctic Borough,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Renewable Energy (Multiple Technologies),Awarded,Awarded,2008765.0,Federal grant award (DOE share),2906825.0,AK,"Noatak, AK","High Penetration Solar and Battery Project in Noatak, Alaska. DOE grant number DE-IE0000146. Type of application: Deployment. Awardee cost share $898060; total project $2906825.",The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4825031,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2021. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0013,2021-10-01,2021,Q4,2021-10,DOE Office of Indian Energy grant: Pala Community Microgrids Project,Pala Band of Mission Indians,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,3000000.0,Federal grant award (DOE share),4000000.0,CA,"Pala, CA",Pala Community Microgrids Project. DOE grant number DE-IE0000147. Type of application: Deployment. Awardee cost share $1000000; total project $4000000.,The tribe or Native entity is the direct federal award recipient.,http://www.energy.gov/node/4815836,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2021. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0017,2019-10-01,2019,Q4,2019-10,DOE Office of Indian Energy grant: Ishkonige Nawadide – Solar Project,Bad River Band of Lake Superior Tribe of Chippewa Indians,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,1798379.0,Federal grant award (DOE share),1998199.0,WI,"Odanah, WI",Ishkonige Nawadide – Solar Project. DOE grant number DE-IE0000115. Type of application: Deployment. Awardee cost share $199820; total project $1998199.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4314520,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2019. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0021,2019-09-02,2019,Q3,2019-09,DOE Office of Indian Energy grant: Fort Mojave Indian Tribe Aha Macav Power Service Renewable Energy Project #1,Aha Macav Power Service,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Renewable Energy (Multiple Technologies),Awarded,Awarded,3003000.0,Federal grant award (DOE share),4004000.0,AZ,"Mohave Valley, AZ",Fort Mojave Indian Tribe Aha Macav Power Service Renewable Energy Project #1. DOE grant number DE-IE0000113. Type of application: Deployment. Awardee cost share $1001000; total project $4004000.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4314454,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2019. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0025,2019-09-01,2019,Q3,2019-09,DOE Office of Indian Energy grant: Rincon Solar Microgrids Project,Rincon San Luiseño Band of Mission Indians,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,3000000.0,Federal grant award (DOE share),7267032.0,CA,"Valley Center, CA",Rincon Solar Microgrids Project. DOE grant number DE-IE0000125. Type of application: Deployment. Awardee cost share $4267032; total project $7267032.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4318073,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,"DOE Tribal Energy Projects Database award year 2019. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0029,2017-09-15,2017,Q3,2017-09,DOE Office of Indian Energy grant: Bethel Wind Energy Construction Project,Alaska Village Electric Cooperative (Joint Venture with Bethel Native Corporation),Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Wind,Awarded,Awarded,1000000.0,Federal grant award (DOE share),3724606.0,AK,"Anchorage, AK",Bethel Wind Energy Construction Project. DOE grant number DE-EE0000084. Type of application: Deployment. Awardee cost share $2724606; total project $3724606.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/3067144,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,"DOE Tribal Energy Projects Database award year 2017. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0033,2017-09-15,2017,Q3,2017-09,DOE Office of Indian Energy grant: Children of The Sun Energy Infrastructure Initiative,Spokane Indian Housing Authority,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,1000000.0,Federal grant award (DOE share),2013081.0,WA,"Wellpinit, WA",Children of The Sun Energy Infrastructure Initiative. DOE grant number DE-IE0000093. Type of application: Deployment. Awardee cost share $1013181; total project $2013081.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/3068446,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,"DOE Tribal Energy Projects Database award year 2017. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
FA-DOE-0037,2016-09-15,2016,Q3,2016-09,DOE Office of Indian Energy grant: Community-Scale Solar Energy Deployment in the Northwest Arctic,NANA Regional Corporation,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,1000000.0,Federal grant award (DOE share),2009724.0,AK,"Kotzebue, AK",Community-Scale Solar Energy Deployment in the Northwest Arctic. DOE grant number DE-IE0000034. Type of application: Deployment. Awardee cost share $1009724; total project $2009724.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/2299353,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,"DOE Tribal Energy Projects Database award year 2016. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05
