native_party,n_deals,source_1_url,source_1_label,source_1_kind,source_2_url,source_2_label,discovery_channel,n_sources,built_date
500 Sails,1,https://www.eda.gov/archives/2022/files/arpa/impact/2022_ARPA_Award_Data.xlsx,eda.gov,AUTHORITY,https://www.eda.gov/arpa/indigenous-communities,eda.gov,,2,2026-08-06
"Ahtna, Inc.",2,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=a4dd8db9-4369-4e22-97c8-3dbbb2f03f21,portal.akdbsstar.us,AUTHORITY_OR_PARTY,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=b9757300-75db-47f7-ac6e-5df62472ce7d,portal.akdbsstar.us,,3,2026-08-06
Alaska Federation of Natives,1,https://broadbandusa.ntia.gov/news/latest-news/biden-administration-awards-nearly-77-million-expand-internet-access-dozens-tribes,broadbandusa.ntia.gov,AUTHORITY,https://broadbandusa.ntia.gov/funding-programs/tribal-broadband-connectivity-program-round-1/awardee/alaska-federation-natives-broadband-use-and-adoption-consortium-tribal-broadband-connectivity,broadbandusa.ntia.gov,,2,2026-08-06
Aleut Community of St. Paul Tribal Government,1,https://www.hud.gov/sites/dfiles/PIH/documents/FY_2018-2019_IHBG_Comp_Awards_Corrected.pdf,hud.gov,AUTHORITY,https://web.archive.org/web/*/https://www.hud.gov/sites/dfiles/PIH/documents/FY_2018-2019_IHBG_Comp_Awards_Corrected.pdf,hud.gov,,2,2026-08-06
All Mission Indian Housing Authority (Santa Rosa Band),1,https://www.hud.gov/sites/dfiles/PIH/documents/FY_23_ICDBG_Awards_and_Project_Summaries.pdf,hud.gov,AUTHORITY,https://web.archive.org/web/*/https://www.hud.gov/sites/dfiles/PIH/documents/FY_23_ICDBG_Awards_and_Project_Summaries.pdf,hud.gov,,2,2026-08-06
Arctic Slope Regional Corporation,35,https://www.sec.gov/Archives/edgar/data/1428711/000110465910053172/a10-19723_1sc13da.htm,sec.gov,AUTHORITY,https://web.archive.org/web/20040706id_/http://www.asrc.com/_pdf/_annualreports/ASRC2001.pdf,asrc.com,,11,2026-08-06
Bad River Band of Lake Superior Chippewa Indians,1,https://broadbandusa.ntia.gov/news/latest-news/biden-harris-administration-announces-over-744-million-internet-all-grants-tribal,broadbandusa.ntia.gov,AUTHORITY,https://broadbandusa.ntia.gov/funding-programs/tribal-broadband-connectivity-program-round-1/awardee/broadband-infrastructure-deployment-and-education-promoting-broadband-adoption-and-use,broadbandusa.ntia.gov,,2,2026-08-06
Bear River Band of the Rohnerville Rancheria,1,https://www.hud.gov/sites/dfiles/PIH/documents/FY_2018-2019_IHBG_Comp_Awards_Corrected.pdf,hud.gov,AUTHORITY,https://web.archive.org/web/*/https://www.hud.gov/sites/dfiles/PIH/documents/FY_2018-2019_IHBG_Comp_Awards_Corrected.pdf,hud.gov,,2,2026-08-06
Bethel Native Corporation,1,https://broadbandusa.ntia.gov/news/latest-news/biden-harris-administrations-tribal-broadband-connectivity-program-hits-milestone-more-1-billion,broadbandusa.ntia.gov,AUTHORITY,https://broadbandusa.ntia.gov/funding-programs/tribal-broadband-connectivity-program-round-1/awardee/tribal-broadband-connectivity-program-0,broadbandusa.ntia.gov,,2,2026-08-06
Blackfeet Tribe of the Blackfeet Indian Reservation,1,https://broadbandusa.ntia.gov/news/latest-news/biden-harris-administrations-tribal-broadband-connectivity-program-hits-milestone-more-1-billion,broadbandusa.ntia.gov,AUTHORITY,https://broadbandusa.ntia.gov/funding-programs/tribal-broadband-connectivity-program-round-1/awardee/blackfeet-tribe-blackfeet-indian-reservation,broadbandusa.ntia.gov,,2,2026-08-06
