consultation_event_id,channel,agency,sub_agency,program,consultation_type,topic,notice_date,event_start_date,event_end_date,location,format,tribe_id,tribe_name,participant_name_as_published,participant_role,comment_deadline,has_written_comments,has_summary,has_transcript,federal_register_citation,source_url,source_quote,fetched_date,tier,confidence,built_date,match_method,cedar_uid,fr_document_number,nagpra_notice_overlap,nagpra_bridge_overlap,nagpra_coverage_window,event_date_basis,event_date_source_quote,location_basis,location_source_quote
CONS-FR-95-6969,CONSULTATION,Interior Department,Indian Affairs Bureau,,consultation_session,Tribal Consultation on Indian Education Topics,1995-03-22,1995-04-03,1995-04-11,"Indian Education Programs, MS",written_comment,,,,not_enumerated,1995-05-01,1,0,0,60 FR 15196,https://www.federalregister.gov/documents/1995/03/22/95-6969/tribal-consultation-on-indian-education-topics,Notice is hereby given that the Bureau of Indian Affairs (BIA) will conduct consultation meetings to obtain oral and written comments concerning potential issues in Indian education programs. The potential issues which will be set forth in a tribal consultation booklet to be issued prior to the meetings are as follows:,2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,95-6969,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,dates_field_of_a_notice_whose_own_ACTION_line_says_notice_of_meetings,"March 31, and April 3, 5, 7, and 11, 1995 for locations listed.",,
CONS-FR-01-30327,CONSULTATION,Interior Department,Indian Affairs Bureau,,consultation_session,Tribal Consultation on Indian Trust Asset Management,2001-12-05,2001-12-13,2002-12-20,"Albuquerque, New Mexico; Minneapolis, Minnesota; Oklahoma City, OK; Rapid City, SD; Palm Springs, CA; Anchorage, AK; Washington, DC",written_comment,,,,not_enumerated,2002-02-15,1,0,0,66 FR 63306,https://www.federalregister.gov/documents/2001/12/05/01-30327/tribal-consultation-on-indian-trust-asset-management,"The Office of the Secretary, along with the Bureau of Indian Affairs, the Office of Special Trustee for American Indians, and Office of Indian Trust Transition will conduct meetings on Indian trust asset management. The purpose is to discuss a proposed reorganization of the Department's trust responsibility functions to improve the management of Indian trust assets. Any Indian tribe, band, nation or individual is encouraged to attend the meeting and to submit written comments.",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,01-30327,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,,,addresses_field_segment_anchored_to_a_meeting,"The Albuquerque meeting will be held on December 13, 2002 at the Hyatt Regency, 330 Tijeras Street NW, Albuquerque, New Mexico. | The Minneapolis consultation will be held at the Doubletree Hotel, 7901 24th Avenue South, Minneapolis, Minnesota. | Future meetings have been tentatively scheduled in Oklahoma City, OK on January 3, 2002; | Rapid City, SD on January 10, 2002; | Palm Springs, CA on January 17, 2002; | Anchorage, AK on January 23, 2002; | and Washington, DC, on February 1, 2002."
CONS-FR-E8-17774,CONSULTATION,Health and Human Services Department,Children and Families Administration,,consultation_session,"Notice of Public Comment on Tribal Consultation Session To Be Held on September 11, 2008, in Phoenix, AZ",2008-08-04,2008-09-11,2008-09-11,"Phoenix, Arizona",,,,,not_enumerated,,0,0,0,73 FR 45227,https://www.federalregister.gov/documents/2008/08/04/E8-17774/notice-of-public-comment-on-tribal-consultation-session-to-be-held-on-september-11-2008-in-phoenix,"Pursuant to the Improving Head Start for School Readiness Act of 2007, Public Law 110-134, notice is hereby given of a one-day Tribal Consultation Session to be held between the Department of Health and Human Services, Administration for Children and Families, Office of Head Start leadership and the leadership of Tribal governments operating Head Start (including Early Head Start) programs. The purpose of the Consultation Session is to discuss ways to better meet the needs of Indian, including Alaska Native, children and their families, taking into consideration funding allocations, distribution formulas, and other issues affecting the delivery of Head Start services in their geographic locations [42 U.S.C. 9835, Section 640(l)(4)].",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,E8-17774,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,supplementary_information_sentence_with_an_event_verb,"The Consultation Session will take place on Thursday, September 11, 2008, at the Hyatt Regency Phoenix in Phoenix, Arizona.",supplementary_information_segment_anchored_to_a_meeting,"The Consultation Session will take place on Thursday, September 11, 2008, at the Hyatt Regency Phoenix in Phoenix, Arizona."
CONS-FR-2011-8999,CONSULTATION,Health and Human Services Department,Children and Families Administration,,consultation_session,Tribal Consultation Meetings,2011-04-13,2011-04-29,2011-04-29,"Albuquerque, New Mexico; Marksville, Louisiana",,,,,not_enumerated,,0,0,0,76 FR 20674,https://www.federalregister.gov/documents/2011/04/13/2011-8999/tribal-consultation-meetings,"Pursuant to the Improving Head Start for School Readiness Act of 2007, Public Law 110-134, notice is hereby given of one-day Tribal Consultation Sessions to be held between the Department of Health and Human Services, Administration for Children and Families, Office of Head Start leadership and the leadership of Tribal Governments operating Head Start (including Early Head Start) programs. The purpose of these Consultation Sessions is to discuss ways to better meet the needs of American Indian and Alaska Native children and their families, taking into consideration funding allocations, distribution formulas, and other issues affecting the delivery of Head Start services in their geographic locations [42 U.S.C. 9835, Section 640(l)(4)].",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,2011-8999,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,supplementary_information_sentence_with_an_event_verb,"The Consultation Session for Region VI will take place Friday, April 29, 2011, at the Indian Pueblo Cultural Center in Albuquerque, New Mexico, immediately following the Department of Health and Human Services Regional Consultations session.",supplementary_information_segment_anchored_to_a_meeting,"The Consultation Session for Region VI will take place Friday, April 29, 2011, at the Indian Pueblo Cultural Center in Albuquerque, New Mexico, immediately following the Department of Health and Human Services Regional Consultations session. | The Consultation Session for Regions I, II, and IV will take place Thursday, May 19, 2011, at the Paragon Casino Resort in Marksville, Louisiana, immediately following the United South and Eastern Tribes, Inc."
CONS-FR-2012-7556,CONSULTATION,Health and Human Services Department,Children and Families Administration,,consultation_session,Tribal Consultation Meeting,2012-03-29,2012-05-04,2012-05-04,"Oklahoma City, Oklahoma",,,,,not_enumerated,,0,0,0,77 FR 19020,https://www.federalregister.gov/documents/2012/03/29/2012-7556/tribal-consultation-meeting,"Pursuant to the Improving Head Start for School Readiness Act of 2007, Public Law 110-134, notice is hereby given of a one-day Tribal Consultation Session to be held between the Department of Health and Human Services, Administration for Children and Families, Office of Head Start leadership and the leadership of Tribal Governments operating Head Start (including Early Head Start) programs. The purpose of this Consultation Session is to discuss ways to better meet the needs of American Indian and Alaska Native children and their families, taking into consideration funding allocations, distribution formulas, and other issues affecting the delivery of Head Start services in their geographic locations [42 U.S.C. 9835, Section 640(l)(4)].",2026-08-07,B,high,2026-08-07,no_participants_named_in_record,,2012-7556,not_in_nagpra_notices,notice_not_in_nagpra_dataset,,dates_field_of_a_notice_whose_own_ACTION_line_says_notice_of_meetings,"May 4, 2012.",addresses_field_segment_anchored_to_a_meeting,"2012 Office of Head Start Tribal Consultation Session will be held at the following location: Friday, May 4, 2012--Oklahoma City, Oklahoma--Sheraton Oklahoma City Hotel, 1 N."
CONS-FR-2013-08371,CONSULTATION,Interior Department,National Park Service,Central Washington University has completed an inventory of human remains,NAGPRA_consultation_reported,"Notice of Inventory Completion: Central Washington University, Ellensburg, WA",2013-04-10,,,,,TRBF-COLVLL-00,Confederated Colville,Confederated Tribes of the Colville Reservation,consulted,2013-05-10,0,0,0,78 FR 21401,https://www.federalregister.gov/documents/2013/04/10/2013-08371/notice-of-inventory-completion-central-washington-university-ellensburg-wa,"A detailed assessment of the human remains was made by Central Washington University professional staff in consultation with representatives of the Confederated Tribes and Bands of the Yakama Nation; Confederated Tribes of the Colville Reservation; and the Wanapum Band of Priest Rapids, a non-Federally recognized Indian group.",2026-08-07,B,high,2026-08-07,fr_official_name,CE-0013K-5M,2013-08371,same_notice_in_nagpra_notices,same_notice_and_party_in_nagpra_bridge,inside_the_2011_2022_nagpra_window,,,,
CONS-FR-2013-08770,CONSULTATION,Interior Department,National Park Service,The Carnegie Museum of Natural History has completed an inventory of human remains and associated funerary objects,NAGPRA_consultation_reported,"Notice of Inventory Completion: Carnegie Museum of Natural History, Pittsburgh, PA",2013-04-15,,,,,TRBF-PNBSCT-00,Penobscot,Penobscot Nation (previously listed as the Penobscot Tribe of Maine),consulted,2013-05-15,0,0,0,78 FR 22285,https://www.federalregister.gov/documents/2013/04/15/2013-08770/notice-of-inventory-completion-carnegie-museum-of-natural-history-pittsburgh-pa,A detailed assessment of the human remains was made by the Carnegie Museum of Natural History professional staff in consultation with representatives of the Aroostook Band of Micmac (previously listed as the Aroostook Band of Micmac Indians); Houlton Band of Maliseet Indians; Passamaquoddy Tribe; and the Penobscot Nation (previously listed as the Penobscot Tribe of Maine).,2026-08-07,B,high,2026-08-07,fr_official_name,CE-0018D-TE,2013-08770,same_notice_in_nagpra_notices,same_notice_and_party_in_nagpra_bridge,inside_the_2011_2022_nagpra_window,,,,
CONS-FR-2013-08779,CONSULTATION,Interior Department,National Park Service,"The Florida Department of State, Division of Historical Resources",NAGPRA_consultation_reported,"Notice of Inventory Completion: The Florida Department of State, Division of Historical Resources, Tallahassee, FL",2013-04-15,,,,,TRBF-MCSKEE-00,Miccosukee,Miccosukee Tribe of Indians,consulted,2013-05-15,0,0,0,78 FR 22289,https://www.federalregister.gov/documents/2013/04/15/2013-08779/notice-of-inventory-completion-the-florida-department-of-state-division-of-historical-resources,"A detailed assessment of the human remains was made by the Florida Department of State, Division of Historical Resources, professional staff in consultation with representatives of the Miccosukee Tribe of Indians and the Seminole Tribe of Florida (previously listed as the Seminole Tribe of Florida (Dania, Big Cypress, Brighton, Hollywood & Tampa Reservations)).",2026-08-07,B,high,2026-08-07,fr_official_name,CE-0016R-J1,2013-08779,same_notice_in_nagpra_notices,same_notice_and_party_in_nagpra_bridge,inside_the_2011_2022_nagpra_window,,,,
CONS-FR-2013-13468,CONSULTATION,Interior Department,National Park Service,The Michigan Department of Transportation has completed an inventory of human remains and associated funerary objects,NAGPRA_consultation_reported,"Notice of Inventory Completion: Michigan Department of Transportation, Van Wagoner Building, Lansing, MI",2013-06-06,,,,,TRBF-DELAWN-00,Delaware Nation,"Delaware Nation, Oklahoma",consulted,2013-07-08,0,0,0,78 FR 34124,https://www.federalregister.gov/documents/2013/06/06/2013-13468/notice-of-inventory-completion-michigan-department-of-transportation-van-wagoner-building-lansing-mi,"A detailed assessment of the human remains was made by the Michigan Department of Transportation professional staff in consultation with representatives of the Bay Mills Indian Community, Michigan; Delaware Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Hannahville Indian Community, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Little River Band of Ottawa Indians, Michigan; Little Traverse Bay Bands of Odawa Indians, Michigan; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Nottawaseppi Huron Band of the Potawatomi, Michigan (previously listed as the Huron Potawatomi, Inc.); Pokagon Band of Potawatomi Indians, Michigan and Indiana; Saginaw Chippewa Indian Tribe ",2026-08-07,B,high,2026-08-07,fr_official_name,CE-00141-Y2,2013-13468,same_notice_in_nagpra_notices,same_notice_and_party_in_nagpra_bridge,inside_the_2011_2022_nagpra_window,,,,
CONS-FR-2013-13468,CONSULTATION,Interior Department,National Park Service,The Michigan Department of Transportation has completed an inventory of human remains and associated funerary objects,NAGPRA_consultation_reported,"Notice of Inventory Completion: Michigan Department of Transportation, Van Wagoner Building, Lansing, MI",2013-06-06,,,,,TRBF-LVDSRT-00,Lac Vieux,"Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan",consulted,2013-07-08,0,0,0,78 FR 34124,https://www.federalregister.gov/documents/2013/06/06/2013-13468/notice-of-inventory-completion-michigan-department-of-transportation-van-wagoner-building-lansing-mi,"A detailed assessment of the human remains was made by the Michigan Department of Transportation professional staff in consultation with representatives of the Bay Mills Indian Community, Michigan; Delaware Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Hannahville Indian Community, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Little River Band of Ottawa Indians, Michigan; Little Traverse Bay Bands of Odawa Indians, Michigan; Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Nottawaseppi Huron Band of the Potawatomi, Michigan (previously listed as the Huron Potawatomi, Inc.); Pokagon Band of Potawatomi Indians, Michigan and Indiana; Saginaw Chippewa Indian Tribe ",2026-08-07,B,high,2026-08-07,name_head,CE-0016G-2S,2013-13468,same_notice_in_nagpra_notices,same_notice_and_party_in_nagpra_bridge,inside_the_2011_2022_nagpra_window,,,,
