agency,agency_code,source,status,url,http_status,evidence,checked_date
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_HOME,NOT_FOUND,https://www.bia.gov/as-ia/foia,200,seed page retrieved (40585 bytes); 0 FOIA-log links and 0 correspondence links matched on anchor text or href,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_april_2026_redacted.pdf,200,16 request rows parsed from as-ia_foia_logs_april_2026_redacted.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_january-december_2025.pdf,200,286 request rows parsed from as-ia_foia_logs_january-december_2025.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_march_2026_redacted.pdf,200,30 request rows parsed from as-ia_foia_logs_march_2026_redacted.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_august_2025_redacted.pdf,200,108 request rows parsed from bia_foia_logs_august_2025_redacted.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_january_2026_redacted.pdf,200,108 request rows parsed from bia_foia_logs_january_2026_redacted.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_june_2026_redacted.pdf,200,121 request rows parsed from bia_foia_logs_june_2026_redacted.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_may_2026_redacted.pdf,200,79 request rows parsed from bia_foia_logs_may_2026_redacted.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,PUBLISHES,https://www.bia.gov/sites/default/files/media_document/bia_foia_logs_september_2025_redacted_redacted_0.pdf,200,113 request rows parsed from bia_foia_logs_september_2025_redacted_redacted_0.pdf,2026-08-12
Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,FOIA_LOG_FILE,NOT_FOUND,https://www.bia.gov/sites/default/files/media_document/bie_foia_logs_january_2025_redacted_0.pdf,200,"object retrieved but its table geometry could not be solved, so it was REFUSED rather than parsed: [(1, 'no header band; column geometry unsolved'), (2, 'no header band; column geometry unsolved')]",2026-08-12
