document_number,tribe_canonical_name,matched_span,matched_in,entity_tier,entity_match_method,entity_match_basis,action_type,publication_date,title_abstract_term_hit,document_title,entity_keyed_date,cedar_uid
94-915,Kootenai Tribe of Idaho,Kootenai,title,B,spine_name_in_text,no_tribal_designator_in_context:a bare place name proves nothing - tribes and places share names,other,1994-01-14,0,"Compartment 28 (Zulu Smoot) Timber Sales; Kootenai National Forest; Lincoln County, MT",2026-08-06,CE-0015Z-Q0
94-978,Crow Tribe of Montana,Crow,abstract,B,spine_name_in_text,exact_span_with_tribal_designator_in_context;matched_in_abstract_not_title,land_into_trust,1994-01-14,1,"Partial Revocation of Secretarial Order Dated February 16, 1909; Montana",2026-08-06,CE-0013W-VN
94-3136,Wampanoag Tribe of Gay Head (Aquinnah),Wampanoag,title,A,spine_name_in_text,exact_span_with_tribal_designator_in_context,other,1994-02-10,1,"Filing of Plat of Dependent Resurvey of the Land Held in Trust for the Wampanoag Tribal Council of Gay Head, Inc.",2026-08-06,CE-00123-0M
94-3935,"Navajo Nation, Arizona, New Mexico, & Utah",Navajo,title,B,spine_name_in_text,"compound_name_ambiguous:adjacent to 'Hopi' with no designator between them - probably one compound tribal name, not two entities",other,1994-02-25,1,"Business Practices on the Navajo, Hopi and Zuni Reservations; Proposed Rule DEPARTMENT OF THE INTERIOR",2026-08-06,CE-0017F-1G
94-5901,Mohegan Tribe of Indians of Connecticut,Mohegan,title,A,spine_name_in_text,exact_span_with_tribal_designator_in_context,other,1994-03-15,1,"Final Determination That the Mohegan Indian Tribe of Connecticut, Inc., Does Exist as an Indian Tribe; Notice",2026-08-06,CE-0016X-GY
94-8002,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",Northern Cheyenne,title,B,spine_name_in_text,no_tribal_designator_in_context:a bare place name proves nothing - tribes and places share names,other,1994-04-04,1,"Public Land Order No. 7016, Correction; Jurisdiction Transfer, Northern Cheyenne Indian Reserved Water Rights Settlement Act of 1992; Montana",2026-08-06,CE-0017N-56
94-9293,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",Yavapai-Apache,title,A,spine_name_in_text,multi_token_exact_span_with_tribal_designator,other,1994-04-18,1,Redesignation of the Yavapai-Apache Reservation to a PSD Class I Area; State of Arizona,2026-08-06,CE-0013Z-D0
94-10323,Nez Perce Tribe,Nez Perce,title,A,spine_name_in_text,multi_token_exact_span_with_tribal_designator,other,1994-04-29,1,Intent To Prepare An Environmental Impact Statement and Floodplain and Wetlands Involvement for the Nez Perce Tribal Hatchery Project,2026-08-06,CE-0017H-D2
94-11085,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",Campo,title,A,spine_name_in_text,exact_span_with_tribal_designator_in_context,other,1994-05-11,1,Campo Band of Mission Indians; Tentative Adequacy Determination of Tribal Municipal Solid Waste Permit Program,2026-08-06,CE-0012T-AK
94-12157,Jamestown S'Klallam Tribe,Jamestown S'Klallam Tribe,title,A,spine_name_in_text,multi_token_exact_span_with_tribal_designator,liquor_ordinance,1994-05-19,1,Jamestown S'Klallam Tribe Liquor Control Ordinance; Notice DEPARTMENT OF THE INTERIOR,2026-08-06,CE-0015G-X9
