fr_ex_parte_notice_id,document_number,publication_date,title,fr_citation,fr_type,agency_names,agency_slugs,docket_ids_as_printed,series,series_basis,body_read,body_read_basis,matched_phrases,parties_named_in_document,communications_disclosed,already_parsed_by,event_class,channel,is_lobbying,rule_basis,source_url,raw_text_url,retrieved_at,confidence_tier,built_date,built_by_script
FREXP-02-5442,02-5442,2002-03-07,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 10401,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",John Wisniewski; David Turner and Frank Winchell; John Wisniewski; P. Stephen DiJulio; Commission*,5,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/03/07/02-5442/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/03/07/02-5442.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-02-8132,02-8132,2002-04-04,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 16105,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",Commission; Commission; Commission; Commission; Terry Doyle; Gloria Young Hartman; Van Button,7,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/04/04/02-8132/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/04/04/02-8132.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-02-12524,02-12524,2002-05-20,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 35540,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM981000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",Paul Friedman; Edward B. Lienbach,2,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/05/20/02-12524/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/05/20/02-12524.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-02-15703,02-15703,2002-06-21,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 42251,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""","Sarah McKinley and Deborah Schweikart; Don Klima; Laura Chappelle, David A. Svanda, Robert B. Nelson; Glen D. Martin; William Gute",5,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/06/21/02-15703/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/06/21/02-15703.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-02-18832,02-18832,2002-07-25,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 48647,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",Barbara Winn; Cheryl B. Creekmore; Stephen S. Adams; Sandra L. Guchea; Jim Martin (Frank Ronsse),5,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/07/25/02-18832/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/07/25/02-18832.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-02-23445,02-23445,2002-09-16,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 58422,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",Steven D. Irvin,1,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/09/16/02-23445/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/09/16/02-23445.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-02-27273,02-27273,2002-10-25,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 65562,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",Don Jack; Gini R. Cooper; Julie Keil (Nan Allen); Nan Allen,4,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/10/25/02-27273/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/10/25/02-27273.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-02-30717,02-30717,2002-12-04,Regulations Governing Off-the-Record Communications; Public Notice,67 FR 72162,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",USDA Forest Service; Gini R. Cooper; Mark Druss; Susan Pengilly Neitzel; L. Lewis Wardle; Medha Kochhar; John T. Gangemi and 2597-019; Becky Coleman; Susan Pengilly Neitzel,9,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2002/12/04/02-30717/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2002/12/04/02-30717.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-03-2236,03-2236,2003-01-30,Regulations Governing Off-the-Record Communications; Public Notice,68 FR 4775,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""","Frank Winchell; Richard Hoffman.*; Kenneth C. Reid, Ph.D./ Susan Pengilly Neitzel; Jay Minthorn; Len Tao; Caleb Slater",6,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2003/01/30/03-2236/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2003/01/30/03-2236.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
FREXP-03-7773,03-7773,2003-04-01,Regulations Governing Off-the-Record Communications; Public Notice,68 FR 15719,Notice,Energy Department; Federal Energy Regulatory Commission,energy-department; federal-energy-regulatory-commission,Docket No. RM98-1-000,FERC_OFF_THE_RECORD_NOTICE,"Body carries the series' own sentence, 'This constitutes notice, in accordance with 18 C[FR] 385.2201(h)' (133's test, reused).",1,Full text retrieved from the Federal Register and typed from the body.,"""Presenter or requester""",Reid Brown; Sharon Waechter; Janet Hutzel; Peter Nauth; David Swearingen; James Martin; Patti Leppert; Jeff Selle,8,code/133_build_ferc_advocacy.py -> data/clean/ferc_ex_parte_parties.csv,ADVOCACY,REGULATORY_EX_PARTE,0,An ex parte / off-the-record disclosure notice records that a named party communicated with the agency about a named proceeding on a named date. It records no position and no money.,https://www.federalregister.gov/documents/2003/04/01/03-7773/regulations-governing-off-the-record-communications-public-notice,https://www.federalregister.gov/documents/full_text/text/2003/04/01/03-7773.txt,2026-09-01,A,2026-09-01,code/154_build_fr_ex_parte_notices.py
