nepa_number,eplanning_project_id,document_name_verbatim,document_release_date,document_type_as_published,document_record_type,event_class,channel,is_lobbying,administrative_record_position,administrative_record_position_quote,lobbying_position,lobbying_position_basis,organization_token_in_document_name,organization_token_basis,commenter_identity_note,source_url,fetched_date,confidence_tier,built_date,built_by_script
DOI-BLM-NV-W010-2021-0008-EA,017686c4-a7f2-f011-8407-001dd80bcf93,210308-NR_Pueblo_Station_Public_Comment.pdf,3/10/2021,,COMMENT_RECORD,ADVOCACY,ADMINISTRATIVE_COMMENT,0,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=017686c4-a7f2-f011-8407-001dd80bcf93&spid=27843879-a8f2-f011-8407-001dd806295a,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-UT-G010-2021-0075-EA,033456cb-a7f2-f011-8407-001dd803d7d3,2021-0075-EA.pdf,4/12/2022,PDF,EA,,,,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=033456cb-a7f2-f011-8407-001dd803d7d3&spid=1fa17980-a8f2-f011-8406-001dd8008d46,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-UT-G010-2026-0050-EA,03c64ca0-6e07-f111-8406-001dd804183b,2026-0050-EA.pdf,2/26/2026,PDF,EA,,,,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=03c64ca0-6e07-f111-8406-001dd804183b&spid=69091f58-6113-f111-8406-001dd8029ed0,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-UT-G010-2025-0075-EA,04963ef1-a7f2-f011-8406-001dd80ef717,Jenks Oil Well_EA_Final_2025-0075.pdf,6/5/2025,PDF,OTHER_PROJECT_DOCUMENT,,,,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=04963ef1-a7f2-f011-8406-001dd80ef717&spid=78f8fe98-a8f2-f011-8407-001dd803d067,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-UT-G010-2024-0045-EA,0549dfe4-a7f2-f011-8407-001dd80bcf22,Wheeler Well Pad_EA_final 2024-0045.pdf,3/15/2024,PDF,OTHER_PROJECT_DOCUMENT,,,,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=0549dfe4-a7f2-f011-8407-001dd80bcf22&spid=5d02c98c-a8f2-f011-8407-001dd803d067,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-CA-D050-2018-0012-EA,055c62a6-a7f2-f011-8407-001dd80bcf93,APPENDIX_D_Salt_Tram_Visual_Contrast_Rating_Worksheets.pdf,10/10/2018,PDF,OTHER_PROJECT_DOCUMENT,,,,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=055c62a6-a7f2-f011-8407-001dd80bcf93&spid=72a1255f-a8f2-f011-8407-001dd80c29f3,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-NV-W030-2023-0005-DNA,05b83ad7-a7f2-f011-8407-001dd803d067,Sulphur_DNA_Final_508.pdf,2/22/2023,PDF,OTHER_PROJECT_DOCUMENT,,,,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=05b83ad7-a7f2-f011-8407-001dd803d067&spid=c8612883-a8f2-f011-8407-001dd80c29f3,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-UT-G010-2026-0067-EA,0617a9f5-2617-f111-8406-001dd8029ed0,2026-0067-General Conformity.pdf,4/3/2026,PDF,OTHER_PROJECT_DOCUMENT,,,,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=0617a9f5-2617-f111-8406-001dd8029ed0&spid=3346b2bc-882f-f111-8342-001dd803d7d3,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-UT-0000-2019-0006-OTHER_NEPA,a04d76ae-a7f2-f011-8406-001dd8008d46,NMCC_Protocol_Comments.pdf,12/23/2019,,COMMENT_RECORD,ADVOCACY,ADMINISTRATIVE_COMMENT,0,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,NMCC,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=a04d76ae-a7f2-f011-8406-001dd8008d46&spid=342f3268-a8f2-f011-8407-001dd803dca7,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
DOI-BLM-AK-0000-2022-0003-EIS,c98dfbca-a7f2-f011-8407-001dd806295a,09_Appendix_H_Community_Public_Comments_508.pdf,6/28/2024,PDF,COMMENT_RECORD,ADVOCACY,ADMINISTRATIVE_COMMENT,0,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE,,"VERBATIM leading token of the filename, recorded as text only. It is NOT resolved to an organisation - SUWA/NTHP/PLPCO are acronyms and acronym matching is how false attributions are made. Resolve it by reading the document, not by guessing.",Commenter names are inside the document file. ePlanning publishes no commenter-level list; see nepa_source_coverage.csv.,https://eplanning.blm.gov/documents?id=c98dfbca-a7f2-f011-8407-001dd806295a&spid=62192a85-a8f2-f011-8407-001dd80db62a,2026-08-12,A,2026-08-12,code/134_build_nepa_eplanning.py
