faads_attribution_key,faads_row_id,fiscal_year,action_date,agency,awarding_sub_agency,cfda_program,cfda_title,award_id_fain,assistance_type,recipient_name,recipient_type,recipient_city,recipient_state,recipient_zip,obligated_usd,canonical_name,entity_class,spine_state,state_check,state_check_passed,match_method,match_pool,confidence_tier,tier_rationale,attributed_date,cedar_uid,faads_row_id_2026_09_01,assistance_transaction_unique_key,faads_repoint_basis
FAT-2FB518B8A952,7052,2002,2001-10-11,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.113,INDIAN SOCIAL SERVICES_WELFARE ASSISTANCE,CTE01T252,10,AGDAAGUX TRIBAL COUNCIL,I,BELKOFSKI (BELKOFSKY),AK,99612,15000.0,Agdaagux Tribe of King Cove,Federally recognized Alaska Native Village,AK,recipient_state=AK == spine_state=AK,1,name+containment,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-00003-JB,7052,1450_CTE01T252_-NONE-_15.113_21,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-DB0A3BAA91B0,32719,2005,2004-10-05,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.022,TRIBAL SELF-GOVERNANCE,GTOSGT612,06,AK CHIN INDIAN COMMUNITY,I,AK CHIN,AZ,85239,27700.0,Ak-Chin Indian Community,Federally recognized tribe,AZ,recipient_state=AZ == spine_state=AZ,1,name+core,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-0011Y-X7,32719,1450_GTOSGT612_-NONE-_15.022_04,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-26B6625354BB,13116,2002,2002-09-23,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.024,INDIAN SELF-DETERMINATION CONTRACT SUPPORT,CTH57T612,06,AK-CHIN INDIAN COMMUNITY,I,AK CHIN,AZ,85239,1590.0,Ak-Chin Indian Community,Federally recognized tribe,AZ,recipient_state=AZ == spine_state=AZ,1,name+core,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-0011Y-X7,13116,1450_CTH57T612_-NONE-_15.024_01,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-CDFB98140C2C,10057,2002,2002-06-17,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.024,INDIAN SELF-DETERMINATION CONTRACT SUPPORT,CTE02T005,06,AKIACHAK NATIVE COMMUNITY,I,AKIACHAK,AK,99551,2466.0,Akiachak Native Community,Federally recognized Alaska Native Village,AK,recipient_state=AK == spine_state=AK,1,name+core/fr+exact,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-00004-R4,10057,1450_CTE02T005_-NONE-_15.024_95,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-3CE54FFB296D,49490,2006,2006-09-08,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.024,INDIAN SELF-DETERMINATION CONTRACT SUPPORT,CTE02T005,06,AKIACHAK NATIVE COMMUNITY,I,AKIACHAK,AK,99551,632.0,Akiachak Native Community,Federally recognized Alaska Native Village,AK,recipient_state=AK == spine_state=AK,1,name+core/fr+exact,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-00004-R4,49490,1450_CTE02T005_-NONE-_15.024_98,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-3CC3CB3C83C4,49426,2006,2006-09-07,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.024,INDIAN SELF-DETERMINATION CONTRACT SUPPORT,CTE02T006,06,AKIAK IRA COUNCIL,I,AKIAK,AK,99552,14031.0,Akiak Native Community,Federally recognized Alaska Native Village,AK,recipient_state=AK == spine_state=AK,1,name+containment/fr+containment,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-00006-4P,49426,1450_CTE02T006_-NONE-_15.024_98,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-D780E997ACAA,6746,2001,2001-09-28,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.024,INDIAN SELF-DETERMINATION CONTRACT SUPPORT,CTB00T830,06,ALABAMA COUSHATTA INDIAN RESER,I,ALABAMA AND COUSHATTA,TX,77351,51688.0,Alabama-Coushatta Tribe of Texas,Federally recognized tribe,TX,recipient_state=TX == spine_state=TX,1,name+containment,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-0011Z-30,6746,1450_CTB00T830_-NONE-_15.024_24,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-61CCA583F859,48755,2006,2006-08-28,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.144,INDIAN CHILD WELFARE ACT_TITLE II GRANTS,GTB00T830,06,ALABAMA COUSHATTA INDIAN RESER,I,ALABAMA AND COUSHATTA,TX,77351,30.0,Alabama-Coushatta Tribe of Texas,Federally recognized tribe,TX,recipient_state=TX == spine_state=TX,1,name+containment,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-0011Z-30,48755,1450_GTB00T830_-NONE-_15.144_07,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-ADAB3ABA9F05,41570,2005,2005-09-27,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,15.037,WATER RESOURCES ON INDIAN LANDS,CTG07T901,06,ALABAMA-QUASSARTE TRIBAL TOWN,I,HUGHES COUNTY,OK,74883,35000.0,Alabama-Quassarte Tribal Town,Federally recognized tribe,OK,recipient_state=OK == spine_state=OK,1,name+exact/fr+exact,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-00120-E9,41570,1450_CTG07T901_-NONE-_15.037_12,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
FAT-099F24E32E57,40079,2005,2005-09-09,Department of the Interior,Bureau of Land Management,15.055,ALASKAN INDIAN ALLOTMENTS AND SUBSISTENCE PREFERENCE_ALASKA NATIONAL INTEREST LANDS CONSERVATION ACT,NAA050016,06,ALASKA PENINSULA CORPORATION,I,ANCHORAGE,AK,99501,200065.0,Alaska Peninsula Corporation,Alaska Native Village Corporation,AK,recipient_state=AK == spine_state=AK,1,name+exact,primary_type_I,B,"Name match only - no DUNS/UEI exists on any pre-FY2007 FAADS row. Recipient-type narrowed, state-verified, organisation-type and trap-token guarded. Never tier A.",2026-08-06,CE-000BD-5N,40079,1422_NAA050016_-NONE-_15.055_-NONE-,re-pointed 2026-09-01 by 791 on the 24 published source columns of the transaction plus its occurrence ordinal; verified content-identical to the row faads_row_id pointed at before the re-extract
