agency,fiscal_year,n_rows,pct_with_duns,pct_with_uei,n_tribal_flagged,pct_with_duns_tribal_rows_only,pct_business_type_other_X,n_record_type_1,obligated_usd,obligated_usd_tribal_flagged
Department of Agriculture,2001,75609,0.0,0.0,1193,0.0,0.2,49601,98233935361.0,126274886.0
Department of Agriculture,2005,79426,0.0,0.0,654,0.0,0.2,50951,115599955059.9,120047058.0
Department of Commerce,2002,3074,0.0,0.0,87,0.0,3.4,0,1582856885.0,30110749.0
Department of Commerce,2006,3371,0.0,0.0,76,0.0,5.8,0,1809077088.0,16564870.0
Department of Education,2003,36399,0.0,0.0,79,0.0,1.9,0,19614708364.0,5877437.0
Department of Education,2007,344401,100.0,95.7,1480,100.0,0.3,0,49352405589.0,66170080.0
Department of Energy,2004,6049,0.0,0.0,55,0.0,1.1,0,2051305289.0,15836454.0
Department of Health and Human Services,2001,38111,0.0,0.0,2361,0.0,0.5,0,16169030377.0,372047295.0
Department of Health and Human Services,2005,69899,0.0,0.0,1796,0.0,0.4,0,32487578893.0,261069328.0
Department of Housing and Urban Development,2002,8026,0.0,0.0,176,0.0,1.1,0,470295591.0,14870138.0
