fiscal_year,cfda_program,agency,recipient_name,recipient_type,recipient_city,recipient_state,recipient_zip,recipient_duns,obligated_usd,assistance_type,action_date,source_url,fetched_date,recipient_uei,recipient_type_description,cfda_title,assistance_type_description,awarding_sub_agency,award_id_fain,record_type,api_endpoint,cedar_uid,assistance_transaction_unique_key,modification_number
2001,15.808,Department of the Interior,EASTERN WASHINGTON UNIVERSITY,H,CHENEY,WA,99004,,19600.00,05,2000-10-01,https://www.usaspending.gov/award/ASST_NON_1434WR97AG0003M1_014/,2026-08-05,,PUBLIC/STATE CONTROLLED INSTITUTION OF HIGHER EDUCATION,U.S. GEOLOGICAL SURVEY_ RESEARCH AND DATA COLLECTION,,U.S. Geological Survey,1434WR97AG0003M1,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1434_1434WR97AG0003M1_-NONE-_15.808_0,0
2001,15.020,Department of the Interior,LUMMI INDIAN BUSINESS COUNCIL,I,BAKERVIEW,WA,98226,,100.00,06,2000-10-05,https://www.usaspending.gov/award/ASST_NON_M00310050_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),AID TO TRIBAL GOVERNMENTS,,Bureau of Indian Affairs and Bureau of Indian Education,M00310050,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_M00310050_-NONE-_15.020_2,2
2001,15.024,Department of the Interior,SKAGIT SYSTEM COOPERATIVE,I,LA CONNER,WA,98257,,43513.00,06,2000-10-05,https://www.usaspending.gov/award/ASST_NON_GTP10X908_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN SELF-DETERMINATION CONTRACT SUPPORT,,Bureau of Indian Affairs and Bureau of Indian Education,GTP10X908,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_GTP10X908_-NONE-_15.024_10,10
2001,15.031,Department of the Interior,SANTA YNEZ BAND OF MISSION IND,I,SANTA YNEZ,CA,93460,,774.00,06,2000-10-06,https://www.usaspending.gov/award/ASST_NON_GTJ54T591_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN COMMUNITY FIRE PROTECTION,,Bureau of Indian Affairs and Bureau of Indian Education,GTJ54T591,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_GTJ54T591_-NONE-_15.031_17,17
2001,15.024,Department of the Interior,NATIVE VILLAGE OF AMBLER,I,AMBLER,AK,99786,,845.00,06,2000-10-06,https://www.usaspending.gov/award/ASST_NON_GTE04T014_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN SELF-DETERMINATION CONTRACT SUPPORT,,Bureau of Indian Affairs and Bureau of Indian Education,GTE04T014,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_GTE04T014_-NONE-_15.024_52,52
2001,15.024,Department of the Interior,BUCKLAND IRA COUNCIL,I,BUCKLAND,AK,99727,,4870.00,06,2000-10-06,https://www.usaspending.gov/award/ASST_NON_GTE04T059_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN SELF-DETERMINATION CONTRACT SUPPORT,,Bureau of Indian Affairs and Bureau of Indian Education,GTE04T059,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_GTE04T059_-NONE-_15.024_41,41
2001,15.024,Department of the Interior,EIGHT NORTHERN INDIAN PUEBLOS,I,CHAMITA,NM,87566,,329.00,06,2000-10-10,https://www.usaspending.gov/award/ASST_NON_CTM25X001_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN SELF-DETERMINATION CONTRACT SUPPORT,,Bureau of Indian Affairs and Bureau of Indian Education,CTM25X001,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_CTM25X001_-NONE-_15.024_03,03
2001,15.024,Department of the Interior,PUEBLO OF PICURIS,I,PENASCO,NM,87553,,796.00,06,2000-10-10,https://www.usaspending.gov/award/ASST_NON_CTM25T709_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN SELF-DETERMINATION CONTRACT SUPPORT,,Bureau of Indian Affairs and Bureau of Indian Education,CTM25T709,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_CTM25T709_-NONE-_15.024_14,14
2001,15.024,Department of the Interior,KASIGLUK VILLAGE COUNCIL,I,KASIGLUK,AK,99609,,6946.00,06,2000-10-11,https://www.usaspending.gov/award/ASST_NON_GTE02T241_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN SELF-DETERMINATION CONTRACT SUPPORT,,Bureau of Indian Affairs and Bureau of Indian Education,GTE02T241,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_GTE02T241_-NONE-_15.024_42,42
2001,15.024,Department of the Interior,DOT LAKE VILLAGE COUNCIL,I,BIG DELTA,AK,99737,,1279.00,06,2000-10-12,https://www.usaspending.gov/award/ASST_NON_GTE03T127_014/,2026-08-05,,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),INDIAN SELF-DETERMINATION CONTRACT SUPPORT,,Bureau of Indian Affairs and Bureau of Indian Education,GTE03T127,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,,1450_GTE03T127_-NONE-_15.024_41,41
