fiscal_year,cfda_program,agency,recipient_name,recipient_type,recipient_city,recipient_state,recipient_zip,recipient_duns,obligated_usd,assistance_type,action_date,source_url,fetched_date,tribe_id,recipient_uei,recipient_type_description,cfda_title,assistance_type_description,awarding_sub_agency,award_id_fain,record_type,api_endpoint,source_file,cedar_uid,assistance_transaction_unique_key,modification_number,geo_recipient_county_fips,geo_recipient_county_name,geo_recipient_state_fips,geo_recipient_place_dominance_share,geo_recipient_place_ambiguous,geo_pop_county_fips,geo_pop_county_name,geo_pop_state_fips,geo_pop_place_dominance_share,geo_pop_place_ambiguous,geo_key_tier,geo_key_basis,geo_built_date,assistance_award_unique_key,assistance_award_unique_key_basis
2007,11.307,Department of Commerce,CITY OF LAURINBURG,C,LAURINBURG,NC,28353,091564120,1000000.00,04,2007-09-18,https://www.usaspending.gov/award/ASST_NON_047905973_013/,2026-08-05,,QKFNNWL82XK2,CITY OR TOWNSHIP GOVERNMENT,ECONOMIC ADJUSTMENT ASSISTANCE,,Economic Development Administration,047905973,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_047905973_-NONE-_11.307_00,00,37165,SCOTLAND,37,,,37165,SCOTLAND,37,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_047905973_013,source_column_112col_object_1086_2026-09-02
2007,11.302,Department of Commerce,HEADWATERS REGIONAL DEVELOPMENT COMMISSION,D,BEMIDJI,MN,56619,185344868,163884.00,04,2007-02-05,https://www.usaspending.gov/award/ASST_NON_068305172_013/,2026-08-05,,C6NCKMP9QMV5,SPECIAL DISTRICT GOVERNMENT,ECONOMIC DEVELOPMENT_SUPPORT FOR PLANNING ORGANIZATIONS,,Economic Development Administration,068305172,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_068305172_-NONE-_11.302_00,00,27007,BELTRAMI,27,,,27007,BELTRAMI,27,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_068305172_013,source_column_112col_object_1086_2026-09-02
2007,11.302,Department of Commerce,"NORTHWEST MONTANA ECONOMIC DEVELOPMENT DISTRICT, INC.",D,LIBBY,MT,59923,805893547,51000.00,04,2007-09-20,https://www.usaspending.gov/award/ASST_NON_058304465_013/,2026-08-05,,F7TDQ8VNZCE3,SPECIAL DISTRICT GOVERNMENT,ECONOMIC DEVELOPMENT_SUPPORT FOR PLANNING ORGANIZATIONS,,Economic Development Administration,058304465,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_058304465_-NONE-_11.302_00,00,30053,LINCOLN,30,,,30053,LINCOLN,30,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_058304465_013,source_column_112col_object_1086_2026-09-02
2007,11.300,Department of Commerce,"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF GREATER LOS ANGELES, CALIFORNIA",M,LOS ANGELES,CA,90010,165133646,1900000.00,04,2007-06-01,https://www.usaspending.gov/award/ASST_NON_070105995_013/,2026-08-05,,SC6JJSKYNNF7,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),INVESTMENTS FOR PUBLIC WORKS AND ECONOMIC DEVELOPMENT FACILITIES,,Economic Development Administration,070105995,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_070105995_-NONE-_11.300_00,00,06037,LOS ANGELES,06,,,06037,LOS ANGELES,06,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_070105995_013,source_column_112col_object_1086_2026-09-02
2007,11.307,Department of Commerce,CITY OF GALENA,C,GALENA,KS,66739,009028424,250000.00,04,2007-09-14,https://www.usaspending.gov/award/ASST_NON_057904498_013/,2026-08-05,,E2PEBDA5C2X1,CITY OR TOWNSHIP GOVERNMENT,ECONOMIC ADJUSTMENT ASSISTANCE,,Economic Development Administration,057904498,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_057904498_-NONE-_11.307_00,00,20021,CHEROKEE,20,,,20021,CHEROKEE,20,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_057904498_013,source_column_112col_object_1086_2026-09-02
2007,11.302,Department of Commerce,CENTRAL COUNCIL TLINGIT AND HAIDA INDIAN TRIBES OF ALASKA,I,JUNEAU,AK,99801,040184616,59000.00,04,2007-02-16,https://www.usaspending.gov/award/ASST_NON_078405973_013/,2026-08-05,,LS3SAF1GZK94,INDIAN/NATIVE AMERICANTRIBAL GOVERNMENT (FEDERALLY RECOGNIZED),ECONOMIC DEVELOPMENT_SUPPORT FOR PLANNING ORGANIZATIONS,,Economic Development Administration,078405973,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_078405973_-NONE-_11.302_00,00,02110,JUNEAU,02,,,02110,JUNEAU,02,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_078405973_013,source_column_112col_object_1086_2026-09-02
2007,11.302,Department of Commerce,COUNTY OF HIDALGO,B,EDINBURG,TX,78539,103110834,323995.00,04,2007-06-25,https://www.usaspending.gov/award/ASST_NON_088604201_013/,2026-08-05,,LHACK1UL6NR3,COUNTY GOVERNMENT,ECONOMIC DEVELOPMENT_SUPPORT FOR PLANNING ORGANIZATIONS,,Economic Development Administration,088604201,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_088604201_-NONE-_11.302_00,00,48215,HIDALGO,48,,,48215,HIDALGO,48,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_088604201_013,source_column_112col_object_1086_2026-09-02
2007,11.302,Department of Commerce,NORTHERN TIER REGIONAL PLANNING & DEVELOPMENT,D,TOWANDA,PA,18848,079180857,60000.00,04,2006-12-11,https://www.usaspending.gov/award/ASST_NON_018308426_013/,2026-08-05,,MUWGMNJ8BGT5,SPECIAL DISTRICT GOVERNMENT,ECONOMIC DEVELOPMENT_SUPPORT FOR PLANNING ORGANIZATIONS,,Economic Development Administration,018308426,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_018308426_-NONE-_11.302_00,00,42015,BRADFORD,42,,,42015,BRADFORD,42,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_018308426_013,source_column_112col_object_1086_2026-09-02
2007,11.300,Department of Commerce,UPSHUR COUNTY DEVELOPMENT AUTHORITY,D,BUCKHANNON,WV,26201,032336567,1750000.00,04,2007-04-06,https://www.usaspending.gov/award/ASST_NON_010108457_013/,2026-08-05,,KH6EHEDNWSZ3,SPECIAL DISTRICT GOVERNMENT,INVESTMENTS FOR PUBLIC WORKS AND ECONOMIC DEVELOPMENT FACILITIES,,Economic Development Administration,010108457,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_010108457_-NONE-_11.300_00,00,54097,UPSHUR,54,,,54097,UPSHUR,54,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_010108457_013,source_column_112col_object_1086_2026-09-02
2007,11.302,Department of Commerce,SOUTHEAST WASHINGTON ECONOMIC DEVELOPMENT ASSOCIATION,D,CLARKSTON,WA,99403,180917494,57000.00,04,2007-04-19,https://www.usaspending.gov/award/ASST_NON_078306007_013/,2026-08-05,,MG1NSNWQS853,SPECIAL DISTRICT GOVERNMENT,ECONOMIC DEVELOPMENT_SUPPORT FOR PLANNING ORGANIZATIONS,,Economic Development Administration,078306007,2,https://api.usaspending.gov/api/v2/bulk_download/awards/,doc_fy2007_archive.zip,,1325_078306007_-NONE-_11.302_00,00,53003,ASOTIN,53,,,53003,ASOTIN,53,,,exact_transaction,usaspending_prime_award_transaction_record_on_assistance_transaction_unique_key,2026-09-02,ASST_NON_078306007_013,source_column_112col_object_1086_2026-09-02
