fiscal_year,A_raw_all_recipients,A_raw_rows,A_clean_lower48_attributed,A_clean_rows,B_assist_from_shared_assistance_file,B_assist_from_bulk_fy2023_2025,B_assist_total_true_FY,B_wide_assist_first_seen_year,B_wide_tribe_rows
2000,0,0,0,0,0,0,0,0.0,56
2002,0,0,0,0,0,0,0,0.0,72
2004,0,0,0,0,0,0,0,0.0,197
2006,0,0,0,0,0,0,0,0.0,206
2008,2045446723.34,14157,1479165049.34,10192,1518788337.34,0,1518788337.34,2087668846.85,520
2010,3912585386.83,23558,2679428162.83,16720,3594615641.83,0,3594615641.83,1821127550.37,508
2012,3505370584.19,18141,2408290639.15,13275,3398034305.19,0,3398034305.19,1101729424.92,480
2014,5689217970.11,29913,4198459435.89,23102,5604356150.11,0,5604356150.11,3394469332.15,511
2016,6564905336.78,33701,4687693667.8,24328,6534725160.78,0,6534725160.78,4808243708.44,533
2018,7986701701.54,39432,5911072816.52,30743,7964441456.8,0,7964441456.8,4550742965.01,531
