recipient_uei,recipient_duns,recipient_ein,cage_code,recipient_name,recipient_state,recipient_city,recipient_zip,n_awards,first_year,last_year,total_obligated_usd,assistance_types,source_lineage,source_file,malformed_flag
KEBVZNK93W87,009001702,,,"NAVAJO NATION TRIBAL GOVERNMENT, THE",AZ,WINDOW ROCK,86515,2488,2008,2022,5245673133.45,02|03|04|05|06|10|11,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
GNZLNKLREX72,080735806,,,CHOCTAW NATION OF OKLAHOMA,OK,DURANT,74701,1581,2008,2022,1790124581.28,02|03|04|05|06|11,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
WZTDGUNAJ5V3,077646446,,,MISSISSIPPI BAND OF CHOCTAW INDIANS,MS,PHILADELPHIA,39350,2298,2008,2022,1152469286.65,02|03|04|05|06|10,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
KS8HLVMJEMW9,070848361,,,CHICKASAW NATION,OK,ADA,74820,1312,2008,2022,996113677.14,02|03|04|05|06|10,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
XKNCQTSZ8VD8,074511999,,,EASTERN BAND OF CHEROKEE INDIANS,NC,CHEROKEE,28719,1905,2008,2022,801509508.75,02|03|04|05|06|10|11,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
RQUZHK1C5PQ4,081923526,,,MANIILAQ ASSOCIATION,AK,KOTZEBUE,99752,1030,2008,2022,671464707.34,02|03|04|05|06,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
FFWAHTLVF2S7,104605407,,,THREE AFFILIATED TRIBES,ND,NEW TOWN,58763,1476,2008,2022,615364379.98,02|03|04|05|06|11,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
CURQFK7J8JX5,004862082,,,PORT AUTHORITY TRANS-HUDSON CORPORATION,NJ,JERSEY CITY,07306,9,2016,2019,558343187.0,04,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
WDMNXB95EXA6,030175194,,,MENOMINEE INDIAN TRIBE OF WISCONSIN,WI,KESHENA,54135,2130,2008,2022,522569627.94,02|03|04|05|06|10|11,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
KEBVZNK93W87,009001702,,,"NAVAJO NATION TRIBAL GOVERNMENT, THE",AZ,WINDOW ROCK (NAVAJO A,86515,724,2010,2017,503632615.98,03|04|05|06|10|11,A,Assistance_PrimeTransactions_2023-04-09_H19M53S53_1.csv,
