system_id,agency,agency_code,bureau_or_office,system_name,system_number,system_named_terms,evidence_type,citation,fr_document_number,publication_date,verbatim_quote,source_url,fetched_date,log_publicly_posted,confidence_tier,notes,source_parse_quality
SORN-DOI-99-10215,Department of the Interior,DOI,"Office of the Secretary, Department of the Interior. ACTION: Proposed revisions to an existing system of records. -----------------------------------------------------------------------","Secretarial Controlled Correspondence File--Interior, OS--20.",,CONTROLLED_CORRESPONDENCE,PRIVACY_ACT_SORN,1999-04-23 FR document 99-10215,99-10215,1999-04-23,"552a), the Office of the Secretary is issuing public notice of its intent to modify an existing Privacy Act system of records notice, OS-20, ``Secretarial Controlled Correspondence File.",https://www.govinfo.gov/content/pkg/FR-1999-04-23/html/99-10215.htm,2026-08-12,NOT_FOUND,A,The SORN is the agency's own published statement that the system exists. It does NOT mean any log is public.,N/A_NOT_FROM_A_FOIA_LOG
SORN-USDA-2023-19829,Department of Agriculture,USDA,"Food and Nutrition Service (FNS), USDA. ACTION: Notice of a new system of record. -----------------------------------------------------------------------","USDA/FNS-13,",FNS-13,CORRESPONDENCE_TRACKING,PRIVACY_ACT_SORN,2023-09-18 FR document 2023-19829,2023-19829,2023-09-18,"POLICIES AND PRACTICES FOR RETENTION AND DISPOSAL OF RECORDS: Mercury will retain and dispose of records in accordance with the following NARA-approved records schedule file code(s) and disposition authorities: (1) FNS-22 Controlled Correspondence Files Correspondence, memoranda, reports, and other records related to congressional inquiries and other correspondence sent to the secretary of Agriculture which is controlled by Secretary's records.",https://www.govinfo.gov/content/pkg/FR-2023-09-18/html/2023-19829.htm,2026-08-12,NOT_FOUND,A,The SORN is the agency's own published statement that the system exists. It does NOT mean any log is public.,N/A_NOT_FROM_A_FOIA_LOG
FOIAEV-BIA-DOI-2025-008466,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Assistant Secretary - Indian Affairs,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-2025-008466, 08/04/2025",,08/04/2025,"the Lumbee Tribe of North Carolina during his service as the Assistant Secretary – Indian Affairs (1985-1989) and as Special Trustee for American Indians (2003- 2009). I request the following records from July 1 to Aug. 1, 2025: 1. I request all records concerning all logs of correspondence that record letters from members of Congress to your bureau/office. The logs should detail the correspondence’s control number, the date it was received, what congressional office sent it and its subject. Please redact constituents’ names and other personal information detailed in these logs to expedite this request. 2. I request all records concerning Freedom of Information Act request logs maintained by your bureau/office. The FOIA logs should detail the request’s control number, the date it was received, who made the request, what company or organization they were from and the request’s subject. 3.",https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_january-december_2025.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: Documents Added Assigned,CLEAN
FOIAEV-BIA-DOI-2026-006079,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Assistant Secretary - Indian Affairs,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-2026-006079, 05/07/2026",,05/07/2026,"(Aquinnah), Massachusetts (1987); (2) Mashpee Wampanoag Tribal Council, Massachusetts (2007); and (3) Shinnecock Tribal Nation, New York (2010). I request the following records from April 1 to May 1, 2026: 1. I request all records concerning all logs of correspondence that record letters from members of Congress to your bureau/office. The logs should detail the correspondence’s control number, the date it was received, what congressional office sent it and its subject. Please redact constituents’ names and other personal",https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_may_2026_redacted.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: Documents Added Closed,SUSPECT_BOUNDARY
FOIAEV-BIA-DOI-ASIA-2024-000024,Interior - Indian Affairs (AS-IA / BIA / BIE),BIA,Assistant Secretary - Indian Affairs,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-ASIA-2024-000024, 11/05/20",,11/05/20,"y United Keetoowah Band-related entity, or acting on behalf of all or any of them; Clo and “ASIA” means the Office of the Assistant Secretary-Indian Affairs, United States Department of the Interior. Requested Documents: Request No. 1: I request copies of all Documents received by the ASIA from the UKB at any time on or after June 8, 2023. Request No 2: I also request copies of all Documents sent by the ASIA to the UKB I request the following records from Oct. 1 to Nov. 1, 2023: 1. I request all records concerning all logs of correspondence that record letters from members of Congress to your bureau/office. The logs should detail the correspondence’s control number, the date it was received, what congressional Clo",https://www.bia.gov/sites/default/files/media_document/as-ia_foia_logs_august-december_2023.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: osed osed,SUSPECT_BOUNDARY
FOIAEV-DOI-DOI-2025-001902,Department of the Interior,DOI,Office of the Secretary,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-2025-001902, 12/2/2024",,12/2/2024,"Dear FOIA Officer, Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, and the implementing FOIA regulations of the agency, I respectfully request the following: From the month of November 2024, all of the following records from Tommy Beaudreau, Deputy Secretary of the Interior: A full calendar export with all entries during business hours, or outside of business hours if in an official capacity. Documents sufficient to account for all flight logs, whether commercial flights, chartered, or military flights for all travel in any official capacity. All congressional correspondence and communications to/from Congressional Offices or Committees for the previous month including responses or document productions to outstanding, extant, or previous congressional inquiries or oversight efforts. All communications to/from the following email domains: @nss.eop.gov, @ustr.eop.gov, @cea.eop.",https://www.doi.gov/sites/default/files/documents/2026-03/december-24-os-foia-logredacted.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: not stated,CLEAN
FOIAEV-DOI-DOI-2025-001919,Department of the Interior,DOI,Office of the Secretary,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-2025-001919, 12/2/2024",,12/2/2024,"Dear FOIA Officer, Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, and the implementing FOIA regulations of the agency, I respectfully request the following: From the month of November 2024, all of the following records from Sally S. Tucker, Senior Communications Advisor for Infrastructure: A full calendar export with all entries during business hours, or outside of business hours if in an official capacity. All congressional correspondence and communications to/from Congressional Offices or Committees for the previous month including responses or document productions to outstanding, extant, or previous congressional inquiries or oversight efforts. All communications to/from the following email domains: @splcenter.org, @demos.org, @aclu.org, @nsc.eop.gov, @eop.gov, @who.eop.gov, and @ovp.eop.gov. All communications sent (not received) via email, SMS, Microsoft Teams, or Slack",https://www.doi.gov/sites/default/files/documents/2026-03/december-24-os-foia-logredacted.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: not stated,CLEAN
FOIAEV-DOI-DOI-2025-001927,Department of the Interior,DOI,Office of the Secretary,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-2025-001927, 12/2/2024",,12/2/2024,"Dear FOIA Officer, Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, and the implementing FOIA regulations of the agency, I respectfully request the following: From the month of November 2024, all of the following records from Andrew G. Wallace, Director, Office of Congressional and Legislative Affairs: A full calendar export with all entries during business hours, or outside of business hours if in an official capacity. All congressional correspondence and communications to/from Congressional Offices or Committees for the previous month including responses or document productions to outstanding, extant, or previous congressional inquiries or oversight efforts. All communications to/from the following email domains: @splcenter.org, @demos.org, @aclu.org, @nsc.eop.gov, @eop.gov, @who.eop.gov, and @ovp.eop.gov. All communications sent (not received) via email, SMS, Microsoft Team",https://www.doi.gov/sites/default/files/documents/2026-03/december-24-os-foia-logredacted.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: not stated,CLEAN
FOIAEV-DOI-DOI-2025-001935,Department of the Interior,DOI,Office of the Secretary,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-2025-001935, 12/2/2024",,12/2/2024,"Dear FOIA Officer, Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, and the implementing FOIA regulations of the agency, I respectfully request the following: From the month of November 2024, all of the following records from Naomie E. Germain, Special Assistant to the Secretary's Chief of Staff: A full calendar export with all entries during business hours, or outside of business hours if in an official capacity. All congressional correspondence and communications to/from Congressional Offices or Committees for the previous month including responses or document productions to outstanding, extant, or previous congressional inquiries or oversight efforts. All communications to/from the following email domains: @splcenter.org, @demos.org, @aclu.org, @nsc.eop.gov, @eop.gov, @who.eop.gov, and @ovp.eop.gov. All communications sent (not received) via email, SMS, Microsoft Teams, or ",https://www.doi.gov/sites/default/files/documents/2026-03/december-24-os-foia-logredacted.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: not stated,CLEAN
FOIAEV-DOI-DOI-2025-002381,Department of the Interior,DOI,Office of the Secretary,,,CONGRESSIONAL_CORRESPONDENCE_LOG,FOIA_LOG_REQUEST,"FOIA control number DOI-2025-002381, 12/27/2024",,12/27/2024,"Dear FOIA Officer, Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, and the implementing FOIA regulations of the agency, I respectfully request the following: From the month of December 2024, all of the following records from Cynthia W. Stachelberg, Senior Advisor and Infrastructure Coordinator: A full calendar export with all entries during business hours, or outside of business hours if in an official capacity. All congressional correspondence and communications to/from Congressional Offices or Committees for the previous month including responses or document productions to outstanding, extant, or previous congressional inquiries or oversight efforts. All communications to/from the following email domains: @splcenter.org, @demos.org, @aclu.org, @nsc.eop.gov, @eop.gov, @who.eop.gov, and @ovp.eop.gov. All communications sent (not received) via email, SMS, Microsoft Teams, or S",https://www.doi.gov/sites/default/files/documents/2026-03/december-24-os-foia-logredacted.pdf,2026-08-12,NO_ONLY_RELEASED_ON_REQUEST,A,A third party asked this bureau for its log of letters from members of Congress and the bureau opened a case with the disposition shown in foia_request_index.csv. That establishes the log EXISTS and has already been located and reviewed once. Request status: not stated,SUSPECT_BOUNDARY
