bill_id,congress,chamber,bill_type,number,title,policy_area,bill_scope,introduced_date,sponsor,disposition,disposition_action_text,disposition_action_date,disposition_basis,reached_floor_vote,n_rollcalls,rollcall_vote_ids,n_actions_on_record,first_action_date,last_action_date,n_entities_in_bridge,entity_ids,outcome_prior_build,source,build_date
103-hr-2366,103,House,hr,2366,Jena Band of Choctaw Indians of Louisiana Confirmation Act,Native Americans,tribe-specific,1993-06-10,"Rep. Baker, Richard H. [R-LA-6]",committee-acted-never-reported,Subcommittee Hearings Held.,1993-07-22,"congress_gov_action_text; this is the MOST FINAL action in the bill's full history - the disposition is INFERRED FROM THE ABSENCE of any later passage, failure, withdrawal or enactment action, not from a statement that the bill died",0,0,,8,1993-06-10,1993-11-08,1,TRBF-JNACTW-00,died-in-committee,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
103-hr-3469,103,House,hr,3469,"To provide for the consideration of a petition for Federal Recognition of the Lumbee Indians of Robeson and adjoining counties, and for other purposes.",Native Americans,general,1993-11-08,"Rep. Thomas, Craig [R-WY-At Large]",referred-and-died-in-committee,Referred to the House Committee on Natural Resources.,1993-11-08,"congress_gov_action_text; this is the MOST FINAL action in the bill's full history - the disposition is INFERRED FROM THE ABSENCE of any later passage, failure, withdrawal or enactment action, not from a statement that the bill died",0,0,,5,1993-11-08,1994-01-21,1,TRBF-LUMBEE-00,died-in-committee,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
103-hr-4757,103,House,hr,4757,Confederated Tribes of the Colville Reservation Grand Coulee Dam Settlement Act,Native Americans,tribe-specific,1994-07-14,"Rep. Miller, George [D-CA-7]",enacted,Became Public Law No: 103-436.,1994-11-02,congress_gov_action_text,0,0,,26,1994-07-14,1994-11-02,1,TRBF-COLVLL-00,enacted,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
103-hr-734,103,House,hr,734,"To amend the Act entitled ""An Act to provide for the extension of certain Federal benefits, services, and assistance to the Pascua Yaqui Indians of Arizona, and for other purposes"".",Native Americans,tribe-specific,1993-02-02,"Rep. Pastor, Ed [D-AZ-2]",enacted,Became Public Law No: 103-357.,1994-10-14,congress_gov_action_text,0,0,,40,1993-02-02,1994-10-14,1,TRBF-PSQYQI-00,enacted,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
103-s-1357,103,Senate,s,1357,Little Traverse Bay Bands of Odawa Indians and the Little River Band of Ottawa Indians Act,Native Americans,tribe-specific,1993-08-04,"Sen. Levin, Carl [D-MI]",enacted,Became Public Law No: 103-324.,1994-09-21,congress_gov_action_text,1,1,H103-0962,39,1993-08-04,1994-09-21,1,TRBF-LTRVRS-00,enacted,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
103-s-2270,103,Senate,s,2270,"A bill to authorize the Secretary of the Interior to transfer 40 acres of land on the Northern Cheyenne Indian Reservation, Montana, to Lame Deer High School District No. 6, Rosebud County, Montana, and for other purposes.",Native Americans,tribe-specific,1994-07-01,"Sen. Baucus, Max [D-MT]",referred-and-died-in-committee,Read twice and referred to the Committee on Indian Affairs.,1994-07-01,"congress_gov_action_text; this is the MOST FINAL action in the bill's full history - the disposition is INFERRED FROM THE ABSENCE of any later passage, failure, withdrawal or enactment action, not from a statement that the bill died",0,0,,3,1994-07-01,1994-07-01,2,TRBF-NORCHY-00|TRBF-ROSEBD-00,died-in-committee,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
107-s-434,107,Senate,s,434,Yankton Sioux Tribe and Santee Sioux Tribe Equitable Compensation Act,Public Lands and Natural Resources,tribe-specific,2001-03-01,"Sen. Daschle, Thomas A. [D-SD]",passed-one-chamber,Passed Senate with amendments by Unanimous Consent. (consideration: CR S7319-7321; text as passed Senate: CR S7319-7321),2002-07-24,congress_gov_action_text,1,1,H107-0930,27,2001-03-01,2002-10-02,2,TRBF-SANTSX-00|TRBF-YANKTN-00,passed-one-chamber,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
111-hr-1061,111,House,hr,1061,Hoh Indian Tribe Safe Homelands Act,Native Americans,tribe-specific,2009-02-13,"Rep. Dicks, Norman D. [D-WA-6]",enacted,Became Public Law No: 111-323.,2010-12-22,congress_gov_action_text,1,1,H111-1322,35,2009-02-13,2010-12-22,1,TRBF-HOHTRB-00,enacted,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
116-hr-297,116,House,hr,297,Little Shell Tribe of Chippewa Indians Restoration Act of 2019,Native Americans,tribe-specific,2019-01-08,"Rep. Gianforte, Greg [R-MT-At Large]",passed-one-chamber,Passed/agreed to in House: On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 403 - 21 (Roll no. 129).(text: CR H2813-2814),2019-03-26,congress_gov_action_text,1,1,H116-0128,14,2019-01-08,2019-03-28,1,TRBF-LSHELL-00,died-in-committee,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
117-s-3773,117,Senate,s,3773,A bill to authorize leases of up to 99 years for land held in trust for the Confederated Tribes of the Chehalis Reservation.,Native Americans,tribe-specific,2022-03-08,"Sen. Cantwell, Maria [D-WA]",enacted,Became Public Law No: 117-346.,2023-01-05,congress_gov_action_text,1,1,H117-0988,26,2022-03-08,2023-01-05,1,TRBF-CHEHLS-00,enacted,Congress.gov API v3 /bill/{congress}/{type}/{number}/actions,2026-08-06
