bill_id,congress,chamber,number,title,policy_area,bill_scope,affected_entities,sponsor,introduced_date,latest_action,outcome,companion_bill_id,bill_type,sponsor_bioguide_id,latest_action_date,cosponsor_count,n_rollcalls,has_rollcall,bill_scope_basis,outcome_basis,companion_basis,classification_source,classification_kappa,record_basis,source_file,build_date,pre_2000_flag,floor_basis_field
103-hr-1325,103,House,1325,Indian Employment and Investment Act of 1993,Taxation,general,,"Rep. Richardson, Bill [D-NM-3]",1993-03-11,Subcommittee Hearings Held.,died-in-committee,103-s-211,hr,R000229,1993-06-22,3.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,single_coded_keyword_rule_on_title,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
103-hr-4462,103,House,4462,Indian Federal Recognition Administrative Procedures Act of 1994,Native Americans,general,,"Rep. Richardson, Bill [D-NM-3]",1994-05-19,Read twice and referred to the Committee on Indian Affairs.,died-in-committee,103-s-1844,hr,R000229,1994-10-08,1.0,1,1,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,two_coder_adjudicated_inherited_from_rollcall,0.952,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
103-s-1844,103,Senate,1844,Indian Federal Recognition Administrative Procedures Act of 1994,Native Americans,general,,"Sen. McCain, John [R-AZ]",1994-02-10,Read twice and referred to the Committee on Indian Affairs.,died-in-committee,103-hr-4462,s,M000303,1994-02-10,2.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
103-s-925,103,Senate,925,Native American Trust Fund Accounting and Management Reform Act of 1993,Native Americans,general,,"Sen. Inouye, Daniel K. [D-HI]",1993-05-07,Committee on Indian Affairs. Hearings held. Hearings printed: S.Hrg. 103-225.,died-in-committee,103-hr-1846,s,I000025,1993-06-22,8.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
104-hr-3828,104,House,3828,Indian Child Welfare Act Amendments of 1996,Native Americans,general,,"Rep. Young, Don [R-AK-At Large]",1996-07-16,"Placed on the Union Calendar, Calendar No. 443.",died-in-committee,104-s-1962,hr,Y000033,1996-09-19,2.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
104-s-2117,104,Senate,2117,Haskell Indian Nations University Administrative Systems Act of 1996,Native Americans,general,,"Sen. Kassebaum, Nancy Landon [R-KS]",1996-09-25,Read twice and referred to the Committee on Indian Affairs.,died-in-committee,104-hr-4098,s,K000017,1996-09-25,1.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
105-hr-293,105,House,293,Indian Reservation Jobs and Investment Act of 1997,Taxation,general,,"Rep. Shadegg, John B. [R-AZ-4]",1997-01-07,Referred to the House Committee on Ways and Means.,died-in-committee,105-s-806,hr,S000275,1997-01-07,1.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,single_coded_keyword_rule_on_title,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
105-hr-948,105,House,948,Burt Lake Band of Ottawa and Chippewa Indians Act,Native Americans,tribe-specific,,"Rep. Kildee, Dale E. [D-MI-9]",1997-03-05,On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 240 - 167 (Roll no. 574).,passed-one-chamber,105-s-746,hr,K000172,1997-11-04,,1,1,designator_pattern:Band of,tribal_bill_intros.final_status,identical_normalized_title_same_congress_opposite_chamber,two_coder_adjudicated_inherited_from_rollcall,0.952,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
105-s-2001,105,Senate,2001,Alaska Native and American Indian Direct Reimbursement Act of 1998,Native Americans,general,,"Sen. Murkowski, Frank H. [R-AK]",1998-04-29,Read twice and referred to the Committee on Indian Affairs.,died-in-committee,105-hr-4088,s,M001085,1998-04-29,4.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,congress_gov_policy_area_native_americans,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
105-s-807,105,Senate,807,Indian Tribal Government Unemployment Compensation Act Tax Relief Amendments of 1997,Labor and Employment,general,,"Sen. McCain, John [R-AZ]",1997-05-23,Read twice and referred to the Committee on Finance.,died-in-committee,105-hr-294,s,M000303,1997-05-23,1.0,0,0,no_specific_entity_matched,latest_action_text,identical_normalized_title_same_congress_opposite_chamber,single_coded_keyword_rule_on_title,,congress_api_bill_metadata,tribal_bill_intros.csv,2026-08-05,1,introduced_date
