bill_id,congress,bill_type,number,title,entity_class,entity_id_prefix,n_spine_entities_in_class,subject_family,matched_phrase,class_match_basis,named_entities_also_in_bridge,build_date
95-hr-3377,95,hr,3377,"A bill to authorize the Wichita Indian Tribe of Oklahoma, and its affiliated bands and groups of Indians, to file with the Indian Claims Commission any of their claims against the United States for lands taken without adequate compensation.",Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),Indian Tribe,"the bill's title names 'Indian Tribe', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-001C5-Y6,2026-08-06
100-hr-4102,100,hr,4102,Salt River Pima-Maricopa Indian Community Water Rights Settlement Act of 1988,Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),policyArea=Native Americans,"the bill's title names 'policyArea=Native Americans', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-001AT-JK,2026-08-06
100-s-2752,100,s,2752,"A bill to declare that certain lands be held in trust for the Quinault Indian Nation, and for other purposes.",Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),policyArea=Native Americans,"the bill's title names 'policyArea=Native Americans', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-00193-34,2026-08-06
103-hr-2376,103,hr,2376,Little Traverse Bay Bands of Odawa Indians and the Little River Band of Ottawa Indians Act,Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),policyArea=Native Americans,"the bill's title names 'policyArea=Native Americans', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-0016D-GE,2026-08-06
103-hr-2768,103,hr,2768,To ratify the transfer of a parcel of land by the Ysleta del Sur Pueblo of Texas.,Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),policyArea=Native Americans,"the bill's title names 'policyArea=Native Americans', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-001CF-T0,2026-08-06
103-hr-4757,103,hr,4757,Confederated Tribes of the Colville Reservation Grand Coulee Dam Settlement Act,Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),policyArea=Native Americans,"the bill's title names 'policyArea=Native Americans', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-0013K-5M,2026-08-06
103-hr-734,103,hr,734,"To amend the Act entitled ""An Act to provide for the extension of certain Federal benefits, services, and assistance to the Pascua Yaqui Indians of Arizona, and for other purposes"".",Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),policyArea=Native Americans,"the bill's title names 'policyArea=Native Americans', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-0018S-2T,2026-08-06
103-s-1146,103,s,1146,Yavapai-Prescott Indian Tribe Water Rights Settlement Act of 1994,Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),Indian Tribe,"the bill's title names 'Indian Tribe', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-0018P-GF,2026-08-06
103-s-1422,103,s,1422,An act to confer jurisdiction on the United States Court of Federal Claims with respect to land claims of Pueblo of Isleta Indian Tribe.,Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),Indian Tribe,"the bill's title names 'Indian Tribe', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-0015B-ZC,2026-08-06
103-s-2329,103,s,2329,Mohegan Nation of Connecticut Land Claims Settlement Act of 1994,Federally Recognized Tribe,TRBF-,348,Native American / American Indian (general),policyArea=Native Americans,"the bill's title names 'policyArea=Native Americans', which is a statute or programme applying to the Federally Recognized Tribe class as a whole. This is a CLASS-level fact, NOT a claim about any individual entity - no tribe_id is asserted.",CE-0016X-GY,2026-08-06
