ferc_filing_id,filing_occurrence_seq,docket_number,subdocket,accession_number,filed_date,issued_date,category,instrument_type,instrument_quote,event_class,channel,is_lobbying,filer_organization_as_recorded,filer_organization_type,filer_is_tribal_entity,resolved_native_entity_id,resolved_native_entity_name,resolution_method,administrative_record_position,administrative_record_position_quote,lobbying_position,lobbying_position_basis,document_description_verbatim,source_url,api_endpoint,fetched_date,confidence_tier,built_date,party_role,filer_entity_link_method,filer_entity_link_tier,filer_entity_link_refusal_reason,docket_native_party_ids,docket_native_party_names,docket_native_party_roles,docket_has_native_party,cedar_uid
FERCFIL-f83233c19ef5619e,1,CP10-41,000,20100331-0005,2010-03-31,,Submittal,COMMENTS,Comments of Washoe Tribe of Nevada and California re the Notice of Intent to Prepare an EA for the,ADVOCACY,ADMINISTRATIVE_COMMENT,0,WASHOE TRIBE OF NEVADA AND CALIFORNIA,OTHER_ORGANIZATION,1,CE-001C1-62,Washoe,name_head,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Comments of Washoe Tribe of Nevada and California re the Notice of Intent to Prepare an EA for the proposed Paiute Pipeline 2010 Expansion Project under CP10-41.,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20100331-0005,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-12,A,2026-08-26,FILER_IS_NATIVE_ENTITY,name_head,A,,CE-001C1-62,Washoe,FILER,1,CE-001C1-62
FERCFIL-d0f1ca6cc7069828,1,CP17-133,000,20171214-5034,2017-12-14,,Submittal,COMMENTS,Comment of Nooksack Indian Tribe of Washington under CP17-133.,ADVOCACY,ADMINISTRATIVE_COMMENT,0,Nooksack Indian Tribe of Washington,OTHER_ORGANIZATION,1,CE-0017M-ZD,Nooksack,fr_official_prefix,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Comment of Nooksack Indian Tribe of Washington under CP17-133.,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20171214-5034,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-26,A,2026-08-26,FILER_IS_NATIVE_ENTITY,fr_official_prefix,A,,CE-0017M-ZD,Nooksack,FILER,1,CE-0017M-ZD
FERCFIL-dc04f495b411c902,1,CP24-468,000,20250307-0003,2025-03-07,,Submittal,COMMENTS,Comments of Alabama Coushatta Tribe of Texas re the inquiry of Section 106 under CP24-468.,ADVOCACY,ADMINISTRATIVE_COMMENT,0,ALABAMA COUSHATTA TRIBE OF TEXAS,OTHER_ORGANIZATION,1,CE-0011Z-30,Alabama-Coushatta,fr_official_name,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Comments of Alabama Coushatta Tribe of Texas re the inquiry of Section 106 under CP24-468.,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20250307-0003,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-12,A,2026-08-26,FILER_IS_NATIVE_ENTITY,fr_official_name,A,,CE-0011Z-30|CE-0013Y-77,Alabama-Coushatta|The Choctaw Nation of Oklahoma,FILER|FILER,1,CE-0011Z-30
FERCFIL-a7785e8b09a2bb72,1,P-10661,000,20171026-5122,2017-10-26,,Submittal,COMMENTS,Comment of Forest County Potawatomi Community of Wisconsin under P-10661.,ADVOCACY,ADMINISTRATIVE_COMMENT,0,Forest County Potawatomi Community of Wisconsin,LOCAL_GOVERNMENT,1,CE-0014H-YJ,Forest County,name_head,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Comment of Forest County Potawatomi Community of Wisconsin under P-10661.,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20171026-5122,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-12,A,2026-08-26,FILER_IS_NATIVE_ENTITY,name_head,A,,CE-0014H-YJ,Forest County,FILER,1,CE-0014H-YJ
FERCFIL-a0c5af5f7f18f77b,1,P-10855,000,19961029-0011,1996-10-17,,Submittal,MOTION_TO_INTERVENE,Motion to intervene of Keweenaw Bay Indian Community in relicensing proceedings for Dead River Hydroelectric,ADVOCACY,ADMINISTRATIVE_COMMENT,0,KEWEENAW BAY INDIAN COMMUNITY,OTHER_ORGANIZATION,1,CE-00160-29,Keweenaw,name_head,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Motion to intervene of Keweenaw Bay Indian Community in relicensing proceedings for Dead River Hydroelectric P-10855.,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=19961029-0011,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-12,A,2026-08-26,FILER_IS_NATIVE_ENTITY,name_head,A,,CE-00160-29,Keweenaw,FILER,1,CE-00160-29
FERCFIL-004e3215f69a90b1,1,P-120,000,20011010-0129,2001-10-09,,Submittal,COMMENTS,Comments of North Fork Mono Tribe concerning professionalism needed at the cltural resource workin,ADVOCACY,ADMINISTRATIVE_COMMENT,0,NORTH FORK MONO TRIBE,OTHER_ORGANIZATION,1,CE-0017P-BZ,North Fork,name_head,NOT_STATED_IN_DOCUMENT_TITLE,,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Comments of North Fork Mono Tribe concerning professionalism needed at the cltural resource working group meetings under P-2175 et al.,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20011010-0129,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-12,A,2026-08-26,FILER_IS_NATIVE_ENTITY,name_head,A,,CE-0012C-PN|CE-0013D-1Y|CE-0017P-BZ,Big Sandy|Cold Springs|North Fork,FILER|FILER|FILER,1,CE-0017P-BZ
FERCFIL-c7e5f3105388f086,1,P-14803,000,20171106-5143,2017-11-06,,Submittal,MOTION_TO_INTERVENE,"Motion to Intervene of YUROK TRIBE, et. al. under P-14803, et. al.. and supporting comments and supporting in",ADVOCACY,ADMINISTRATIVE_COMMENT,0,YUROK TRIBE,OTHER_ORGANIZATION,1,CE-001CK-J4,Yurok,government_class_core,SUPPORT_STATED_IN_DOCUMENT,"OK TRIBE, et. al. under P-14803, et. al.. and supporting comments and supporting information.",,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"Motion to Intervene of YUROK TRIBE, et. al. under P-14803, et. al.. and supporting comments and supporting information.",https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20171106-5143,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-12,A,2026-08-26,FILER_IS_NATIVE_ENTITY,government_class_core,A,,CE-00152-9B|CE-0015M-ND|CE-0015W-5N|CE-001CK-J4,Hoopa|Karuk|Klamath|Yurok,FILER|FILER|FILER|FILER,1,CE-001CK-J4
FERCFIL-de87b7886d19f54c,1,P-2082,000,19970924-0334,1997-09-22,,Submittal,COMMENTS,"Comments of The Klamath Tribe supporting a flow reduction below Iron Gate Development from 1,300 c",ADVOCACY,ADMINISTRATIVE_COMMENT,0,KLAMATH INDIAN TRIBE,OTHER_ORGANIZATION,1,CE-0015W-5N,Klamath,government_class_core,SUPPORT_STATED_IN_DOCUMENT,"Comments of The Klamath Tribe supporting a flow reduction below Iron Gate Development from 1,300 cfs to 1,000 cfs re Klamath Proj-",,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"Comments of The Klamath Tribe supporting a flow reduction below Iron Gate Development from 1,300 cfs to 1,000 cfs re Klamath Proj-2082.",https://elibrary.ferc.gov/eLibrary/filelist?accession_number=19970924-0334,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-26,A,2026-08-26,FILER_IS_NATIVE_ENTITY,government_class_core,A,,CE-0013X-1E|CE-00152-9B|CE-0015M-ND|CE-0015W-5N|CE-00190-HS|CE-0018C-MN|CE-001CK-J4,Confederated Salish|Hoopa|Karuk|Klamath|Quartz Valley|Resighini|Yurok,FILER|FILER|FILER|FILER|FILER|FILER|FILER,1,CE-0015W-5N
FERCFIL-81323e3388e870b6,1,P-460,000,19980916-0101,1998-09-15,,Submittal,MOTION_TO_INTERVENE,"ndian Tribe's opposition to motion of Industry Associations' leave to intervene out of time, etc re Cushman Hydroelectric Proj-460.",ADVOCACY,ADMINISTRATIVE_COMMENT,0,SKOKOMISH INDIAN TRIBE,OTHER_ORGANIZATION,1,CE-001A5-M6,Skokomish,fr_official_name,OPPOSITION_STATED_IN_DOCUMENT,"Skokomish Indian Tribe's opposition to motion of Industry Associations' leave to intervene out of time, etc re Cushman Hydroelec",,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,"Skokomish Indian Tribe's opposition to motion of Industry Associations' leave to intervene out of time, etc re Cushman Hydroelectric Proj-460.",https://elibrary.ferc.gov/eLibrary/filelist?accession_number=19980916-0101,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-12,A,2026-08-26,FILER_IS_NATIVE_ENTITY,fr_official_name,A,,CE-0013X-1E|CE-000R8-88|CE-000SH-3S|CE-001A5-M6,Confederated Salish|National Congress of American Indians|Native American Rights Fund|Skokomish,FILER|FILER|FILER|FILER,1,CE-001A5-M6
FERCFIL-c896afe2877a90f9,1,RM24-9,000,20241119-5022,2024-11-19,,Submittal,COMMENTS,Comments of Cherokee Nation in support of the Alliance for Tribal Clean Energy's Petition for Expe,ADVOCACY,ADMINISTRATIVE_COMMENT,0,Cherokee Nation,OTHER_ORGANIZATION,1,CE-00134-BX,Cherokee Nation,fr_official_name,SUPPORT_STATED_IN_DOCUMENT,Comments of Cherokee Nation in support of the Alliance for Tribal Clean Energy's Petition for Expedited Rulemaking under RM24-9.,,NOT_OBSERVED_IN_THIS_SOURCE - the administrative record and the LDA record are separate observations and are never merged,Comments of Cherokee Nation in support of the Alliance for Tribal Clean Energy's Petition for Expedited Rulemaking under RM24-9.,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20241119-5022,https://elibrary.ferc.gov/eLibraryWebAPI/api/Docket/GetSingleDocketSheet,2026-08-26,A,2026-08-26,FILER_IS_NATIVE_ENTITY,fr_official_name,A,,CE-0012R-Y1|CE-00134-BX|CE-0013Y-77|CE-00172-KB|CE-0017Y-V7|CE-0018Q-P8|CE-001AD-4E|CE-00153-F4|CE-001BZ-N0,Caddo|Cherokee Nation|The Choctaw Nation of Oklahoma|Menominee|Oneida Nation (Wisconsin)|Paskenta|San Carlos|Hopi|Ute Mountain,FILER|FILER|FILER|FILER|FILER|FILER|FILER|FILER|FILER,1,CE-00134-BX
