ferc_ex_parte_id,docket_number,subdocket,accession_number,filed_date,issued_date,event_class,channel,is_lobbying,filed_or_issued_by_as_recorded,filed_or_issued_by_type,communicating_parties_named_in_notice_text,communicating_parties_basis,resolved_native_entity_id,resolved_native_entity_name,ex_parte_quote,document_description_verbatim,rule_basis,source_url,fetched_date,confidence_tier,built_date,built_by_script,off_the_record_communications_in_notice,prohibited_communications_in_notice,exempt_communications_in_notice,dockets_named_in_notice,fr_document_number,fr_citation,fr_publication_date,fr_source_url,fr_notice_date_quote,fr_join_basis,cedar_uid
FERCXP-P-1494-000-20011113-0125,P-1494,000,20011113-0125,2001-11-09,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,Nicholas Jayjack; Mike Brady (Duck Creek; Timothy Batchelder; Joanne Watchelder (Meeting; Anne Howard,"NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 66 FR 57714 (2001-11-16), FR Doc 01-28722. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public notice re regulations governing off-the-record communications under RM98-1 et al.,Public notice re regulations governing off-the-record communications under RM98-1 et al.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20011113-0125,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,5,0,5,1895-000; 1494-232; 2042-000; CP01-384-000; CP01-12-000,01-28722,66 FR 57714,2001-11-16,https://www.federalregister.gov/documents/2001/11/16/01-28722/regulations-governing-off-the-record-communications-public-notice,"November 9, 2001",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-P-2030-000-20031212-3061,P-2030,000,20031212-3061,2003-12-12,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,"Hon. John Edwards; James Martin; Linda Kokemuller, et al; Peter Lickwar; Dr. Knox Mellon","NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 68 FR 70501 (2003-12-18), FR Doc E3-00591. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public notice listing prohibited and exempt off-the-record communications received under RM98-1.,Public notice listing prohibited and exempt off-the-record communications received under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20031212-3061,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,5,0,5,Project No. 2232-407; Docket No. CP02-90-000; Docket No. CP02-78-000; Project No. 2030-000; Project No. 2086-000,E3-00591,68 FR 70501,2003-12-18,https://www.federalregister.gov/documents/2003/12/18/E3-00591/records-governing-off-the-record-communications-public-notice,"December 12, 2003",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-P-2232-407-20031014-3077,P-2232,407,20031014-3077,2003-10-14,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,"J. Wayne Leonard; Barb Varellas; Matthew R. Courter; David Quintana; Jerry Moran; Douglas O. Bean; Don Humason, Jr; Cory Atkins; J.H. Rumpp","NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 68 FR 60362 (2003-10-22), FR Doc E3-00073. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public Notice re Records Governing Off-the Record Communications under RM98-1 et al.,Public Notice re Records Governing Off-the Record Communications under RM98-1 et al.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20031014-3077,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,10,5,5,EL03-132-000; ER03-583-000; Project No. 2342-000; CP03-302-000; Project No. 2232-407; Project Nos. 2000-000; 2216-000; CP03-75-000,E3-00073,68 FR 60362,2003-10-22,https://www.federalregister.gov/documents/2003/10/22/E3-00073/records-governing-off-the-record-communications-public-notice,"October 14, 2003",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-P-4660-000-20020619-0287,P-4660,000,20020619-0287,2002-06-17,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,"Sarah McKinley and Deborah Schweikart; Don Klima; Laura Chappelle, David A. Svanda, Robert B. Nelson; Glen D. Martin; William Gute","NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 67 FR 42251 (2002-06-21), FR Doc 02-15703. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public Notice re Regulations Govering Off-the-Record Communications under RM98-1.,Public Notice re Regulations Govering Off-the-Record Communications under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20020619-0287,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,5,0,5,RT02-2-000; et al; Project Nos. 4204-000; 4659-000; 4660-000; Project No. 11508-000; CP98-150-000,02-15703,67 FR 42251,2002-06-21,https://www.federalregister.gov/documents/2002/06/21/02-15703/regulations-governing-off-the-record-communications-public-notice,"June 17, 2002",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-RM98-1-000-20000103-0276,RM98-1,000,20000103-0276,1999-12-30,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,LeRoy W. Carlson; James Martin; Dale Sorget,"NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 65 FR 771 (2000-01-06), FR Doc 00-230. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public Notice re regulations governing off-the-record communications under RM98-1.,Public Notice re regulations governing off-the-record communications under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20000103-0276,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,3,1,2,CP99-624-000; CP00-6-000; ER99-3144-000; et al,00-230,65 FR 771,2000-01-06,https://www.federalregister.gov/documents/2000/01/06/00-230/regulations-governing-off-the-record-communications-public-notice,"December 30, 1999",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-RM98-1-000-20000229-0227,RM98-1,000,20000229-0227,2000-02-25,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,"Jennifer Kerrigan, FERC; Gordon P. Buckley; Marian Ryan; James Martin, FERC; Kim Jessen; Congressman Ike Skelton; Matthew J. Brower; George Craciun; ISO New England Inc; Jacquelyn M. Frick; David Parham","NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 65 FR 11300 (2000-03-02), FR Doc 00-5024. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public notice re Regulations Governing Off-the-Record Communications under RM98-1.,Public notice re Regulations Governing Off-the-Record Communications under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20000229-0227,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,13,3,10,CP98-150-000 and CP98-151-000; CP98-150-000 and CP998-151-000; CP00-6-000; CP00-14-000; 459-105; CP99-94-000; ER00-996-000 and ER00-971-000; EL99-57-000,00-5024,65 FR 11300,2000-03-02,https://www.federalregister.gov/documents/2000/03/02/00-5024/regulations-governing-off-the-record-communications-public-notice,"February 25, 2000",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-RM98-1-000-20000410-0295,RM98-1,000,20000410-0295,2000-04-07,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,Edwin M. Eudaly; Ken Huntington; Nadine Foley; David A. Stilwell; Todd Mattson; Mark Cline; Lauren O'Donnell; John Wisniewski; Ed Gilliard; Phyllis Gerth; Dean Reichert; Patricia & Bert Hesse; Kenneth J. Robillard and Brenda H. Robillard; Earl J. Weihert,"NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 65 FR 19890 (2000-04-13), FR Doc 00-9171. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public notice of receipt of exempt & prohibited off-the-record communication under RM98-1.,Public notice of receipt of exempt & prohibited off-the-record communication under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20000410-0295,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,16,6,10,CP00-17-000 and CP00-19-00; CP00-6-000; CO00-6-000; CP00-14-000; Project Nos. 2318-002; 2047-004; 2482-014 and 2554-003; CP00-15-000 and CP00-16-000; CP00-40-000; CP99-392-000; CP97-315-000; et al; Project No. 9974-040,00-9171,65 FR 19890,2000-04-13,https://www.federalregister.gov/documents/2000/04/13/00-9171/regulations-governing-off-the-record-communications-public-notice,"April 7, 2000",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-RM98-1-000-20000705-0072,RM98-1,000,20000705-0072,2000-06-30,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,James R. Hartwig; Todd Potas,"NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 65 FR 41981 (2000-07-07), FR Doc 00-17171. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public notice of receipt of exempt and prohibited off-the-record communications received under RM98-1.,Public notice of receipt of exempt and prohibited off-the-record communications received under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20000705-0072,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,3,0,3,CP00-36-000; CP00-14-000,00-17171,65 FR 41981,2000-07-07,https://www.federalregister.gov/documents/2000/07/07/00-17171/regulations-governing-off-the-record-communications-public-notice,"June 30, 2000",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-RM98-1-000-20001010-0433,RM98-1,000,20001010-0433,2000-10-06,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,"Warren Geisler, M.D; Clifford G. Day; Aubry Q. Cohon; Honorable Don Koivisto; Richard G. Gerrits; Randy Kemp; Gerald and Hetty Gray; Richard J. Matrello; Stephen L. Saunders; Steve Means. Randy B. Kelley, Robert W. Echols, Jr. Dawson Partee. Douglas M. Weems. Robert Avery. Bill C. Stewart; Donna E. Graham; Jerry and Iralene Dowdy; Kenneth J. Robillard","NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 65 FR 60931 (2000-10-13), FR Doc 00-26284. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public notice listing exempt and prohibited off-the-record communications re Regulations Governing off-the-record communications under RM98-1.,Public notice listing exempt and prohibited off-the-record communications re Regulations Governing off-the-record communications under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20001010-0433,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,13,1,12,CP00-232-000; CP00-65-000; Project No. 2146-081; Project No. 1864-005; Project No. 1864; Project No. 10875-001; Project No. 9974-043,00-26284,65 FR 60931,2000-10-13,https://www.federalregister.gov/documents/2000/10/13/00-26284/regulations-governing-off-the-record-communications-public-notice,"October 6, 2000",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
FERCXP-RM98-1-000-20001218-0294,RM98-1,000,20001218-0294,2000-12-15,,ADVOCACY,REGULATORY_EX_PARTE,0,SECRETARY OF THE COMMISSION & STAFF,OTHER_ORGANIZATION,"Tim Drake; Timothy Welch; Jon Schmidt; Ken Huntington; Lynn R. Miles; Donald J. Stauber; Ed Martinez. 10. CP98-150-000--11-13-00 & 11-14-00--Juan Polit; Donald B. Koch; CDL Perkins; John Wisniewski; Ann Garrett; Robert D. Glynn, Jr; David Geisler; Lynn Schenk; Michael McCarthy; John J. Wisniewski; Joanne Wachholder; Joe; Tod; Jeff; Brian Romanek; Carol Gleichman; Steve Peace; Governor Gray Davis; W. Ralph Hough. 33. ER00-607 and EL00-95-000--12-13-00 & 12-14-00--Governor Gray; Steven Stoft","NAMED IN THE FEDERAL REGISTER NOTICE TEXT, 'Presenter or requester' column, FR 65 FR 80428 (2000-12-21), FR Doc 00-32531. Transcribed verbatim; row-level detail with each party's docket, file date and prohibited/exempt determination is in ferc_ex_parte_parties.csv.",,,Public notice listing exempt and prohibited off-the-record communications received for preceding 14 days under RM98-1.,Public notice listing exempt and prohibited off-the-record communications received for preceding 14 days under RM98-1.,18 CFR 385.2201 - off-the-record communications are placed in the public file,https://elibrary.ferc.gov/eLibrary/filelist?accession_number=20001218-0294,2026-08-12,C,2026-08-26,code/133_build_ferc_advocacy.py,35,4,31,CP00-14-000; 2042-013; CP00-6-000; 2114; CP98-150-002; CP00-452-000; 5931 and 7282; 8657; CP00-141-000; EL00-95-000; CP97-315-000; et al; EL00-95-000 and; CP00-404-000; CP00-14-000 and CP00-6-000; CP00-15-000 and CP00-16-000; 1494; 2069; EL00-107; ER01-607-000 and EL00-95-000; CP99-94-000; EL00-95; EL00-98,00-32531,65 FR 80428,2000-12-21,https://www.federalregister.gov/documents/2000/12/21/00-32531/regulations-governing-off-the-record-communications-public-notice,"December 15, 2000",EXACT DATE PRINTED IN BOTH SOURCES: the Federal Register notice's own sign-off date equals the eLibrary filed_date of the notice document. No fuzzy or nearest-date matching.,
