hearing_appearance_id,channel,congress,chamber,committee,subcommittee,hearing_title,hearing_date,witness_name,witness_title,witness_organization,entity_id,testimony_url,is_written_only,source_url,source_quote,fetched_date,tier,confidence,built_date,organization_class,resolution_basis,native_slice_basis,promotion_basis,cedar_uid
HRG-113-H-102644-01,HEARING_TESTIMONY,113,House,Natural Resources Committee,Natural Resources Committee,"Legislative hearing on: H.R. 1600 (Grijalva), To prescribe procedures for effective consultation and coordination by Federal agencies with federally recognized Indian tribes regarding Federal Government activities that impact tribal lands and interests to ensure that meaningful tribal input is an integral part of the Federal decisionmaking process. “Requirements, Expectations, and Standard Procedures for Executive Consultation with Tribes (RESPECT) Act”; and H.R. 4668 (Young of AK), To provide for the retention and future use of certain land on Point Spencer in Alaska, to support the statutory missions and duties of the Coast Guard, to convey certain land on Point Spencer to the Bering Straits Native Corporation, to convey certain land on Point Spencer to the State of Alaska, and for other purposes. “Point Spencer Coast Guard and Public-Private Sector Infrastructure Development Facilitation and Land Conveyance Act.”",2014-09-10,Ms. Gail Schubert,President & CEO,Bering Straits Native Corporation,CE-00079-SH,https://www.congress.gov/113/meeting/house/102644/witnesses/HHRG-113-II24-Wstate-SchubertG-20140910.pdf,,https://www.congress.gov/event/113th-congress/house-event/102644,"Ms. Gail Schubert, President & CEO, Bering Straits Native Corporation — Legislative hearing on: H.R. 1600 (Grijalva), To prescribe procedures for effective consultation and coordination by Federal agencies with federally recognized Indian tribes regarding Federal Government activities that impact t…",2026-08-07,B,0.90,2026-08-07,NATIVE_ENTITY_SPINE,exact_name_only,WITNESS_ORG_RESOLVED,,CE-00079-SH
HRG-113-H-100839-04,HEARING_TESTIMONY,113,House,Natural Resources Committee,Natural Resources Committee,"Legislative Hearing on: • HR 623 (Young of AK), To provide for the conveyance of certain property located in Anchorage, Alaska, from the United States to the Alaska Native Tribal Health Consortium. “Alaska Native Tribal Health Consortium Land Transfer Act” • HR 740 (Young of AK), To provide for the settlement of certain claims under the Alaska Native Claims Settlement Act, and for other purposes. “Southeast Alaska Native Land Entitlement Finalization and Jobs Protection Act” • HR 841 (Schrader), To amend the Grand Ronde Reservation Act to make technical corrections, and for other purposes. • HR 931 (Schrader), To provide for the addition of certain real property to the reservation of the Siletz Tribe in the State of Oregon. • HR 1306 (Young of AK), To provide for the partial settlement of certain claims under the Alaska Native Claims Settlement Act. “Southeast Alaska Native Land Conveyance Act” • HR 1410 (Franks), To prohibit gaming activities on certain Indian lands in Arizona until the expiration of certain gaming compacts. “Keep the Promise Act of 2013”",2013-05-16,Mr. Reyn Leno,Tribal Council Chair,The Confederated Tribes of Grand Ronde,CE-0014S-ET,https://www.congress.gov/113/meeting/house/100839/witnesses/HHRG-113-II24-Wstate-LenoR-20130516.pdf,,https://www.congress.gov/event/113th-congress/house-event/100839,"Mr. Reyn Leno, Tribal Council Chair, The Confederated Tribes of Grand Ronde — Legislative Hearing on: • HR 623 (Young of AK), To provide for the conveyance of certain property located in Anchorage, Alaska, from the United States to the Alaska Native Tribal Health Consortium. “Alaska Native Tribal H…",2026-08-07,B,0.75,2026-08-07,NATIVE_ENTITY_SPINE,core_name_only,WITNESS_ORG_RESOLVED,,CE-0014S-ET
HRG-114-H-105104-00,HEARING_TESTIMONY,114,House,Natural Resources Committee,Natural Resources Committee,"Legislative hearing on the following bills: •H.R. 5032 (Rep. Dave Brat), To allow certain property in the town of Louisa, Virginia, to be used for purposes related to compliance with water quality standards, and for other purposes. •H.R. 5430 (Rep. Louie Gohmert), To exempt from the Lacey Act and the Lacey Act Amendments of 1981 certain water transfers between any of the States of Texas, Arkansas, and Louisiana. “Public Water Supply Invasive Species Compliance Act of 2016”; •H.R. 5468 (Rep. Rob Bishop), To direct the Secretary of the Interior to allow for prepayment of repayment obligations under Repayment Contracts between the United States and the Weber Basin Water Conservancy District; and •Discussion draft of H.R. ______, To authorize the Pechanga Band of Luiseño Mission Indians Water Rights Settlement, and for other purposes. “Pechanga Band of Luiseño Mission Indians Water Rights Settlement Act”",2016-06-23,The Honorable Mark Macarro,Tribal Chairman,Pechanga Band of Luiseno Indians,CE-00187-PR,https://www.congress.gov/114/meeting/house/105104/witnesses/HHRG-114-II13-Wstate-MacarroM-20160623.pdf,,https://www.congress.gov/event/114th-congress/house-event/105104,"The Honorable Mark Macarro, Tribal Chairman, Pechanga Band of Luiseno Indians — Legislative hearing on the following bills: •H.R. 5032 (Rep. Dave Brat), To allow certain property in the town of Louisa, Virginia, to be used for purposes related to compliance with water quality standards, and for oth…",2026-08-07,B,0.65,2026-08-07,NATIVE_ENTITY_SPINE,containment_within_official_name_name_only,WITNESS_ORG_RESOLVED,,CE-00187-PR
HRG-114-H-104634-05,HEARING_TESTIMONY,114,House,House Appropriations,"Subcommittee on Interior, Environment, and Related Agencies",American Indian and Alaska Native Public and Outside Witness,2016-03-18,Michael Chavarria,Governor,Santa Clara Pueblo,CE-0019Q-VR,https://www.congress.gov/114/meeting/house/104634/witnesses/HMTG-114-AP06-Wstate-ChavarriaM-20160318.pdf,,https://www.congress.gov/event/114th-congress/house-event/104634,"Michael Chavarria, Governor, Santa Clara Pueblo — American Indian and Alaska Native Public and Outside Witness",2026-08-07,B,0.75,2026-08-07,NATIVE_ENTITY_SPINE,core_name_only,WITNESS_ORG_RESOLVED,,CE-0019Q-VR
HRG-114-H-104633-00,HEARING_TESTIMONY,114,House,House Appropriations,"Subcommittee on Interior, Environment, and Related Agencies",American Indian and Alaska Native Public and Outside Witness,2016-03-18,Bill Baker,Chief,Cherokee Nation,CE-00134-BX,https://www.congress.gov/114/meeting/house/104633/witnesses/HHRG-114-AP06-Wstate-BakerB-20160318.pdf,,https://www.congress.gov/event/114th-congress/house-event/104633,"Bill Baker, Chief, Cherokee Nation — American Indian and Alaska Native Public and Outside Witness",2026-08-07,B,0.90,2026-08-07,NATIVE_ENTITY_SPINE,exact_name_only,WITNESS_ORG_RESOLVED,,CE-00134-BX
HRG-114-H-104633-06,HEARING_TESTIMONY,114,House,House Appropriations,"Subcommittee on Interior, Environment, and Related Agencies",American Indian and Alaska Native Public and Outside Witness,2016-03-18,Victoria Kitcheyan,Treasurer,Winnebago Tribe of Nebraska,CE-001C8-GH,https://www.congress.gov/114/meeting/house/104633/witnesses/HHRG-114-AP06-Wstate-KitcheyanV-20160318.pdf,,https://www.congress.gov/event/114th-congress/house-event/104633,"Victoria Kitcheyan, Treasurer, Winnebago Tribe of Nebraska — American Indian and Alaska Native Public and Outside Witness",2026-08-07,B,0.85,2026-08-07,NATIVE_ENTITY_SPINE,alias_name_only,WITNESS_ORG_RESOLVED,,CE-001C8-GH
HRG-114-H-104633-16,HEARING_TESTIMONY,114,House,House Appropriations,"Subcommittee on Interior, Environment, and Related Agencies",American Indian and Alaska Native Public and Outside Witness,2016-03-18,Mic Isham,Chairman,Great Lakes Indian Fish and Wildlife Commission,CE-000RK-AV,https://www.congress.gov/114/meeting/house/104633/witnesses/HHRG-114-AP06-Wstate-IshamM-20160318.pdf,,https://www.congress.gov/event/114th-congress/house-event/104633,"Mic Isham, Chairman, Great Lakes Indian Fish and Wildlife Commission — American Indian and Alaska Native Public and Outside Witness",2026-08-07,B,0.75,2026-08-07,NATIVE_ENTITY_SPINE,core_name_only,WITNESS_ORG_RESOLVED,,CE-000RK-AV
HRG-114-H-104164-06,HEARING_TESTIMONY,114,House,Natural Resources Committee,Natural Resources Committee,"Legislative hearing on the following bills: H.R. 2009 (Rep. Raúl Grijalva), To provide for the conveyance of certain land inholdings owned by the United States to the Tucson Unified School District and to the Pascua Yaqui Tribe of Arizona. “Pascua Yaqui Tribe Land Conveyance Act of 2015”; H.R. 2719 (Rep. Derek Kilmer), To amend the Coastal Zone Management Act of 1972 to authorize grants to Indian tribes to further achievement of tribal coastal zone objectives, and for other purposes. “Tribal Coastal Resiliency Act”; and H.R. 3079 (Rep. Tom McClintock), To take certain Federal land located in Tuolumne County, California, into trust for the benefit of the Tuolumne Band of Me-Wuk Indians, and for other purposes.",2015-11-04,The Honorable Kevin Day,Chairman,Tuolumne Band of Me-Wuk Indians,CE-001BP-ZZ,https://www.congress.gov/114/meeting/house/104164/witnesses/HHRG-114-II24-Wstate-DayK-20151104.pdf,,https://www.congress.gov/event/114th-congress/house-event/104164,"The Honorable Kevin Day, Chairman, Tuolumne Band of Me-Wuk Indians — Legislative hearing on the following bills: H.R. 2009 (Rep. Raúl Grijalva), To provide for the conveyance of certain land inholdings owned by the United States to the Tucson Unified School District and to the Pascua Yaqui Tribe of…",2026-08-07,B,0.65,2026-08-07,NATIVE_ENTITY_SPINE,containment_within_official_name_name_only,WITNESS_ORG_RESOLVED,,CE-001BP-ZZ
HRG-114-H-103353-03,HEARING_TESTIMONY,114,House,Natural Resources Committee,Natural Resources Committee,"Oversight hearing titled, “The Obama Administration’s Part 83 Revisions and How They May Allow the Interior Department to Create Tribes, not Recognize Them.”",2015-04-22,Mr. Glen Gobin,Vice-Chair and Business Committee Chair,Tulalip Tribes,CE-001BK-DM,https://www.congress.gov/114/meeting/house/103353/witnesses/HHRG-114-II24-Wstate-GobinG-20150422.pdf,,https://www.congress.gov/event/114th-congress/house-event/103353,"Mr. Glen Gobin, Vice-Chair and Business Committee Chair, Tulalip Tribes — Oversight hearing titled, “The Obama Administration’s Part 83 Revisions and How They May Allow the Interior Department to Create Tribes, not Recognize Them.”",2026-08-07,B,0.75,2026-08-07,NATIVE_ENTITY_SPINE,core_name_only,WITNESS_ORG_RESOLVED,,CE-001BK-DM
HRG-115-H-108600-01,HEARING_TESTIMONY,115,House,Oversight and Government Reform Committee,Oversight and Government Reform Committee,“Preserving Opportunities for Grazing on Federal Land”,2018-07-24,Mr. Shannon Wheeler,Chairman,Nez Perce Tribe,CE-0017H-D2,https://www.congress.gov/115/meeting/house/108600/witnesses/HHRG-115-GO28-Wstate-WheelerS-20180724.pdf,,https://www.congress.gov/event/115th-congress/house-event/108600,"Mr. Shannon Wheeler, Chairman, Nez Perce Tribe — “Preserving Opportunities for Grazing on Federal Land”",2026-08-07,B,0.75,2026-08-07,NATIVE_ENTITY_SPINE,core_name_only,WITNESS_ORG_RESOLVED,,CE-0017H-D2
