filing_uuid,filing_year,client_name,entity_id,lda_issue_codes,n_segments,n_segments_matched,n_segments_generic,n_segments_unclassified,issue_families,n_issue_families,text_status,classifier,classifier_version,entity_id_withdrawn,entity_id_withdrawn_reason,entity_id_withdrawn_date,cedar_uid
1b17961c-a712-4c90-b94a-600b33673845,2025,SANTA ROSA COUNTY,,ECN|URB,1,1,0,0,transportation,1,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-001AS-CT,"Santa Rosa County, FLORIDA - a county government, not the Santa Rosa Rancheria Tachi Tribe of California. Matched on the token pair 'rosa santa'.",2026-08-26,
90d668ac-7a12-48e9-b679-af7d9306c8ce,2015,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,5,2,0,3,environment_nr|taxation,2,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
c5a040d9-d5a0-4b3a-a258-8048fa947e4a,2015,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,5,2,0,3,environment_nr|taxation,2,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
f87d3073-c359-432a-8eb9-7bad249176c8,2016,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,5,2,0,3,environment_nr|taxation,2,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
6fdd5081-f343-4984-a6c8-46b4a4ff680c,2017,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,5,2,0,3,environment_nr|taxation,2,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
99e2ca1e-9762-46f8-b7c0-87619738b7bb,2018,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,5,2,0,3,environment_nr|taxation,2,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
51006796-7975-4340-bd82-a483a49ad077,2019,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,1,1,0,0,environment_nr,1,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
37aaeb42-6676-443d-929b-daa88c28fd52,2020,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,1,1,0,0,environment_nr,1,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
b7a61a0f-6049-4b69-ad64-2cfa61ef9aa7,2021,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,1,1,0,0,environment_nr,1,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
d386d396-07e6-43c6-8289-5383d914693c,2022,BRISTOL BAY ECONOMIC DEVELOPMENT CORPORATION,,MAR,1,1,0,0,environment_nr,1,classified,78_content_analysis.py::lobby_classify,2026-08-06,CE-0007A-ZA,"Bristol Bay Economic Development Corporation (BBEDC) is a separate CDQ nonprofit representing 17 Bristol Bay communities. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'. No spine entity exists for BBEDC, so this is unlinked, not repointed.",2026-08-26,
