registrant_id,registrant_name,registrant_state,client_id,client_name,client_state_on_filing,native_entity_id,native_entity_canonical_name,native_entity_class,native_entity_state,client_is_keyed_native,entity_link_confidence_inherited,entity_link_confidence_all,entity_link_attribution_method_inherited,entity_link_matched_alias,n_filings,n_reporting_periods,first_filing_year,last_filing_year,n_distinct_filing_years,engagement_span_years,self_filed_n,spend_reported_usd,spend_sensitivity_percell_max_usd,spend_sensitivity_naive_sum_usd,n_filings_reporting_no_dollar,issue_codes,n_distinct_issue_codes,government_entities_lobbied,termination_dates,first_filing_url,last_filing_url,source,built_by_script,built_date,native_entity_id_withdrawn,native_entity_id_withdrawn_reason,native_entity_id_withdrawn_by_script,native_entity_id_withdrawn_date,cedar_uid
7805,CALISTA CORPORATION,AK,110917,CALISTA CORPORATION,AK,ANRC-CALSTA-00,Calista Corporation,Alaska Native Regional Corporation,AK,1,high,high:108,exact_normalized,calista corp,108,92,1999,2026,28,28,108,2301124.8,2324820.59,2591655.81,41,IND:88|NAT:34|TEC:13|SMB:10|TAR:7|TAX:7|DIS:3|GOV:1|INS:1,9,"HOUSE OF REPRESENTATIVES:77|SENATE:77|Agriculture, Dept of (USDA):29|Interior, Dept of (DOI):29|Bureau of Indian Affairs (BIA):20|Natl Telecommunications & Information Administration (NTIA):13|Defense, Dept of (DOD):11|Small Business Administration (SBA):9|Justice, Dept of (DOJ):9|Army, Dept of (Corps of Engineers):7",2019-10-01,https://lda.gov/filings/public/filing/f30f947f-32d4-4977-95ae-b516d917ac93/print/,https://lda.gov/filings/public/filing/bda6bca4-3da5-445d-9ebf-9e979dc829ee/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-0007B-53
21847,"KOGOVSEK & ASSOCIATES, INC.",CO,128726,SOUTHERN UTE INDIAN TRIBE,CO,TRBF-STHUTE-00,Southern Ute,Federally recognized tribe,CO,1,high,high:90,core_token_set,southern ute,90,83,1999,2024,26,26,0,3003500.0,3003500.0,3223500.0,11,BUD:86|NAT:76|FUE:71|IND:69|GAM:41|HCR:29|CAW:23|LAW:10|ENV:6|TAX:6,17,"HOUSE OF REPRESENTATIVES:89|SENATE:89|Interior, Dept of (DOI):73|Bureau of Indian Affairs (BIA):52|Bureau of Reclamation:18|Environmental Protection Agency (EPA):14|Office of Management & Budget (OMB):8|Council on Environmental Quality (CEQ):6|U.S. Fish & Wildlife Service (USFWS):6|Bureau of Citizenship & Immigration Services (BCIS):1",2024-12-31,https://lda.gov/filings/public/filing/e9369bda-79a3-4a7e-87dd-b891a3617d60/print/,https://lda.gov/filings/public/filing/bc71eb28-701d-4f0d-a3ce-ae25689f8c2a/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-001AX-4Y
36127,"SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP",DC,145106,LAC DU FLAMBEAU BAND OF LAKE SUPERIOR CHIPPEWA,WI,TRBF-LFLAMB-00,Lac du Flambeau,Federally recognized tribe,WI,1,high,high:87,core_token_set,chippewa du flambeau lac lake superior,87,77,2004,2026,22,23,0,410000.0,410000.0,450000.0,54,BUD:47|IND:36|DIS:4|HCR:3|TRA:1,5,"SENATE:54|HOUSE OF REPRESENTATIVES:51|Bureau of Indian Affairs (BIA):25|Environmental Protection Agency (EPA):5|Substance Abuse & Mental Health Services Administration (SAMHSA):5|Administration for Children & Families (ACF):4|Office of Management & Budget (OMB):4|Indian Health Service:4|Agriculture, Dept of (USDA):2|Housing & Urban Development, Dept of (HUD):2",2009-12-01,https://lda.gov/filings/public/filing/2d36e1eb-4c6f-4f58-bfdf-0bf1abc139ee/print/,https://lda.gov/filings/public/filing/3bd0d149-cf9b-429e-b256-1fa8d1c74e32/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-00166-6Z
682,AKIN GUMP STRAUSS HAUER & FELD,DC,100704,THE SENECA NATION OF INDIANS,NY,TRBF-SNCNAT-00,Seneca,Federally recognized tribe,NY,1,high,high:78,exact_normalized_skeleton,seneca nation indians,78,73,2002,2026,23,25,0,6890000.0,6890000.0,7540000.0,18,IND:70|TAX:40|TRA:6|ECN:1|GAM:1|EDU:1,6,"HOUSE OF REPRESENTATIVES:64|SENATE:56|Interior, Dept of (DOI):36|Treasury, Dept of:8|Internal Revenue Service (IRS):3|Natl Indian Gaming Commission:3|Justice, Dept of (DOJ):3|Army, Dept of (Corps of Engineers):2|Bureau of Alcohol Tobacco Firearms & Explosives:1",2010-04-01,https://lda.gov/filings/public/filing/21aa12dc-e6de-4173-acf0-501e217063ed/print/,https://lda.gov/filings/public/filing/47bcc95c-442c-4f37-ba70-8c89a7e35d48/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-001AC-YN
298091,THE FRANKLIN PARTNERSHIP,VA,179867,SHINNECOCK INDIAN NATION,NY,TRBF-SHNNCK-00,Shinnecock,Federally recognized tribe,NY,1,high,high:73,exact_normalized,shinnecock indian nation,73,72,2005,2024,20,20,0,0.0,0.0,0.0,73,IND:2,1,HOUSE OF REPRESENTATIVES:1|SENATE:1,2024-09-30,https://lda.gov/filings/public/filing/75839afa-789b-4260-8b82-a39b0035bf92/print/,https://lda.gov/filings/public/filing/4448ba6e-738a-492d-9185-a27df02e81ac/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-0019Z-B0
8293,CARLYLE CONSULTING,VA,111381,TULE RIVER TRIBAL COUNCIL,CA,TRBF-TULERV-00,Tule River,Federally recognized tribe,CA,1,high,high:69,core_token_set,river tule,69,65,1999,2019,21,21,0,2480000.0,2480000.0,2670000.0,3,IND:67|TAX:1,2,"HOUSE OF REPRESENTATIVES:64|SENATE:64|Bureau of Indian Affairs (BIA):47|Interior, Dept of (DOI):16|U.S. Forest Service:8|Agriculture, Dept of (USDA):2|White House Office:1",2019-07-10,https://lda.gov/filings/public/filing/5c48b141-e5aa-4c09-b621-c012f204392e/print/,https://lda.gov/filings/public/filing/a696480e-b901-45d4-984a-d817148c2512/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-001BM-KD
49327,"NORDHAUS LAW FIRM, LLP",NM,156164,PUEBLO OF LAGUNA,NM,TRBF-LAGUNA-00,Pueblo of Laguna,Federally recognized tribe,NM,1,high,high:67,exact_normalized,pueblo of laguna,67,66,1999,2020,22,22,0,235000.0,235000.0,235000.0,59,IND:25|ENV:6,2,"HOUSE OF REPRESENTATIVES:22|SENATE:22|Interior, Dept of (DOI):13|Justice, Dept of (DOJ):11|Bureau of Indian Affairs (BIA):7|White House Office:2|Federal Emergency Management Agency (FEMA):2|Homeland Security, Dept of (DHS):2|U.S. Fish & Wildlife Service (USFWS):2|Labor, Dept of (DOL):1",2020-09-30,https://lda.gov/filings/public/filing/21c86896-95e4-4536-8a7b-3a76793976e2/print/,https://lda.gov/filings/public/filing/8f4c9aa4-332b-426a-9211-0b36bc4f3629/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-00161-82
75557,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",DC,168010,TUNICA BILOXI TRIBE OF LOUISIANA,LA,TRBF-TUNBIL-00,Tunica-Biloxi,Federally recognized tribe,LA,1,high,high:63,core_token_set,biloxi tunica,63,61,2010,2025,16,16,0,3600000.0,3600000.0,3660000.0,1,IND:63|BUD:50|FIN:38|TAX:30|EDU:16|DEF:10,6,"HOUSE OF REPRESENTATIVES:62|SENATE:62|Defense, Dept of (DOD):10",2025-09-30,https://lda.gov/filings/public/filing/94870ef0-f6d3-4fac-88f9-82a94b574763/print/,https://lda.gov/filings/public/filing/8a624666-5292-4381-b3ac-38434fc3c978/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-001BN-S6
39941,VENABLE LLP,DC,148758,SYCUAN BAND OF KUMEYAAY NATION,CA,TRBF-SYCUAN-00,Sycuan,Federally recognized tribe,CA,1,high,high:61,exact_normalized_skeleton,sycuan band kumeyaay nation,61,54,2003,2018,16,16,0,3375000.0,3375000.0,3785000.0,2,GAM:45|IND:32|TAX:25|BUD:17|LBR:16|GOV:8|ENV:4|NAT:4|CIV:4|DEF:3,12,"HOUSE OF REPRESENTATIVES:54|SENATE:54|Interior, Dept of (DOI):4|Justice, Dept of (DOJ):3",2018-12-01,https://lda.gov/filings/public/filing/4bf66ed8-8a2d-4d79-8b21-3bbcb44e545b/print/,https://lda.gov/filings/public/filing/7d33ced2-b2ba-426a-bf37-3dd5af61c7de/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-001B4-KX
36127,"SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP",DC,145100,PUEBLO OF ISLETA,NM,TRBF-ISLETA-00,Pueblo of Isleta,Federally recognized tribe,NM,1,high,high:58,exact_normalized,pueblo of isleta,58,53,2003,2020,17,18,0,245000.0,245000.0,245000.0,49,IND:14|BUD:6|GAM:1,3,"HOUSE OF REPRESENTATIVES:14|SENATE:14|Bureau of Indian Affairs (BIA):7|Justice, Dept of (DOJ):5|Indian Health Service:4|Office of Management & Budget (OMB):3|Interior, Dept of (DOI):2|Natl Indian Gaming Commission:1|White House Office:1",2011-12-30|2020-06-30,https://lda.gov/filings/public/filing/32f99e99-9e6e-4d76-b4b1-879149fa8dca/print/,https://lda.gov/filings/public/filing/32fc5b96-9b72-4a1c-8042-017b527d101a/print/,"Senate LDA filings API (lda.senate.gov), via code/lobbying_pull",180_build_lobbying_registrant_hub.py,2026-08-26,,,,,CE-0015B-ZC
