scope,scope_value,n_registrants,n_registrant_client_pairs,n_native_entities,total_filings,total_spend_reported_usd,top1_share_filings_pct,top1_share_spend_pct,top3_share_filings_pct,top3_share_spend_pct,top5_share_filings_pct,top5_share_spend_pct,top10_share_filings_pct,top10_share_spend_pct,top20_share_filings_pct,top20_share_spend_pct,top50_share_filings_pct,top50_share_spend_pct,hhi_filings,hhi_spend,entities_using_exactly_one_registrant,entities_using_5_or_more_registrants,median_registrants_per_entity,max_registrants_per_entity,hhi_reading,denominator_reading,built_date
ALL,all_years,406,1309,300,26955,645052868.51,6.89,13.88,17.66,22.71,23.57,29.8,35.28,43.1,48.78,57.12,68.29,75.91,190.0,331.3,65,119,3,16,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2001,82,213,144,478,12968720.0,8.16,34.16,21.97,51.74,31.38,59.14,47.49,71.79,66.74,83.28,88.28,98.08,322.1,1416.7,91,1,1,5,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2004,99,267,171,594,17763620.0,7.74,15.76,22.73,35.8,31.99,45.04,45.96,56.33,63.47,72.65,84.01,95.55,308.7,583.7,101,1,1,5,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2007,125,305,186,684,18956153.0,8.63,11.08,22.51,28.38,32.46,34.71,44.74,45.12,56.58,59.73,77.05,87.24,291.3,368.8,111,2,1,5,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2010,108,290,172,1138,20132184.99,8.96,13.31,20.74,27.77,28.73,35.86,42.53,49.13,57.73,66.71,81.02,90.09,270.8,408.9,108,5,1,7,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2013,110,290,182,1139,24554515.6,9.04,15.8,20.19,29.28,29.24,37.56,45.04,52.39,61.37,68.79,81.3,91.14,284.1,469.6,118,4,1,5,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2016,108,296,189,1175,28624670.0,6.89,16.1,17.62,30.09,27.57,38.44,43.4,55.0,61.28,72.61,82.21,93.0,260.4,498.7,120,3,1,6,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2019,105,303,196,1191,27951500.0,6.97,14.17,18.14,27.02,26.95,36.64,41.73,53.07,59.61,71.07,82.87,92.05,252.8,440.7,126,1,1,5,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2022,102,299,197,1196,28812720.55,6.77,14.58,16.89,28.15,23.91,35.64,38.8,50.81,58.19,68.42,82.78,90.37,233.3,433.2,125,1,1,5,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
FILING_YEAR,2025,121,338,202,1338,38205846.12,5.98,8.27,15.77,19.92,22.5,27.9,34.6,41.46,51.49,59.22,78.4,87.76,198.6,273.3,117,5,1,6,"HHI is on a 0-10,000 scale over registrant shares within the scope. The US DOJ/FTC horizontal merger thresholds (1,500 / 2,500) are quoted only as a familiar yardstick; a market for federal lobbying representation is not a merger market and no antitrust conclusion is asserted.",Shares are of THIS CORPUS - filings whose client keyed to a Native entity - never of a firm's whole practice.,2026-08-26
