client_name,n_filings,total_spend_usd,first_year,last_year,top_registrant,n_registrants,top_issue_codes,native_token_hit,why_unmatched,competing_entity_ids,nearest_alias_considered,pull_keywords
"C.H. ROBINSON WORLDWIDE, INC.",115,9736500.0,2005,2026,"C.H. ROBINSON WORLDWIDE, INC.",4,TRA:110|TAX:30|EDU:2|FOO:2|TRU:2,0,single_token_core_needs_ruling,CE-0019C-S5,inc robinson worldwide,client_id:180965|client_id:207086|client_id:67452|client_id:72010
UTE INDIAN TRIBE,118,4704475.0,2005,2026,PEEBLES BERGIN FKA PEEBLES KIDDER,5,IND:102|ENG:21|NAT:12|BUD:5|GOV:3,1,generic_single_token,CE-001AX-4Y|CE-001BW-3N|CE-001BZ-N0,ute,tribe
"C. H. ROBINSON WORLDWIDE, INC.",73,2800000.0,2008,2025,"DUTKO WORLDWIDE, LLC",1,TRA:73|TAX:35|BUD:1,0,single_token_core_needs_ruling,CE-0019C-S5,inc robinson worldwide,client_id:118315
LEECH LAKE BAND OF OJIBWE,86,1365000.0,2007,2026,MAPETSI POLICY GROUP,5,IND:69|BUD:1|CAW:1|CON:1|ECN:1,1,ambiguous_sibling_family,CE-000QF-D7|CE-00170-7S,leech lake band,band of
AEROFLEX WICHITA INC,18,1070000.0,2002,2009,THE PMA GROUP,1,DEF:15|BUD:4|AVI:1|EDU:1|LAW:1,0,single_token_core_needs_ruling,CE-001C5-Y6,aeroflex inc wichita,client_id:130398
FLORIDA SUGAR CANE LEAGUE GAY & ROBINSON RIO GRANDE VALLEY SUGAR GROWERS,22,844000.0,1999,2008,WILMER CUTLER PICKERING HALE AND DORR LLP,1,TRD:22|TAX:1,0,single_token_core_needs_ruling,CE-0019C-S5,cane florida gay grande growers league rio robinson sugar valley,client_id:151709
ALUTIIQ MANAGEMENT SERVICES,21,660000.0,2001,2009,BLANK ROME GOVERNMENT RELATIONS,2,DEF:21|IND:11|TRA:3|MAR:1,0,single_token_core_needs_ruling,CE-0000D-E5,alutiiq management services,client_id:108475|client_id:152433
OREGON INTERNATIONAL PORT OF COOS BAY,81,590000.0,2007,2026,FBB FEDERAL RELATIONS,2,TRA:73|BUD:7|MAR:7,0,single_token_core_needs_ruling,CE-0013E-7Q,bay coos international oregon port,client_id:129734|client_id:63743
UNIFIED GOVERNMENT OF KANSAS CITY KANSAS AND WYANDOTTE COUNTY,45,539000.0,2009,2019,"ENGAGE, LLC",1,BUD:40|ENV:40|TRA:29|URB:14|TAX:9,0,single_token_core_needs_ruling,CE-001CB-2W,city county government kansas unified wyandotte,client_id:190248
CHUGACH ELECTRIC ASSOCIATION,18,466000.0,2009,2025,"CAPITOL ENERGY ADVOCACY, LLC",2,ENG:4|UTI:1,0,single_token_core_needs_ruling,CE-0007C-BW,association chugach electric,client_id:119741|client_id:52573
