index_year,index_target_returns,downloaded,parsed_here,schedule_c_present,reported_any_lobbying_dollar,distinct_eins_parsed,distinct_eins_linked_to_spine,not_downloaded,coverage_status,coverage_basis,source_index_url,built_date,built_by_script
2017,2842,1930,1930,206,44,1889,222,912,PARTIAL,"IRS e-file index for SUBMISSION year 2017, filtered to the Cedar Native-nonprofit EIN target list: 2,842 indexed target returns, 1,930 (67.9%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 912 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 1,930 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2017/index_2017.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2018,2785,2680,2680,257,60,2353,282,105,PARTIAL,"IRS e-file index for SUBMISSION year 2018, filtered to the Cedar Native-nonprofit EIN target list: 2,785 indexed target returns, 2,680 (96.2%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 105 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 2,680 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2018/index_2018.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2019,2461,2461,2461,227,57,2304,288,0,FULL,"IRS e-file index for SUBMISSION year 2019, filtered to the Cedar Native-nonprofit EIN target list: 2,461 indexed target returns, 2,461 (100.0%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_COMPLETE. NOTHING IS OUTSTANDING FOR THIS YEAR -- there is no fetch backlog here and this row must never be read as one. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2019/index_2019.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2020,2385,2382,2382,227,51,2174,254,3,PARTIAL,"IRS e-file index for SUBMISSION year 2020, filtered to the Cedar Native-nonprofit EIN target list: 2,385 indexed target returns, 2,382 (99.9%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 3 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 2,382 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2020/index_2020.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2021,3414,3338,3338,310,69,3157,408,76,PARTIAL,"IRS e-file index for SUBMISSION year 2021, filtered to the Cedar Native-nonprofit EIN target list: 3,414 indexed target returns, 3,338 (97.8%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 76 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 3,338 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2021/index_2021.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2022,3776,2346,2346,211,46,2242,272,1430,PARTIAL,"IRS e-file index for SUBMISSION year 2022, filtered to the Cedar Native-nonprofit EIN target list: 3,776 indexed target returns, 2,346 (62.1%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 1,430 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 2,346 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2022/index_2022.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2023,4058,3902,3902,350,79,3631,459,156,PARTIAL,"IRS e-file index for SUBMISSION year 2023, filtered to the Cedar Native-nonprofit EIN target list: 4,058 indexed target returns, 3,902 (96.2%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 156 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 3,902 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2023/index_2023.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2024,4241,4093,4093,356,88,3775,486,148,PARTIAL,"IRS e-file index for SUBMISSION year 2024, filtered to the Cedar Native-nonprofit EIN target list: 4,241 indexed target returns, 4,093 (96.5%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 148 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 4,093 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2024/index_2024.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2025,4378,4215,4215,355,79,3931,498,163,PARTIAL,"IRS e-file index for SUBMISSION year 2025, filtered to the Cedar Native-nonprofit EIN target list: 4,378 indexed target returns, 4,215 (96.3%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 163 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 4,215 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
2026,1878,1802,1802,131,34,1771,203,76,PARTIAL,"IRS e-file index for SUBMISSION year 2026, filtered to the Cedar Native-nonprofit EIN target list: 1,878 indexed target returns, 1,802 (96.0%) already on this disk in data/raw/external/irs990_schedc/xml/. STATE = ON_DISK_MOSTLY. 76 return(s) are genuinely NOT_ACQUIRED for this year -- a real fetch, not a join -- and the 1,802 already local are ON_DISK and need promoting, not downloading. Absence here is Cedar's retrieval state and is NEVER an absence at the IRS. Whole corpus: 29,149 of 32,218 indexed target returns local (90.5%), 3,069 genuinely un-downloaded.",https://apps.irs.gov/pub/epostcard/990/xml/2026/index_2026.csv,2026-09-02,code/99_build_earmarks_and_schedc.py
