oira_meeting_id,rin,meeting_date,federal_action_document_number,federal_action_publication_date,federal_action_type,federal_action_title,link_basis,relationship,built_date
OIRA-562,1004-AE26,2014-09-30,2012-11304,2012-05-11,Proposed Rule,"Oil and Gas; Well Stimulation, Including Hydraulic Fracturing, on Federal and Indian Lands",rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-562,1004-AE26,2014-09-30,2015-06658,2015-03-26,Rule,Oil and Gas; Hydraulic Fracturing on Federal and Indian Lands,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-1020,1076-AF18,2015-05-20,2014-17956,2014-07-30,Proposed Rule,Federal Acknowledgment of American Indian Tribes,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-2312,2040-AF59,2016-11-18,2016-09025,2016-04-20,Proposed Rule,Proposal of Certain Federal Water Quality Standards Applicable to Maine,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-2097,1029-AC63,2016-09-28,2015-17308,2015-07-27,Proposed Rule,Stream Protection Rule,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-2082,1029-AC63,2016-09-09,2010-14727,2010-06-18,Proposed Rule,Stream Protection Rule; Environmental Impact Statement,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-3458,1870-AA14,2018-09-14,2018-25314,2018-11-29,Proposed Rule,Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-4591,2120-AL31,2019-10-31,2019-28100,2019-12-31,Proposed Rule,Remote Identification of Unmanned Aircraft Systems,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-5731,2060-AT90,2020-06-30,2019-19876,2019-09-24,Proposed Rule,"Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources Review",rin_exact,co_occurrence_meeting_and_rule,2026-08-07
OIRA-5657,0331-AA03,2020-06-11,2019-28106,2020-01-10,Proposed Rule,Update to the Regulations Implementing the Procedural Provisions of the National Environmental Policy Act,rin_exact,co_occurrence_meeting_and_rule,2026-08-07
