oira_participant_id,oira_meeting_id,meeting_date,rin,agency,participant_name,participant_organization,side,is_requestor_organization,participation_mode,entity_id,organization_class,resolution_basis,tier,confidence,source_url,source_quote,fetched_date,built_date,cedar_uid
OIRA-652-P06,OIRA-652,2014-11-07,2050-AE81,2050-EPA/SWER,William Anderson,Moapa Band of Paiute Indians,EXTERNAL,1,In Person,CE-00174-ZX,NATIVE_ENTITY_SPINE,containment_within_official_name_name_only,B,0.65,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=2050-AE81&meetingId=652&acronym=2050-EPA/SWER,William Anderson - Moapa Band of Paiute Indians,2026-08-07,2026-08-07,CE-00174-ZX
OIRA-2312-P11,OIRA-2312,2016-11-18,2040-AF59,2040-EPA/OW,Mark Chavaree,Penobscot Nation,EXTERNAL,0,In Person,CE-0018D-TE,NATIVE_ENTITY_SPINE,core_name_only,B,0.75,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=2040-AF59&meetingId=2312&acronym=2040-EPA/OW,Mark Chavaree - Penobscot Nation,2026-08-07,2026-08-07,CE-0018D-TE
OIRA-2286-P03,OIRA-2286,2016-11-15,2008-AA02,2008-EPA/RODENVER,Ron Wopsock,Ute Indian Tribe,EXTERNAL,1,In Person,CE-001BW-3N,NATIVE_ENTITY_SPINE,core_name_only,B,0.75,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=2008-AA02&meetingId=2286&acronym=2008-EPA/RODENVER,Ron Wopsock - Ute Indian Tribe,2026-08-07,2026-08-07,CE-001BW-3N
OIRA-2286-P07,OIRA-2286,2016-11-15,2008-AA02,2008-EPA/RODENVER,Sharias MoutainLion,Ute Indian Tribe,EXTERNAL,1,In Person,CE-001BW-3N,NATIVE_ENTITY_SPINE,core_name_only,B,0.75,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=2008-AA02&meetingId=2286&acronym=2008-EPA/RODENVER,Sharias MoutainLion - Ute Indian Tribe,2026-08-07,2026-08-07,CE-001BW-3N
OIRA-4749-P12,OIRA-4749,2019-11-21,1870-AA14,1870-ED/OCR,Mr. Dan Lewerenz,Native American Rights Fund,EXTERNAL,0,In Person,CE-000SH-3S,NATIVE_ENTITY_SPINE,exact_name_only,B,0.90,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=1870-AA14&meetingId=4749&acronym=1870-ED/OCR,Mr. Dan Lewerenz - Native American Rights Fund,2026-08-07,2026-08-07,CE-000SH-3S
OIRA-5657-P05,OIRA-5657,2020-06-11,0331-AA03,0331-CEQ,Valerie Grussing,National Association of Tribal Historic Preservation Officers,EXTERNAL,0,Teleconference,CE-000RS-EH,NATIVE_ENTITY_SPINE,exact_name_only,B,0.90,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=0331-AA03&meetingId=5657&acronym=0331-CEQ,Valerie Grussing - National Association of Tribal Historic Preservation Officers,2026-08-07,2026-08-07,CE-000RS-EH
OIRA-6152-P01,OIRA-6152,2020-11-17,1024-AE49,1024-DOI/NPS,Maggie Massey,Native American Rights Fund,EXTERNAL,0,Teleconference,CE-000SH-3S,NATIVE_ENTITY_SPINE,exact_name_only,B,0.90,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=1024-AE49&meetingId=6152&acronym=1024-DOI/NPS,Maggie Massey - Native American Rights Fund,2026-08-07,2026-08-07,CE-000SH-3S
OIRA-6159-P09,OIRA-6159,2020-11-05,1024-AE49,1024-DOI/NPS,Shasta Gaughen,Pala Band of Mission Indians,EXTERNAL,1,Teleconference,CE-00183-YM,NATIVE_ENTITY_SPINE,alias_name_only,B,0.85,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=1024-AE49&meetingId=6159&acronym=1024-DOI/NPS,Shasta Gaughen - Pala Band of Mission Indians,2026-08-07,2026-08-07,CE-00183-YM
OIRA-169773-P04,OIRA-169773,2022-12-05,0596-AD51,0596-USDA/FS,Janelle Macasaet. Friday,Klawock Cooperative Association,EXTERNAL,0,Teleconference,CE-0002Q-MZ,NATIVE_ENTITY_SPINE,alias_name_only,B,0.85,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=0596-AD51&meetingId=169773&acronym=0596-USDA/FS,Janelle Macasaet. Friday - Klawock Cooperative Association,2026-08-07,2026-08-07,CE-0002Q-MZ
OIRA-244123-P00,OIRA-244123,2023-12-11,0710-AB46,0710-DOD/COE,Valerie Grussing,National Association of Tribal Historic Preservation Officers,EXTERNAL,0,Teleconference,CE-000RS-EH,NATIVE_ENTITY_SPINE,exact_name_only,B,0.90,https://www.reginfo.gov/public/do/viewEO12866Meeting?viewRule=false&rin=0710-AB46&meetingId=244123&acronym=0710-DOD/COE,Valerie Grussing - National Association of Tribal Historic Preservation Officers,2026-08-07,2026-08-07,CE-000RS-EH
