document_number,publication_date,notice_type,institution_name,relationship,party_name_verbatim,party_name_as_published,canonical_name,resolve_method,resolve_status,confidence_tier,source_span_label,source_span_text,cedar_uid
94-4238,1994-02-25,inventory_completion,"of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabody Museum of Natural History, Yale University",consulted,Office of Hawaiian Affairs,Office of Hawaiian Affairs and the Hawai'i,Office of Hawaiian Affairs,conjunction_split+exact,resolved,C,body_sentence,"Hui Malama I Na Kupuna 'O Hawai'i Nei, the Office of Hawaiian Affairs and the Hawai'i, Kaua'i/Nihan, Maui/Lanai, Moloka'i, and O'ahu Burial Councils",CE-000TC-AC
94-13168,1994-05-31,intent_to_repatriate,Nebraska State Historical Society,repatriation_recipient,Pawnee Tribe of Oklahoma,Pawnee Tribe of Oklahoma,Pawnee Nation of Oklahoma,core,resolved,C,repatriation_sentence,Pawnee Tribe of Oklahoma,CE-00186-GZ
94-17582,1994-07-20,inventory_completion,Robert Abbe Museum,consulted,Passamaquoddy Nation,Passamaquoddy Nation,Passamaquoddy Tribe,core,resolved,C,body_sentence,"Penobscot Nation, Aroostook Bank of Micmac, Houlton Band of Maliseet, and the Passamaquoddy Nation, collectively identified hereafter as the Wabanaki Tribes of Maine",CE-0018R-W1
94-23068,1994-09-19,inventory_completion,South Dakota State Archaeological Research Center.,culturally_affiliated,Standing Rock Sioux Tribe,Standing Rock Sioux Tribe,Standing Rock Sioux Tribe of North & South Dakota,containment,resolved,C,affiliation_finding,Standing Rock Sioux Tribe,CE-001AZ-GG
X94-11116,1994-11-16,intent_to_repatriate,Arizona State Capitol Museum,culturally_affiliated,Navajo Nation,Navajo Nation,"Navajo Nation, Arizona, New Mexico, & Utah",core,resolved,C,affiliation_finding,Navajo Nation,CE-0017F-1G
94-31259,1994-12-21,intent_to_repatriate,Heard Museum,repatriation_recipient,Navajo Nation,Navajo Nation,"Navajo Nation, Arizona, New Mexico, & Utah",core,resolved,C,repatriation_sentence,Navajo Nation,CE-0017F-1G
95-2539,1995-02-02,intent_to_repatriate,"Museum of New Mexico, Santa Fe, New Mexico",culturally_affiliated,Navajo Nation,Navajo Nation,"Navajo Nation, Arizona, New Mexico, & Utah",core,resolved,C,affiliation_finding,Navajo Nation,CE-0017F-1G
95-3686,1995-02-15,intent_to_repatriate,"Robert Hull Flemming Museum of the University of Vermont, Burlington, Vermont",culturally_affiliated,Oneida Indian Nation of New York,Oneida Indian Nation of New York,Oneida Nation,containment,resolved,C,affiliation_finding,Oneida Indian Nation of New York,CE-0017X-NE
95-8419,1995-04-06,inventory_completion,Nebraska State Historical Society,consulted,Pawnee Tribe of Oklahoma and twenty-nine (29) other tribes,Pawnee Tribe of Oklahoma and twenty-nine (29) other tribes,Pawnee Nation of Oklahoma,containment,resolved,C,body_sentence,Pawnee Tribe of Oklahoma and twenty-nine (29) other tribes,CE-00186-GZ
95-11158,1995-05-05,intent_to_repatriate,"Maxwell Museum of Anthropology, University of New Mexico",culturally_affiliated,Hopi Tribe,Hopi Tribe,Hopi Tribe of Arizona,core,resolved,C,affiliation_finding,Hopi Tribe,CE-00153-F4
