document_number,publication_date,publication_year,notice_type,notice_title_form,statute_stage,is_correction,title,institution_name,institution_primary,institution_names_all,institution_city,institution_state,institution_count,institution_name_basis,institution_type_derived,responsible_party_statement,object_categories,mni_total_stated,mni_basis,mni_statement_count,mni_statements,n_associated_funerary_objects_stated,n_unassociated_funerary_objects_stated,n_sacred_objects_stated,n_objects_of_cultural_patrimony_stated,cultural_items_total_stated,removal_counties,removal_states,removal_location_statements,removal_location_basis,repatriation_eligible_date,response_deadline_date,window_days_derived,n_consulted_named,n_consulted_resolved,consulted_entity_ids,n_affiliated_named,n_affiliated_resolved,affiliated_entity_ids,n_disposition_priority_named,n_disposition_priority_resolved,disposition_priority_entity_ids,n_repatriation_recipient_named,n_repatriation_recipient_resolved,repatriation_recipient_entity_ids,n_letter_of_support_named,n_letter_of_support_resolved,letter_of_support_entity_ids,n_aboriginal_land_named,n_aboriginal_land_resolved,aboriginal_land_entity_ids,n_parties_named,n_entities_resolved,has_resolved_entity,lineal_descendant_determination,culturally_unidentifiable,parse_template,spans_found,agency_names,html_url,pdf_url,full_text_url,source_url,parent_dataset,fetched_date,artifact_mtime,institution_split_flag,institution_split_basis
03-10916,2003-05-02,2003,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,1,"Notice of Inventory Completion for Native American Human Remains and Associated Funerary Objects in the Possession of the Springfield Science Museum, Springfield, MA; Correction",Springfield Science Museum,Springfield Science Museum,Springfield Science Museum,Springfield,MA,1,title_possession,museum,,,1,determinations_finding,2,determinations:represent the physical remains of one individual of Native American ancestry || description:human remains representing a minimum of one individual,65,39,,,,Santa Barbara,CA,"an unnamed site in Santa Barbara County, CA",body_removal_statement,,2003-06-02,31,1,1,CE-001AW-Y5,1,1,CE-001AW-Y5,0,0,,1,1,CE-001AW-Y5,0,0,,0,0,,3,1,1,0,0,B_nps_template,affiliation_finding|body_sentence|repatriation_sentence,Interior Department; National Park Service,https://www.federalregister.gov/documents/2003/05/02/03-10916/notice-of-inventory-completion-for-native-american-human-remains-and-associated-funerary-objects-in,https://www.govinfo.gov/content/pkg/FR-2003-05-02/pdf/03-10916.pdf,https://www.federalregister.gov/documents/full_text/text/2003/05/02/03-10916.txt,https://www.federalregister.gov/documents/2003/05/02/03-10916/notice-of-inventory-completion-for-native-american-human-remains-and-associated-funerary-objects-in,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
E6-16923,2006-10-12,2006,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: U.S. Department of Energy, Richland Operations Office, Richland, WA and Thomas Burke Memorial Washington State Museum, University of Washington, Seattle, WA","U.S. Department of Energy, Richland Operations Office, Richland, WA and Thomas Burke Memorial Washington State Museum, University of Washington","U.S. Department of Energy, Richland Operations Office, Richland, WA and Thomas Burke Memorial Washington State Museum, University of Washington","U.S. Department of Energy, Richland Operations Office, Richland, WA and Thomas Burke Memorial Washington State Museum, University of Washington",Seattle,WA,1,title_colon,federal_agency,,,1,determinations_finding,2,determinations:represent the physical remains of one individual of Native American ancestry || description:human remains representing a minimum of one individual,7,,,,,Benton,WA,"Benton County, WA || an area within the Hanford site, Benton County, WA, by John A",body_removal_statement,,2006-11-13,32,3,2,CE-001BT-Q3|CE-001CC-8N,2,2,CE-001BT-Q3|CE-001CC-8N,0,0,,3,2,CE-001BT-Q3|CE-001CC-8N,0,0,,3,2,CE-001BT-Q3|CE-001CC-8N,11,2,1,0,0,B_nps_template,aboriginal_land_finding|affiliation_finding|body_sentence|repatriation_sentence,Interior Department; National Park Service,https://www.federalregister.gov/documents/2006/10/12/E6-16923/notice-of-inventory-completion-us-department-of-energy-richland-operations-office-richland-wa-and,https://www.govinfo.gov/content/pkg/FR-2006-10-12/pdf/E6-16923.pdf,https://www.federalregister.gov/documents/full_text/text/2006/10/12/E6-16923.txt,https://www.federalregister.gov/documents/2006/10/12/E6-16923/notice-of-inventory-completion-us-department-of-energy-richland-operations-office-richland-wa-and,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
E7-9455,2007-05-17,2007,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: Museum of Anthropology, Washington State University, Pullman, WA","Museum of Anthropology, Washington State University","Museum of Anthropology, Washington State University","Museum of Anthropology, Washington State University",Pullman,WA,1,title_colon,university,,,9,determinations_finding,2,determinations:represent the physical remains of nine individuals of Native American ancestry || description:human remains representing a minimum of nine individuals,82,,,,,Grays Harbor,WA,"Grays Harbor County, WA || the Minard site (45-GH-15) in Grays Harbor County, WA, by Richard Daugherty, an employee, and Thomas E",body_removal_statement,,2007-06-18,32,1,1,CE-00133-54,1,1,CE-00133-54,0,0,,1,1,CE-00133-54,0,0,,1,1,CE-00133-54,4,1,1,0,0,B_nps_template,aboriginal_land_finding|affiliation_finding|body_sentence|repatriation_sentence,Interior Department; National Park Service,https://www.federalregister.gov/documents/2007/05/17/E7-9455/notice-of-inventory-completion-museum-of-anthropology-washington-state-university-pullman-wa,https://www.govinfo.gov/content/pkg/FR-2007-05-17/pdf/E7-9455.pdf,https://www.federalregister.gov/documents/full_text/text/2007/05/17/E7-9455.txt,https://www.federalregister.gov/documents/2007/05/17/E7-9455/notice-of-inventory-completion-museum-of-anthropology-washington-state-university-pullman-wa,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
E8-15906,2008-07-14,2008,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Effigy Mounds National Monument, Harpers Ferry, IA","U.S. Department of the Interior, National Park Service, Effigy Mounds National Monument","U.S. Department of the Interior, National Park Service, Effigy Mounds National Monument","U.S. Department of the Interior, National Park Service, Effigy Mounds National Monument",Harpers Ferry,IA,1,title_colon,federal_agency,"superintendent, Effigy Mounds National Monument",,8,determinations_finding,4,determinations:represent the physical remains of eight individuals of Native American ancestry || description:human remains representing a minimum of six individuals || description:human remains representing a minimum of one individual || description:human remains representing a minimum of one individual,1,,,,,Allamakee and Clayton|Rockshelter in Allamakee|Rockshelter in Clayton,IA,"Allamakee and Clayton Counties, IA || HWY 76 Rockshelter in Clayton County, IA, by National Park Service archeologist Wilfred Logan || Spike Hollow Rockshelter in Allamakee County, IA, by National Park Service archeologist Wilfred Logan || Marquette-Yellow River Mound Group No",body_removal_statement,,2008-08-13,30,12,12,CE-00150-XS|CE-00159-KT|CE-0015A-SK|CE-0016J-EB|CE-00181-J2|CE-0018N-AP|CE-0019M-9D|CE-0019N-F6|CE-0019P-NZ|CE-001AM-EX|CE-001BX-9E|CE-001C8-GH,9,9,CE-00150-XS|CE-00159-KT|CE-0015A-SK|CE-0016J-EB|CE-00181-J2|CE-0018N-AP|CE-001AM-EX|CE-001BX-9E|CE-001C8-GH,0,0,,9,9,CE-00150-XS|CE-00159-KT|CE-0015A-SK|CE-0016J-EB|CE-00181-J2|CE-0018N-AP|CE-001AM-EX|CE-001BX-9E|CE-001C8-GH,0,0,,0,0,,30,12,1,0,0,B_nps_template,affiliation_finding|body_sentence|repatriation_sentence,Interior Department; National Park Service,https://www.federalregister.gov/documents/2008/07/14/E8-15906/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-effigy-mounds,https://www.govinfo.gov/content/pkg/FR-2008-07-14/pdf/E8-15906.pdf,https://www.federalregister.gov/documents/full_text/text/2008/07/14/E8-15906.txt,https://www.federalregister.gov/documents/2008/07/14/E8-15906/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-effigy-mounds,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
E9-5321,2009-03-12,2009,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,1,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, San Juan Island National Historical Park, Friday Harbor, WA and Thomas Burke Memorial Washington State Museum, University of Washington, Seattle, WA; Correction","U.S. Department of the Interior, National Park Service, San Juan Island National Historical Park, Friday Harbor, WA and Thomas Burke Memorial Washington State Museum, University of Washington","U.S. Department of the Interior, National Park Service, San Juan Island National Historical Park, Friday Harbor, WA and Thomas Burke Memorial Washington State Museum, University of Washington","U.S. Department of the Interior, National Park Service, San Juan Island National Historical Park, Friday Harbor, WA and Thomas Burke Memorial Washington State Museum, University of Washington",Seattle,WA,1,title_colon,federal_agency,"superintendent, San Juan Island National Historical Park",,34,determinations_finding,8,determinations:represent the physical remains of 34 individuals of Native American ancestry || description:human remains representing a minimum of four individuals || description:human remains representing a minimum of two individuals || description:human remains representing a minimum of one individual || description:human remains representing a minimum of seven individuals || description:human remains representing a minimum of eight individuals || description:human remains representing a minimum of five individuals || description:human remains representing a minimum of seven individuals,,,,,,San Juan|in San Juan,ID|WA,"four prehistoric archeological sites within the boundaries of San Juan Island National Historical Park, San Juan County, WA || the Cattle Point Site (45-SJ-01) on San Juan Island in San Juan County, WA, during legally authorized excavations by University of Washington archeologist Arden King || the Guss Island Site (45-SJ-21) in San Juan County, WA, during legally authorized excavations as a part of University of Washington Field Project led by Adan Treganza || the Guss Island Site (45-SJ-21) in San Juan County, WA, during legally authorized excavations by University of Washington Professor Julie Stein || the English Camp Site (45-SJ-24) in San Juan County, WA, during a University of Washington summer field school directed by Professor Adan Treganza of San Francisco State University || the English Camp Site in San Juan County, WA, during University of Idaho field schools directed by Dr",body_removal_statement,,2009-04-13,32,3,3,CE-0016F-W0|CE-0019G-H9|CE-001B2-7B,1,1,CE-0016F-W0,0,0,,1,1,CE-0016F-W0,0,0,,1,1,CE-0016F-W0,6,3,1,0,0,B_nps_template,aboriginal_land_finding|affiliation_finding|body_sentence|repatriation_sentence,Interior Department; National Park Service,https://www.federalregister.gov/documents/2009/03/12/E9-5321/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-san-juan-island,https://www.govinfo.gov/content/pkg/FR-2009-03-12/pdf/E9-5321.pdf,https://www.federalregister.gov/documents/full_text/text/2009/03/12/E9-5321.txt,https://www.federalregister.gov/documents/2009/03/12/E9-5321/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-san-juan-island,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
2011-2793,2011-02-09,2011,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Dinosaur National Monument, Dinosaur, CO","U.S. Department of the Interior, National Park Service, Dinosaur National Monument","U.S. Department of the Interior, National Park Service, Dinosaur National Monument","U.S. Department of the Interior, National Park Service, Dinosaur National Monument",Dinosaur,CO,1,title_colon,federal_agency,"Superintendent, Dinosaur National Monument",associated_funerary_objects|human_remains,8,determinations_finding,7,determinations:represent the physical remains of eight individuals of Native American ancestry || description:human remains representing a minimum of one individual || description:human remains representing a minimum of one individual || description:human remains representing a minimum of two individuals || description:human remains representing a minimum of two individuals || description:human remains representing a minimum of one individual || description:human remains representing a minimum of one individual,181,,,,,Moffat|Uintah,CO|UT,"six sites in Moffat County, CO, and Uintah County, UT || the Deluge Shelter site, in Uintah County, UT, during professional archeological investigations under the direction of David Breternitz || the Arrowhead Point site, in Uintah County, UT, during professional archeological excavations under the direction of David Breternitz || the Burnt House Village site, in Uintah County, UT, during professional archeological excavations under the direction of David Breternitz || the Pool Creek site, in Moffat County, CO, during pedestrian archeological survey work under the direction of J || the Juniper Ledge site, in Uintah County, UT, during pedestrian archeological survey work under the direction of J",body_removal_statement,,2011-03-11,30,9,8,CE-0013G-K9|CE-0013W-VN|CE-0019H-Q2|CE-0019Q-VR|CE-001AV-RC|CE-001BW-3N|CE-001BZ-N0|CE-001CM-RX,0,0,,5,4,CE-001AX-4Y|CE-001BW-3N|CE-001BZ-N0|CE-001CM-RX,0,0,,0,0,,3,3,CE-001AX-4Y|CE-001BW-3N|CE-001BZ-N0,17,9,1,0,1,B_nps_template,aboriginal_land_finding|consultation_section|disposition_finding,Interior Department; National Park Service,https://www.federalregister.gov/documents/2011/02/09/2011-2793/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-dinosaur-national,https://www.govinfo.gov/content/pkg/FR-2011-02-09/pdf/2011-2793.pdf,https://www.federalregister.gov/documents/full_text/text/2011/02/09/2011-2793.txt,https://www.federalregister.gov/documents/2011/02/09/2011-2793/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-dinosaur-national,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
2012-4517,2012-02-27,2012,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: Central Washington University Department of Anthropology, Ellensburg, WA",Central Washington University Department of Anthropology,Central Washington University Department of Anthropology,Central Washington University Department of Anthropology,Ellensburg,WA,1,title_colon,university,"museum, institution or Federal agency that has control of the Native American human remains and associated funerary object",associated_funerary_objects|human_remains,1,determinations_finding,2,"determinations:represent the physical remains of one individual of Native American ancestry || description:human remains representing, at minimum, one individual",1,,,,,Colville'' in Stevens|Stevens,WA,"Stevens County, WA || Stevens County, WA, by an unknown individual || ``Colville'' in Stevens County, WA",body_removal_statement,,2012-03-28,30,1,1,CE-0013K-5M,1,1,CE-0013K-5M,0,0,,1,1,CE-0013K-5M,0,0,,0,0,,3,1,1,0,0,B_nps_template,affiliation_finding|consultation_section|repatriation_sentence,Interior Department; National Park Service,https://www.federalregister.gov/documents/2012/02/27/2012-4517/notice-of-inventory-completion-central-washington-university-department-of-anthropology-ellensburg,https://www.govinfo.gov/content/pkg/FR-2012-02-27/pdf/2012-4517.pdf,https://www.federalregister.gov/documents/full_text/text/2012/02/27/2012-4517.txt,https://www.federalregister.gov/documents/2012/02/27/2012-4517/notice-of-inventory-completion-central-washington-university-department-of-anthropology-ellensburg,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
2012-17625,2012-07-19,2012,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: The University of Montana, Missoula, MT",University of Montana,University of Montana,University of Montana,Missoula,MT,1,title_colon,university,institution that has control of the Native American human remains and associated funerary objects,associated_funerary_objects|human_remains,4,determinations_finding,6,"determinations:represent the physical remains of four individuals of Native American ancestry || description:Human remains of three individuals || description:Human remains of one individual || description:human remains representing, at minimum, two individuals || description:human remains representing, at minimum, one individual || description:human remains representing, at minimum, one individual",,,,,,Lake|Lake in Lake,MT,"locations along the west shore of Flathead Lake in Lake County, MT || within the city limits of Missoula, MT || the west shore of Flathead Lake, north of the Flathead Reservation, in Lake County, MT || a primary, flexed burial in a rock outcropping on the west shore of Flathead Lake, in Lake County, MT, during real estate development",body_removal_statement,,2012-08-20,32,2,2,CE-0013X-1E|CE-0015Z-Q0,2,2,CE-0013X-1E|CE-0015Z-Q0,0,0,,2,2,CE-0013X-1E|CE-0015Z-Q0,0,0,,2,2,CE-0013X-1E|CE-0015Z-Q0,8,2,1,0,0,B_nps_template,aboriginal_land_finding|affiliation_finding|consultation_section|repatriation_sentence,Interior Department; National Park Service,https://www.federalregister.gov/documents/2012/07/19/2012-17625/notice-of-inventory-completion-the-university-of-montana-missoula-mt,https://www.govinfo.gov/content/pkg/FR-2012-07-19/pdf/2012-17625.pdf,https://www.federalregister.gov/documents/full_text/text/2012/07/19/2012-17625.txt,https://www.federalregister.gov/documents/2012/07/19/2012-17625/notice-of-inventory-completion-the-university-of-montana-missoula-mt,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
2013-28910,2013-12-03,2013,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Canyonlands National Park, Moab, UT","U.S. Department of the Interior, National Park Service, Canyonlands National Park","U.S. Department of the Interior, National Park Service, Canyonlands National Park","U.S. Department of the Interior, National Park Service, Canyonlands National Park",Moab,UT,1,title_colon,federal_agency,"Superintendent, Canyonlands National Park",associated_funerary_objects|human_remains,2,determinations_finding,3,"determinations:represent the physical remains of two individuals of Native American ancestry || description:human remains representing, at minimum, one individual || description:human remains representing, at minimum, one individual",30,,,,,San Juan,UT,"Canyonlands National Park, San Juan County, UT || site 42Sa07005 in San Juan County, UT || site 42Sa08506 in San Juan County, UT",body_removal_statement,,2014-01-02,30,17,17,CE-0011Y-X7|CE-0014D-6E|CE-0014N-PP|CE-00155-VP|CE-00174-ZX|CE-0017A-3K|CE-0018V-EC|CE-0019Q-VR|CE-001AD-4E|CE-001AE-A7|CE-001AT-JK|CE-001AV-RC|CE-001AX-4Y|CE-001B9-HT|CE-001BW-3N|CE-001BZ-N0|CE-001C0-09,0,0,,7,7,CE-0017F-1G|CE-0019Q-VR|CE-001AE-A7|CE-001AV-RC|CE-001AX-4Y|CE-001BW-3N|CE-001BZ-N0,0,0,,0,0,,1,1,CE-0017F-1G,25,18,1,0,1,B_nps_template,aboriginal_land_finding|consultation_section|disposition_finding,Interior Department; National Park Service,https://www.federalregister.gov/documents/2013/12/03/2013-28910/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-canyonlands,https://www.govinfo.gov/content/pkg/FR-2013-12-03/pdf/2013-28910.pdf,https://www.federalregister.gov/documents/full_text/text/2013/12/03/2013-28910.txt,https://www.federalregister.gov/documents/2013/12/03/2013-28910/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-canyonlands,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
2015-25024,2015-10-01,2015,inventory_completion,Notice of Inventory Completion,25 U.S.C. 3003 inventory / cultural affiliation,0,"Notice of Inventory Completion: U.S. Department of the Interior, National Park Service, Big Bend National Park, TX","U.S. Department of the Interior, National Park Service","U.S. Department of the Interior, National Park Service","U.S. Department of the Interior, National Park Service",Big Bend National Park,TX,1,title_colon,federal_agency,"Superintendent, Big Bend National Park",associated_funerary_objects|human_remains,7,determinations_finding,5,"determinations:represent the physical remains of seven individuals of Native American ancestry || description:human remains representing, at minimum, three individuals || description:human remains representing, at minimum, one individual || description:human remains representing, at minimum, two individuals || description:human remains representing, at minimum, one individual",75,,,,,Brewster|site in Brewster,TX,"Big Bend National Park, Brewster County, TX || an unknown site in Brewster County, TX, by unknown individuals || site 41BS360 in Brewster County, TX, during a survey by the University of Texas || the Black Willow site in Brewster County, TX, during legally authorized excavations || the Rough Run site in Brewster County, TX, during legally authorized excavations",body_removal_statement,,2015-11-02,32,5,5,CE-00124-6D|CE-0013G-K9|CE-0017A-3K|CE-001AD-4E|CE-001CF-T0,0,0,,16,15,CE-00122-TV|CE-00124-6D|CE-0013G-K9|TRBF-FSCWSA-00|CE-0015E-HQ|CE-0015Q-7R|CE-0015R-DH|CE-0015S-KA|CE-0015V-ZW|CE-0017A-3K|CE-001AD-4E|CE-001BF-NG|CE-001C5-Y6|CE-001C7-AR|CE-001CF-T0,0,0,,0,0,,7,7,CE-00122-TV|TRBF-FSCWSA-00|CE-0015E-HQ|CE-0017A-3K|CE-001AD-4E|CE-001BF-NG|CE-001C7-AR,28,15,1,0,1,B_nps_template,aboriginal_land_finding|consultation_section|disposition_finding,Interior Department; National Park Service,https://www.federalregister.gov/documents/2015/10/01/2015-25024/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-big-bend-national,https://www.govinfo.gov/content/pkg/FR-2015-10-01/pdf/2015-25024.pdf,https://www.federalregister.gov/documents/full_text/text/2015/10/01/2015-25024.txt,https://www.federalregister.gov/documents/2015/10/01/2015-25024/notice-of-inventory-completion-us-department-of-the-interior-national-park-service-big-bend-national,federal_actions.csv (Cedar Press Dataset 9),,2026-08-06,,
