verification_id,awardee_uei,cage_code_modal,awardee_name_modal,awardee_name_variants,recipient_state_modal,candidate_basis,n_contract_rows,total_obligations_usd,fy_min,fy_max,obligations_rank_among_unattributed,sam_self_certification,sam_flags_asserted,sam_flag_contract_rows,sam_flag_row_share,sam_setaside_values,self_description,self_description_sentence,self_description_url,self_description_fetch_date,self_description_http_status,self_description_ownership_kind,third_party,third_party_source_type,third_party_sentence,third_party_url,third_party_fetch_date,tribal_affiliation_named,tribal_affiliation_name,tribal_affiliation_source,prior_owner_ruling,prior_owner_ruling_note,prior_owner_ruling_evidence_url,prior_owner_ruling_source_file,prior_owner_ruling_date,prior_ruling_honored,name_trap_warning,temporal_caveat,prime_source_files,built_date,built_by
INV-0007,EM35E72WAL33,1W8K2,"Hal Hays Construction, Inc.","Hal Hays Construction, Inc. | Hal Hays Construction Incorporated | Hal Hays Construction Inc | Hal Hays Construction, Inc",CA,TOP400_FLAGGED,815,455345441.73,2004,2022,9,YES,reported_8a|reported_native_preference,305,0.3742,8(a)(305),NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,surprisingly Native American owned https://www.halhays.com/our-history/,https://www.halhays.com/our-history/,review/rulings_inbox_2026-08-08_elijah_batch2.csv,2026-08-08,YES,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(815),2026-08-26,code/170_build_individual_native_candidates.py
INV-0032,K5BEUJL83NZ3,1T5H3,"Northcon, Inc.","Northcon, Inc. | Northcon Incorporated | Northcon, Inc | Northcon Inc",ID,TOP400_FLAGGED,1734,238683954.44,2002,2022,38,YES,reported_8a|reported_native_preference,227,0.1309,8(a)(227),NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,individual native. Founded by Randy and Renay Smith 1977. https://www.northconinc.com/about/,https://www.northconinc.com/about/,review/rulings_inbox_2026-08-07_elijah.csv,2026-08-07,YES,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(1734),2026-08-26,code/170_build_individual_native_candidates.py
INV-0147,PMLZCBF9U569,6EPD5,Mitchell Consulting Services Group Inc,Mitchell Consulting Services Group Inc,OK,TOP400_FLAGGED,2253,80863052.39,2011,2022,185,YES,reported_8a|reported_native_preference,1388,0.6161,8(a)(1388),NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,"individual native. ""The company is a Native American owned, small, disadvantaged business with operating locations in Oklahoma City, OK, Colorado Springs, CO, and Lanham, MD."" https://mcsgtech.com/about/",https://mcsgtech.com/about/,review/rulings_inbox_2026-08-07_elijah.csv,2026-08-07,YES,,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(2253),2026-08-26,code/170_build_individual_native_candidates.py
INV-0308,JMG3R5M8XZH5,63812,Frontier Electronic Systems Corp.,Frontier Electronic Systems Corp. | Frontier Electronic Systems Corp | Frontier Electronic Systems Co | Frontier Electronic Systems Corporation,OK,PRIOR_OWNER_RULING,998,204225019.35,2000,2022,49,NO,,0,0.0,,NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,https://www.fescorp.com/company-overview,https://www.fescorp.com/company-overview,review/rulings_inbox_2026-08-08_elijah_batch2.csv,2026-08-08,YES,trap_token:frontier,contract rows end FY2022; a page fetched 2026-08-26 is 4 years later and cannot testify about ownership then,master prime file.dta(998),2026-08-26,code/170_build_individual_native_candidates.py
INV-0312,DRDHKE3BJNU7,,Cherokee - Technical Specialis,Cherokee - Technical Specialis,FL,PRIOR_OWNER_RULING,1,244681.0,2003,2003,,NO,,0,0.0,,NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,owned by individual Cherokees,,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,2026-08-05,YES,trap_token:cherokee,contract rows end FY2003; a page fetched 2026-08-26 is 23 years later and cannot testify about ownership then,master prime file.dta(1),2026-08-26,code/170_build_individual_native_candidates.py
INV-0316,HBLQBRNYJV77,,Cherokee Hardware,Cherokee Hardware,NC,PRIOR_OWNER_RULING,1,11987.38,2005,2005,,NO,,0,0.0,,NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=842496,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,2026-08-05,YES,trap_token:cherokee,contract rows end FY2005; a page fetched 2026-08-26 is 21 years later and cannot testify about ownership then,master prime file.dta(1),2026-08-26,code/170_build_individual_native_candidates.py
INV-0320,DAMRKNM3XD77,,Cherokee Termite And Pest Control,Cherokee Termite And Pest Control | Cherokee Termite & Pest Control,OK,PRIOR_OWNER_RULING,7,76332.0,2006,2013,,NO,,0,0.0,,NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=869097,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,2026-08-05,YES,trap_token:cherokee,contract rows end FY2013; a page fetched 2026-08-26 is 13 years later and cannot testify about ownership then,master prime file.dta(7),2026-08-26,code/170_build_individual_native_candidates.py
INV-0324,NL3CX9G6P8X4,3H5F6,"Cherokee Fire Protection, Llc","Cherokee Fire Protection, Llc | Cherokee Fire Protection Llc",MD,PRIOR_OWNER_RULING,28,2601728.21,2008,2020,,YES,reported_8a|reported_native_preference,21,0.75,8(a)(21),NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=694467,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,2026-08-05,YES,trap_token:cherokee,contract rows end FY2020; a page fetched 2026-08-26 is 6 years later and cannot testify about ownership then,master prime file.dta(28),2026-08-26,code/170_build_individual_native_candidates.py
INV-0328,DNLMR9ACL2J7,,"Cherokee Components, Llc","Cherokee Components, Llc",TX,PRIOR_OWNER_RULING,1,3192.0,2011,2011,,NO,,0,0.0,,NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,owned by individual Cherokees,https://opencorporates.com/companies/us_tx/0801309108,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,2026-08-05,YES,trap_token:cherokee,contract rows end FY2011; a page fetched 2026-08-26 is 15 years later and cannot testify about ownership then,master prime file.dta(1),2026-08-26,code/170_build_individual_native_candidates.py
INV-0332,M3JMQDRNMKT8,4GEZ9,Cherokee Construction Inc,Cherokee Construction Inc,KS,PRIOR_OWNER_RULING,4,128443.3,2015,2018,,NO,,0,0.0,,NOT_CHECKED,,,,,,NOT_CHECKED,,,,,NOT_CHECKED,,,INDIVIDUAL_NATIVE,owned by individual Cherokees,https://cage.dla.mil/Search/Details?id=979259,data/spine/cedar_exclusion_rulings.csv <- hci_analysis.do,2026-08-05,YES,trap_token:cherokee,contract rows end FY2018; a page fetched 2026-08-26 is 8 years later and cannot testify about ownership then,master prime file.dta(4),2026-08-26,code/170_build_individual_native_candidates.py
