corporation_name,anc_id,document_type,filing_date,period_covered,portal_url,downloaded,retrieved_date,anc_class,roster_name,document_description,description_date_token,portal_document_id,corporation_attribution,local_file,bytes,sha256,cedar_uid,cedar_uid_basis
Aleut Corporation,ANC-218cfe56a9f24d6c,ANCSA Annual Report,,2016,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=0bcc566b-2426-4f87-92c3-d395acf4390b,yes,2026-08-05,ANC_REGIONAL,Aleut Corporation,2016 Aleut - Annual Report Rec. 9-16-16,9-16-16,0bcc566b-2426-4f87-92c3-d395acf4390b,portal per-corporation search,2016__Aleut_Corporation__2016_Aleut_-_Annual_Report_Rec._9-16-16__0bcc566b.pdf,3732642,b746f0b140ebf8dddd8f7c01d1b31ac54ffce20220011269f3ef58501a1d8ac9,CE-00077-DZ,"anc_id=ANC-218cfe56a9f24d6c resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
Calista Corporation,ANC-61e053bea1804e66,ANCSA Annual Report,,2016,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=caa44a9f-1579-4f2f-97a9-d0e8e2fab19e,yes,2026-08-05,ANC_REGIONAL,Calista Corporation,2016 Calista Annual Annual Report 6-15-17,6-15-17,caa44a9f-1579-4f2f-97a9-d0e8e2fab19e,portal per-corporation search,2016__Calista_Corporation__2016_Calista_Annual_Annual_Report_6-15-17__caa44a9f.pdf,2890708,98396db6b530e31bf1a344ff1555398261053e7bc9f61fe7246bf2186fc53aa3,CE-0007B-53,"anc_id=ANC-61e053bea1804e66 resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
Goldbelt Incorporated,ANC-a7725b90d9e9fb59,ANCSA Annual Report,,2016,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=b3ac56d9-3382-477c-919f-0668304d3869,yes,2026-08-05,ANC_VILLAGE,"Goldbelt, Inc",2016 Goldbelt - ANNUAL REPORT REC. 5-5-17,5-5-17,b3ac56d9-3382-477c-919f-0668304d3869,portal per-corporation search,2016__Goldbelt_Incorporated__2016_Goldbelt_-_ANNUAL_REPORT_REC._5-5-17__b3ac56d9.pdf,3311478,cd8329d7b108a7969d0c5eeea0c86d24669819fc2fdacd5ee43b9634dd81d00e,CE-0008Y-WE,"anc_id=ANC-a7725b90d9e9fb59 resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
Olgoonik Corporation,ANC-f8701e865745c5fc,ANCSA Annual Report,,2016,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=7df6b8b5-6654-479c-9e5d-9bdbfe916d32,yes,2026-08-05,ANC_VILLAGE,Olgoonik Corporation,2016 Olgoonik Annual Report Rec. 5-12-17,5-12-17,7df6b8b5-6654-479c-9e5d-9bdbfe916d32,portal per-corporation search,2016__Olgoonik_Corporation__2016_Olgoonik_Annual_Report_Rec._5-12-17__7df6b8b5.pdf,1346533,b402877f37607b261fb37f6d3c710ee7493e8f1522b337253e6a79b3a62418d0,CE-000B8-7R,"anc_id=ANC-f8701e865745c5fc resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
Ukpeagvik Inupiat Corporation,ANC-fad71dc2753fd366,ANCSA Annual Report,,2016,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=f5fee1b8-a657-4358-8211-2ab771d53616,yes,2026-08-05,ANC_VILLAGE,Ukpeagvik Iñupiat Corporation,2016 Ukpeagvik Inupiat Annual Report Rec. 5-9-17,5-9-17,f5fee1b8-a657-4358-8211-2ab771d53616,portal per-corporation search,2016__Ukpeagvik_Inupiat_Corporation__2016_Ukpeagvik_Inupiat_Annual_Report_Rec._5-9-17__f5fee1b8.pdf,6738269,c69da09d55af830300bec5decd89c51c211af12a4dc2eb77c70e1824a1f921ef,CE-0009Z-7Q,"anc_id=ANC-fad71dc2753fd366 resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
Bering Straits Native Corporation,ANC-01159bd36085a96e,ANCSA Annual Report,,2017,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=2c76098a-c1f9-4fe3-9810-4ac1ecaa9525,yes,2026-08-05,ANC_REGIONAL,Bering Straits Native Corporation,2017 Bering Straits - ANNUAL REPORT Rec. 8-28-2017,8-28-2017,2c76098a-c1f9-4fe3-9810-4ac1ecaa9525,portal per-corporation search,2017__Bering_Straits_Native_Corporation__2017_Bering_Straits_-_ANNUAL_REPORT_Rec._8-28-2017__2c76098a.pdf,4984551,6a98f14e272fedcaaafeec691b2ba965b5b3c601f2890fe9d3484dd2306082bc,CE-00079-SH,"anc_id=ANC-01159bd36085a96e resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
"Cook Inlet Region, Inc. ",ANC-1f86c0d71d45cbab,ANCSA Annual Report,,2017,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=0887a921-430c-4dc4-b693-7920d98436e4,yes,2026-08-05,ANC_REGIONAL,"Cook Inlet Region, Inc",2017 CIRI Annual Report-04-09-18,04-09-18,0887a921-430c-4dc4-b693-7920d98436e4,portal per-corporation search,2017__Cook_Inlet_Region_Inc.___2017_CIRI_Annual_Report-04-09-18__0887a921.pdf,22411684,f3ae43acb5b45367c927ef220fd50dbf515a4fa0dea2baffe2b2cfb717ebb078,CE-0007D-HN,"anc_id=ANC-1f86c0d71d45cbab resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
"Koniag, Inc.",ANC-9fe723d7ba3a95ff,ANCSA Annual Report,,2017,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=45a79f5f-6a3a-430d-aa16-f9e461d8d051,yes,2026-08-05,ANC_REGIONAL,"Koniag, Incorporated",2017 Koniag Annual Report 8-16-17,8-16-17,45a79f5f-6a3a-430d-aa16-f9e461d8d051,portal per-corporation search,2017__Koniag_Inc.__2017_Koniag_Annual_Report_8-16-17__45a79f5f.pdf,5674876,180e0ec22e53992c1c6d5dc7847f804e41a724d3a3bd0f34ee84d8fbb215a571,CE-0007F-X7,"anc_id=ANC-9fe723d7ba3a95ff resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
Sitnasuak Native Corporation,ANC-f0ae62783241d365,ANCSA Annual Report,,2017,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=cf9c3f56-7414-4b7c-8b75-a1217d2e845f,yes,2026-08-05,ANC_VILLAGE,Sitnasuak Native Corporation,2017 Sitnasuak Annual Report 7-27-18,7-27-18,cf9c3f56-7414-4b7c-8b75-a1217d2e845f,portal per-corporation search,2017__Sitnasuak_Native_Corporation__2017_Sitnasuak_Annual_Report_7-27-18__cf9c3f56.pdf,7653325,8d2f07eac4bd77fe77c952c1ea8397136938653cf30656d8aecbf016fc0b88d6,CE-000C2-8J,"anc_id=ANC-f0ae62783241d365 resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
Arctic Slope Regional Corporation,ANC-e960eb1ed79650d6,ANCSA Annual Report,,2018,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=6da7b026-355d-4bf5-8237-b23323c6f23d,yes,2026-08-05,ANC_REGIONAL,Arctic Slope Regional Corporation,2018 ASRC Annual Report 5-9-19,5-9-19,6da7b026-355d-4bf5-8237-b23323c6f23d,portal per-corporation search,2018__Arctic_Slope_Regional_Corporation__2018_ASRC_Annual_Report_5-9-19__6da7b026.pdf,7259185,973730bef1659fdf6c20c1c7534027f03fa53976a8a2f0426dcd0bebba8a7699,CE-00078-KR,"anc_id=ANC-e960eb1ed79650d6 resolved through anc_ceiling_roster.csv, which 900 joined to the identity register"
