objectid,ltro_code,regional_office,land_area_code,land_area_name,tract_id,acres,inactivated_date,resource_code,ownership_type,state,inactivated_date_iso,source_url,source_service_path,retrieved_at,source_id,population_basis,inclusion_basis,inclusion_basis_detail
1,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 1548 -A,80,0,Both (Mineral and Surface),Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
5,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 M 560,160,0,Minerals Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
9,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 M 978,80,0,Minerals Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
13,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 M 1385,157.72,0,Minerals Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
17,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 M 1858,159.92,0,Minerals Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
21,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 M 2158,160,0,Minerals Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
25,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 M 2483,160,0,Minerals Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
29,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 M 2799,159.32,0,Minerals Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
33,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 T 395 -B,9.79,0,Surface Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
37,"A-ABERDEEN, SD",A-GREAT PLAINS REGIONAL OFFICE,256,TURTLE MOUNTAIN PD (FT PECK - ND),256 T 1270,146.52,0,Surface Only,Trust,ND,,https://biamaps.geoplatform.gov/server/rest/services/Hosted/BIA_Mineral_Acreage_Table/FeatureServer/0,Hosted/BIA_Mineral_Acreage_Table,2026-09-02T15:47:58.177256+00:00,bia_biamaps_arcgis,TYPE_FILTER,program_authority,Indian trust and restricted-fee mineral title held by the United States; the register exists only for Indian land (25 U.S.C. land titles and records)
