report_id,audit_year,auditee_name,auditee_ein,auditee_uei,auditee_city,auditee_state,entity_type,discovery_net,entity_id,entity_name,entity_match_method,entity_tier,entity_match_basis,entity_has_gaming_facility,fy_start_date,fy_end_date,fac_accepted_date,total_amount_expended,auditor_firm_name,auditor_ein,gaap_results,is_going_concern_included,cognizant_agency,oversight_agency,is_public,reporting_package_availability,availability_basis,source_authority,source_url,retrieved_at,verbatim_quote,measurement_type,confidence_tier,built_date,cedar_uid
2026-03-GSAFAC-0000425808,2026,Bristol Bay Native Corporation,920042041,PQUEL5MZFDJ3,ANCHORAGE,AK,tribal,entity_type_tribal,ANRC-BRBYCO-00,Bristol Bay Native Corporation,exact,A,auditee_name,0,2025-04-01,2026-03-31,2026-08-06,1313324,KPMG LLP,135565207,unmodified_opinion,No,,84,0,WITHHOLDS,2 CFR 200.512(b)(2): an Indian tribe or tribal organization may elect not to authorise the FAC to make the reporting package publicly available. This auditee so elected. The audit EXISTS and its SEFA is disseminated; the reporting package is not.,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2026-03-GSAFAC-0000425808,2026-08-12,report_id=2026-03-GSAFAC-0000425808 audit_year=2026 auditee=Bristol Bay Native Corporation is_public=False auditor=KPMG LLP total_amount_expended=1313324,,A,2026-08-12,CE-0007A-ZA
2025-03-GSAFAC-0000379619,2025,"Choggiung, Limited",920045217,JVMBL1VNBCS8,Dillingham,AK,tribal,entity_type_tribal,ANVC-CHGGNG-00,"Choggiung, Ltd.",core,A,auditee_name,0,2024-04-01,2025-03-31,2025-09-05,22690592,KPMG LLP,135565207,unmodified_opinion,No,,11,0,WITHHOLDS,2 CFR 200.512(b)(2): an Indian tribe or tribal organization may elect not to authorise the FAC to make the reporting package publicly available. This auditee so elected. The audit EXISTS and its SEFA is disseminated; the reporting package is not.,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-03-GSAFAC-0000379619,2026-08-12,"report_id=2025-03-GSAFAC-0000379619 audit_year=2025 auditee=Choggiung, Limited is_public=False auditor=KPMG LLP total_amount_expended=22690592",,A,2026-08-12,CE-00088-R8
2025-06-GSAFAC-0000381329,2025,"Dilcon Community School, Inc.",860955436,Q49AX33D2GV1,Winslow,AZ,tribal,entity_type_tribal,BIE-DILCON-00,Dilcon Community School,core,A,auditee_name,0,2024-07-01,2025-06-30,2026-03-18,6269214,"Heinfeld, Meech & Co., P.C.",860558065,unmodified_opinion,No,,15,0,WITHHOLDS,2 CFR 200.512(b)(2): an Indian tribe or tribal organization may elect not to authorise the FAC to make the reporting package publicly available. This auditee so elected. The audit EXISTS and its SEFA is disseminated; the reporting package is not.,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000381329,2026-08-12,"report_id=2025-06-GSAFAC-0000381329 audit_year=2025 auditee=Dilcon Community School, Inc. is_public=False auditor=Heinfeld, Meech & Co., P.C. total_amount_expended=6269214",,A,2026-08-12,CE-000EA-2T
2025-06-GSAFAC-0000386529,2025,BAY MILLS COMMUNITY COLLEGE,382604866,LB25NLD3N9J5,BRIMLEY,MI,tribal,entity_type_tribal,TCU-BYMLL1-00,Bay Mills Community College,exact,A,auditee_name,0,2024-07-01,2025-06-30,2026-01-13,8783201,REHMANN ROBSON LLC,383567911,unmodified_opinion,No,,84,1,PUBLISHES,the auditee did not elect to withhold; the reporting package PDF is served by app.fac.gov,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000386529,2026-08-12,report_id=2025-06-GSAFAC-0000386529 audit_year=2025 auditee=BAY MILLS COMMUNITY COLLEGE is_public=True auditor=REHMANN ROBSON LLC total_amount_expended=8783201,,A,2026-08-12,CE-0010P-8F
2025-06-GSAFAC-0000389435,2025,LAC COURTE OREILLES OJIBWE UNIVERSITY,391453493,H3PCNTGZMBJ3,HAYWARD,WI,tribal,entity_type_tribal,TCU-LCCRTR-00,Lac Courte Oreilles Ojibwe University,exact,A,auditee_name,0,2024-07-01,2025-06-30,2025-12-08,20476325,WIPFLI LLP,390758449,unmodified_opinion,No,,10,1,PUBLISHES,the auditee did not elect to withhold; the reporting package PDF is served by app.fac.gov,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000389435,2026-08-12,report_id=2025-06-GSAFAC-0000389435 audit_year=2025 auditee=LAC COURTE OREILLES OJIBWE UNIVERSITY is_public=True auditor=WIPFLI LLP total_amount_expended=20476325,,A,2026-08-12,CE-00112-NB
2025-06-GSAFAC-0000393771,2025,ENEMY SWIM DAY SCHOOL,460375463,HBE7P6SYB476,WAUBAY,SD,tribal,entity_type_tribal,BIE-NMYSWM-00,Enemy Swim Day School,exact,A,auditee_name,0,2024-07-01,2025-06-30,2026-01-20,5452739,EIDE BAILLY LLP,450250958,unmodified_opinion,No,,15,1,PUBLISHES,the auditee did not elect to withhold; the reporting package PDF is served by app.fac.gov,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000393771,2026-08-12,report_id=2025-06-GSAFAC-0000393771 audit_year=2025 auditee=ENEMY SWIM DAY SCHOOL is_public=True auditor=EIDE BAILLY LLP total_amount_expended=5452739,,A,2026-08-12,CE-000G8-08
2025-06-GSAFAC-0000400903,2025,Kha'p'o Community School,320493541,FBQHNLRA6A19,Espanola,NM,tribal,entity_type_tribal,BIE-KHAPOX-00,Kha'p'o Community School,exact,A,auditee_name,0,2024-07-01,2025-06-30,2026-03-04,3542025,SJT Group LLC,843482539,unmodified_opinion,No,,15,0,WITHHOLDS,2 CFR 200.512(b)(2): an Indian tribe or tribal organization may elect not to authorise the FAC to make the reporting package publicly available. This auditee so elected. The audit EXISTS and its SEFA is disseminated; the reporting package is not.,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000400903,2026-08-12,report_id=2025-06-GSAFAC-0000400903 audit_year=2025 auditee=Kha'p'o Community School is_public=False auditor=SJT Group LLC total_amount_expended=3542025,,A,2026-08-12,CE-000FB-D3
2025-06-GSAFAC-0000403284,2025,Haliwa-Saponi Indian Tribe,237377602,UM4BKHUM6VA1,Hollister,NC,tribal,entity_type_tribal,TRBS-HLWSAP-00,Haliwa-Saponi Indian Tribe,exact,A,auditee_name,0,2024-07-01,2025-06-30,2026-03-24,1618306,"MIDWEST PROFESSIONALS, PLLC",383571340,unmodified_opinion,No,,14,0,WITHHOLDS,2 CFR 200.512(b)(2): an Indian tribe or tribal organization may elect not to authorise the FAC to make the reporting package publicly available. This auditee so elected. The audit EXISTS and its SEFA is disseminated; the reporting package is not.,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000403284,2026-08-12,"report_id=2025-06-GSAFAC-0000403284 audit_year=2025 auditee=Haliwa-Saponi Indian Tribe is_public=False auditor=MIDWEST PROFESSIONALS, PLLC total_amount_expended=1618306",,A,2026-08-12,CE-001DC-D5
2025-06-GSAFAC-0000406420,2025,OHKAY OWINGEH BOARD OF EDUCATION,850442632,WFFPJ522KGN8,OHKAY OWINGEH,NM,tribal,entity_type_tribal,TRBF-OKYOWG-00,Ohkay Owingeh,containment,B,auditee_name,1,2024-07-01,2025-06-30,2026-03-05,2318378,STAUFFER & ASSOCIATES PLLC,811196633,unmodified_opinion,No,,15,0,WITHHOLDS,2 CFR 200.512(b)(2): an Indian tribe or tribal organization may elect not to authorise the FAC to make the reporting package publicly available. This auditee so elected. The audit EXISTS and its SEFA is disseminated; the reporting package is not.,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000406420,2026-08-12,report_id=2025-06-GSAFAC-0000406420 audit_year=2025 auditee=OHKAY OWINGEH BOARD OF EDUCATION is_public=False auditor=STAUFFER & ASSOCIATES PLLC total_amount_expended=2318378,,B,2026-08-12,CE-0017V-9W
2025-06-GSAFAC-0000407906,2025,"Ch'ooshgai Community School Board of Education, Inc.",742852203,CPKHHJ5USZH3,Tohatchi,NM,tribal,entity_type_tribal,BIE-CHOOSH-00,Ch'ooshgai Community School,containment,B,auditee_name,0,2024-07-01,2025-06-30,2026-03-17,8038952,REDW LLC,850203431,unmodified_opinion,No,,15,1,PUBLISHES,the auditee did not elect to withhold; the reporting package PDF is served by app.fac.gov,"Federal Audit Clearinghouse (GSA), dissemination API",https://api.fac.gov/general?report_id=eq.2025-06-GSAFAC-0000407906,2026-08-12,"report_id=2025-06-GSAFAC-0000407906 audit_year=2025 auditee=Ch'ooshgai Community School Board of Education, Inc. is_public=True auditor=REDW LLC total_amount_expended=8038952",,B,2026-08-12,CE-000DQ-BF
