ein,org_name,entity_id,entity_canonical_name,entity_class,native_entity_class,entity_state,link_tier,link_tier_source,link_method,n_corroborating_sources,link_sources,link_basis,tier_note,built_by_script,built_date,cedar_uid,generic_containment_refusal
020778620,WISCONSIN TRIBAL CONSERVATION ADVISORY COUNCIL INC,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:WI!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0008F-2Q,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
061285185,COUNCIL FOR WEST INDIAN PLANNING & DEVELOPMENT,AKNF-COUNCL-00-BERSTR-KAWRAK,Council,Federally recognized Alaska Native Village,tribe,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:CT!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0001E-SE,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
232711949,COUNCIL OF INDIAN ORGANIZATIONS IN GREATER PHILADELPHIA,AKNF-COUNCL-00-BERSTR-KAWRAK,Council,Federally recognized Alaska Native Village,tribe,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:PA!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0001E-SE,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
320020700,MASSACHUSETTS-PONKAPOAG TRIBAL COUNCIL INC,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:MA!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0008F-2Q,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
391362980,INDIAN COUNCIL OF THE ELDERLY INC,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:WI!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0008F-2Q,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
472579594,SHERIFFS INDIAN ADVISORY COUNCIL INC,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:FL!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0008F-2Q,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
581727538,CHEROKEES OF GEORGIA INTERTRIBAL COUNCIL INC,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:GA!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0008F-2Q,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
593358685,PLANNED GIVING COUNCIL OF INDIAN RIVER INC,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:FL!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0008F-2Q,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
720768043,INTER-TRIBAL COUNCIL OF LOUISIANA INC,ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,ANC,AK,B,np_orgs,containment,1,np_orgs,script 70 name pass: resolver_containment;state_conflict:LA!=AK,"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-0008F-2Q,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
810549382,WINSLOW INDIAN HEALTH CARE CENTER INC,UIO-HEALTH-00,Native Health,Urban Indian Organization,native org,AZ,B,fac_single_audits,containment,1,fac_single_audits,auditee filed a Single Audit under entity_type=tribal; entity keyed by script 147 (containment),"Tier is INHERITED from the source row named in `link_tier_source`. Corroboration by a second source is recorded in `n_corroborating_sources` and NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's to mint.",167_link_nonprofit_family_via_ein_hub.py,2026-08-26,CE-001F1-NJ,"REFUSED_GENERIC_CONTAINMENT: the spine entity's whole name is generic tokens, so containment is satisfied by thousands of organisations and is evidence of nothing. Flagged not deleted; see code/610 and docs/ENTITY_MATCH_RULES.md. 2026-09-01"
