EIN,entity_id,org_name,classification_ruling,evidence,tier,tier_basis,state,city,ntee_code,confidence_tier,funnel_stage,review_flag,review_flag_token,excluded_by_prior_ruling,exclusion_reason,tribe_id_token_match,canonical_name_token_match,n_coders_agree,bmf_in_snapshot,bmf_status,bmf_subsection,bmf_filing_req_cd,bmf_foundation_cd,bmf_irs_ruling_yyyymm,bmf_tax_period,bmf_revenue_amt,bmf_asset_amt,bmf_income_amt,source_files,source_dataset,source_url,bmf_vintage_fetched,built_date,placename_risk_flag,ruling_authority,ruling_confidence,ruling_date,tribe_id,tribe_canonical_name,entity_match_method,entity_tier,entity_match_basis,entity_keyed_date,cedar_spine_entity_id,cedar_spine_canonical_name,cedar_spine_entity_class,cedar_native_entity_class,cedar_link_tier,cedar_link_basis,cedar_link_key,cedar_link_sources,cedar_uid,disposition,disposition_basis,name_match_support,name_match_shared_tokens,name_match_support_measured_against,keyed_name_match_support,keyed_name_match_shared_tokens,keyed_name_match_residue,keyed_state_agreement,key_review_disposition,key_review_basis,key_redirect_proposed_entity_id,key_redirect_proposed_name
630849027,,CHEROKEE TRIBE OF NORTHEAST ALABAMA,native_controlled,"AGENT-RESEARCHED: https://en.wikipedia.org/wiki/State-recognized_tribes_in_the_United_States -- Listed as an Alabama state-recognized tribe: 'Cherokee Tribe of Northeast Alabama (formerly Cherokees of Jackson County, Alabama).' IRS record confirms the filing name, Haleyville AL. State-recognized, not federally recognized. | confidence=medium",990_EZ,"BMF FILING_REQ_CD=01; REVENUE_AMT=54,522 < 200k and ASSET_AMT=90,718 < 500k (990-EZ eligibility thresholds)",AL,HALEYVILLE,,B,ruled_native_needs_elijah,,,0,,TRBF-CHKNAT-00,Cherokee Nation,2,1,01,03,01,15,198312,202512,54522,90718,54522,candidates|icr_review_queue|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,medium,2026-08-05,TRBS-CHKNAL-00,Cherokee Tribe of Northeast Alabama,exact,B,resolver_exact;contains_trap_token:cherokee;state corroborates (AL);placename_risk_flag=REVIEW,2026-08-06,TRBS-CHKNAL-00,Cherokee Tribe of Northeast Alabama,State-recognized tribe,tribe,B,script 70 name pass: resolver_exact;contains_trap_token:cherokee;state corroborates (AL);placename_risk_flag=REVIEW,EIN 630849027,advocacy_passthrough; np_orgs,CE-001CY-MQ,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,distinctive_token,CHEROKEE,Cherokee Nation,distinctive_token,ALABAMA|CHEROKEE|NORTHEAST|OF|TRIBE,,Y,SUPPORTED,shares ALABAMA|CHEROKEE|NORTHEAST with the keyed entity; state agreement Y; residue 0.,,
050559524,,GEORGIA TRIBE OF EASTERN CHEROKEE INC,native_controlled,"AGENT-RESEARCHED: https://en.wikipedia.org/wiki/State-recognized_tribes_in_the_United_States -- Listed as Georgia state-recognized: 'Georgia Tribe of Eastern Cherokees. (I). Letter of Intent to Petition 01/09/1979'; Georgia formally recognized the tribes in 2007. IRS record confirms filing name, Cumming GA. | confidence=medium",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",GA,CUMMING,,B,ruled_native_needs_elijah,,,0,,TRBS-CHKGAT-00,Cherokee of Georgia Tribal Council,3,1,01,03,02,15,200405,202212,0,0,0,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,medium,2026-08-05,TRBS-GAECHK-00,Georgia Tribe of Eastern Cherokee,core,B,resolver_core,2026-08-06,TRBS-GAECHK-00,Georgia Tribe of Eastern Cherokee,State-recognized tribe,tribe,B,script 70 name pass: resolver_core,EIN 050559524,np_orgs,CE-001D9-VT,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,distinctive_token,CHEROKEE|GEORGIA|OF,Cherokee of Georgia Tribal Council,distinctive_token,CHEROKEE|EASTERN|GEORGIA|OF|TRIBE,,Y,SUPPORTED,shares CHEROKEE|GEORGIA with the keyed entity; state agreement Y; residue 0.,,
721295150,,FOUR WINDS TRIBE LOUISIANA CHEROKEE,native_controlled,"AGENT-RESEARCHED: https://search.yahoo.com/search?p=%22Four+Winds%22+Cherokee+tribe+Louisiana+state+recognized -- Own site: the Four Winds Tribe Louisiana Cherokee Confederation is a Native American tribe recognized by the State of Louisiana; LA legislature HCR137 recognizes it. State recognized, not federally recognized. | confidence=high",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",LA,OAKDALE,B99,B,ruled_native_needs_elijah,,,0,,TRBS-FRWIND-00,Four Winds Cherokee,4,1,01,03,02,15,200012,202512,0,0,0,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,high,2026-08-05,TRBS-FRWIND-00,Four Winds Cherokee,containment,B,resolver_containment,2026-08-06,TRBS-FRWIND-00,Four Winds Cherokee,State-recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 721295150,np_orgs,CE-001D8-N1,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,distinctive_token,CHEROKEE|FOUR|WINDS,Four Winds Cherokee,distinctive_token,CHEROKEE|FOUR|WINDS,LOUISIANA,Y,SUPPORTED,shares CHEROKEE|FOUR|WINDS with the keyed entity; state agreement Y; residue 1.,,
562259380,,LUMBEE LAND DEVELOPMENT INC,tribally_controlled,"AGENT-RESEARCHED: https://projects.propublica.org/nonprofits/organizations/562259380 -- PROMOTION. 990 governing body IS the Lumbee Tribal Council - John L Lowery (Tribal Chairman), Sharon Hunt (Council Speaker), Wendy Moore (Vice Chair), Ricky Harris (Tribal Administrator). IRS address = Lumbee Tribe of NC HQ, 6984 NC Hwy 711 Pembroke. | confidence=high",full_990,"BMF FILING_REQ_CD=01; REVENUE_AMT=38,239,961, ASSET_AMT=102,549,254 above 990-EZ thresholds",NC,PEMBROKE,P50,A,ruled_native_verified,,,0,,TRBF-LUMBEE-00,Lumbee,4,1,01,03,01,15,201103,202409,38239961,102549254,38239961,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,high,2026-08-05,TRBF-LUMBEE-00,Lumbee,containment,B,resolver_containment;ruled_native_verified,2026-08-06,TRBF-LUMBEE-00,Lumbee,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;ruled_native_verified,EIN 562259380,advocacy_passthrough; np_orgs,CE-0016E-P7,NATIVE_RULED_VERIFIED,funnel_stage=ruled_native_verified,distinctive_token,LUMBEE,Lumbee,distinctive_token,LUMBEE,DEVELOPMENT|LAND,Y,SUPPORTED,shares LUMBEE with the keyed entity; state agreement Y; residue 2.,,
432089919,,LUMBEE WARRIORS ASSOCIATION,native_controlled,"AGENT-RESEARCHED: https://www.causeiq.com/organizations/lumbee-warriors-association,432089919/ -- 501(c)(19) war-veterans organization (NTEE W30) in Fairmont NC, Robeson County, the Lumbee Tribe's home county; president Eric Lofton. Native-member veterans organization; the Lumbee Tribe is state-recognized/federally acknowledged only by statute. | confidence=medium",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",NC,PEMBROKE,W30,B,ruled_native_needs_elijah,,,0,,TRBF-LUMBEE-00,Lumbee,4,1,01,19,02,00,202405,202412,0,0,0,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,medium,2026-08-05,TRBF-LUMBEE-00,Lumbee,containment,B,resolver_containment,2026-08-06,TRBF-LUMBEE-00,Lumbee,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 432089919,np_orgs,CE-0016E-P7,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,distinctive_token,LUMBEE,Lumbee,distinctive_token,LUMBEE,WARRIORS,Y,SUPPORTED,shares LUMBEE with the keyed entity; state agreement Y; residue 1.,,
874031049,,TUSCARORA INDIAN NATION OF NORTH CAROLINA PROSPECT LONGHOUSE,native_controlled,"AGENT-RESEARCHED: https://projects.propublica.org/nonprofits/api/v2/organizations/874031049.json -- IRS record: PO Box 82, Maxton NC, ruling 2023. Longhouse of the Tuscarora Indian Nation of NC in the Prospect community, Robeson County; NOT federally recognized and not NC state-recognized. | confidence=medium",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",NC,MAXTON,R99,B,ruled_native_needs_elijah,,,0,,TRBF-TSCARA-00,Tuscarora,2,1,01,03,02,16,202310,202412,0,0,0,candidates|icr_review_queue|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,medium,2026-08-05,TRBF-TSCARA-00,Tuscarora,containment,B,resolver_containment;state_conflict:NC!=NY,2026-08-06,TRBF-TSCARA-00,Tuscarora,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment;state_conflict:NC!=NY,EIN 874031049,np_orgs,CE-001BH-12,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,distinctive_token,TUSCARORA,Tuscarora,distinctive_token,NATION|TUSCARORA,CAROLINA|LONGHOUSE|PROSPECT,N,HELD_STATE_DISAGREES,"organisation is in NC, the keyed entity TRBF-TSCARA-00 (Tuscarora) is in NY, and the filed name leaves 3 distinctive words unaccounted for (CAROLINA|LONGHOUSE|PROSPECT). No unique alternative entity exists in NC, so this is a SPINE GAP or a wrong key and the evidence does not separate them. Held (ADR-010); nothing blanked.",,
320671686,TRBF-WNNBGO-00,WINNEBAGO TRIBE OF NEBRASKA,tribally_controlled,"AGENT-RESEARCHED: https://www.wchs.health/foundation -- Foundation page: 'established in 2023 in a collaboration by the Winnebago Comprehensive Healthcare System and the Winnebago Tribe of Nebraska.' IRS lists this EIN with sort name Winnebago Health Foundation, Winnebago NE. | confidence=high",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",NE,WINNEBAGO,E11,A,ruled_native_verified,,,0,,TRBF-WNNBGO-00,Winnebago,4,1,01,03,02,15,202307,202409,39708,81186,39708,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,high,2026-08-05,TRBF-WNNBGO-00,Winnebago,alias,A,resolver_alias;ruled_native_verified,2026-08-06,TRBF-WNNBGO-00,Winnebago,Federally recognized tribe,tribe,A,script 70 name pass: resolver_alias;ruled_native_verified,EIN 320671686,advocacy_passthrough; ein_uei_bridge_to_ledger; np_orgs,CE-001C8-GH,NATIVE_RULED_VERIFIED,funnel_stage=ruled_native_verified,distinctive_token,WINNEBAGO,Winnebago,distinctive_token,NEBRASKA|OF|TRIBE|WINNEBAGO,,Y,SUPPORTED,shares NEBRASKA|WINNEBAGO with the keyed entity; state agreement Y; residue 0.,,
731114159,,KIOWA VETERANS ORGANIZATION,native_controlled,"AGENT-RESEARCHED: https://search.yahoo.com/search?p=%22Kiowa+Veterans+Organization%22+Lawton+Oklahoma+black+leggings -- Described as a post or organization of war veterans in Lawton, Oklahoma; IRS subsection 19 (veterans organization). Kiowa veterans society in the Kiowa homeland. | confidence=medium",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",OK,LAWTON,W30,B,ruled_native_needs_elijah,,,0,,TRBF-KIOWAT-00,Kiowa Tribe,3,1,01,19,02,00,201204,202412,0,0,0,candidates|icr_high_confidence|state_validated|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,medium,2026-08-05,TRBF-KIOWAT-00,Kiowa Tribe,containment,B,resolver_containment,2026-08-06,TRBF-KIOWAT-00,Kiowa Tribe,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 731114159,np_orgs,CE-0015V-ZW,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,distinctive_token,KIOWA,Kiowa Tribe,distinctive_token,KIOWA,ORGANIZATION|VETERANS,Y,SUPPORTED,shares KIOWA with the keyed entity; state agreement Y; residue 2.,,
833159108,,SOUTHERN CHEROKEE HELPERS,native_controlled,"AGENT-RESEARCHED: https://projects.propublica.org/nonprofits/api/v2/organizations/833159108.json -- IRS record: 10750 E 258th St S, Porum OK; NTEE A20 alliance/advocacy, ruling 2019. Appears tied to the self-identified Southern Cherokee community in eastern OK; NOT federally recognized. Name-based inference. | confidence=low",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",OK,PORUM,A20,B,ruled_native_needs_elijah,,,0,,TRBF-SNJUAN-00,San Juan,2,1,01,03,02,15,201908,202512,0,0,0,candidates|icr_review_queue|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,low,2026-08-05,TRBF-CHKNAT-00,Cherokee Nation,containment,B,resolver_containment,2026-08-06,TRBF-CHKNAT-00,Cherokee Nation,Federally recognized tribe,tribe,B,script 70 name pass: resolver_containment,EIN 833159108,np_orgs,CE-00134-BX,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,no_shared_token_with_canonical_name,,San Juan,distinctive_token,CHEROKEE,HELPERS,Y,SUPPORTED,shares CHEROKEE with the keyed entity; state agreement Y; residue 1.,,
582328510,,EASTERN CHEROKEE SOUTHERN IROQUOIS AND UNITED TRIBES OF SOUTH CAROLIN,native_controlled,"AGENT-RESEARCHED: https://search.yahoo.com/search?p=%22Eastern+Cherokee+Southern+Iroquois+and+United+Tribes+of+South+Carolina%22 -- cherokeeofsc.com greets visitors to the State recognized Eastern Cherokee, Southern Iroquois & United Tribes of South Carolina, Inc. NOT federally recognized; Cherokee Nation disputes its Cherokee claims. | confidence=medium",990_N,"BMF FILING_REQ_CD=02 (990-N e-Postcard, under filing threshold)",SC,DUNCAN,A23,B,ruled_native_needs_elijah,,,0,,TRBF-CHCKHE-00,Chickahominy Indians-Eastern Division,3,1,01,03,02,15,202206,202512,0,0,0,candidates|icr_high_confidence|strict|verified|verified_strict,IRS Exempt Organizations Business Master File (eo1-eo4),https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-04-29,2026-08-05,REVIEW,agent_research,medium,2026-08-05,ITO-NTDSTH-00,"United South and Eastern Tribes, Inc.",containment,B,resolver_containment,2026-08-06,ITO-NTDSTH-00,"United South and Eastern Tribes, Inc.",Intertribal Organization,native org,B,script 70 name pass: resolver_containment,EIN 582328510,np_orgs,CE-000SD-BN,NATIVE_PROPOSED_AWAITING_OWNER_RULING,funnel_stage=ruled_native_needs_elijah,generic_token_only,EASTERN,Chickahominy Indians-Eastern Division,generic_token_only,AND|EASTERN|SOUTH|TRIBES|UNITED,CAROLIN|CHEROKEE|IROQUOIS,UNKNOWN,REDIRECT_PROPOSED,"exactly one OTHER spine entity in SC accounts for every distinctive word of the filed name with an empty rule-7 residue: TRBS-ECSIUT-00 Eastern Cherokee, Southern Iroquois, and United Tribes of South Carolina. The keyed entity ITO-NTDSTH-00 (United South and Eastern Tribes, Inc., ) leaves residue CAROLIN|CHEROKEE|IROQUOIS. PROPOSAL - no tier is minted (ENTITY_MATCH_RULES rule 8).",TRBS-ECSIUT-00,"Eastern Cherokee, Southern Iroquois, and United Tribes of South Carolina"
