prime_uei,sub_uei,n_subawards,total_usd,first_year,last_year,naics_modal,prime_name,sub_name,self_edge_flag,source_file,fetched_date
HAWKSQF848W7,GL6NEAEVM736,234,74571269.00,2011,2022,336992,General Dynamics Land Systems,BAY Shore Steel Works,,subcontract-05-09-23-22-23-37.csv,2026-08-05
XSV6AZJ6SDJ7,DUAYW5R6MXY5,24,8177641.00,2015,2022,336414,Raytheon Company,S & K Electronics,,subcontract-05-09-23-22-23-37.csv,2026-08-05
LX3BSV6NNW58,XQJMR89SR6J7,17,7781011.00,2016,2022,541330,BAE Systems Technology Solutions & Services,HCI Management Services Company,,subcontract-05-09-23-22-23-37.csv,2026-08-05
G4KDGE4JFFK7,DUAYW5R6MXY5,15,1789685.00,2017,2022,336411,Lockheed Martin Corporation,S & K Electronics,,subcontract-05-09-23-22-23-37.csv,2026-08-05
G389MFAYJNG9,TBAHL1WANLF3,13,4324552.00,2014,2021,541715,University Of New Mexico,Cherokee Nation,,subcontract-05-09-23-22-23-37.csv,2026-08-05
D2ETMTLWJCJ1,GL6NEAEVM736,10,818613.00,2019,2021,336992,BAE Systems Land & Armaments L.P,BAY Shore Steel Works,,subcontract-05-09-23-22-23-37.csv,2026-08-05
KTMAJCY6JXM3,YGMHQFZH3YE5,9,15263565.00,2012,2018,541512,Leidos,Native Hawaiian Veterans,,subcontract-05-09-23-22-23-37.csv,2026-08-05
Z4XGALW7L9K6,MAACGN47KJE7,8,1152474.00,2019,2022,213112,Weston Solutions,Goshawk,,subcontract-05-09-23-22-23-37.csv,2026-08-05
Z4XGALW7L9K6,HHWGG7KAW5Y9,7,1971806.00,2020,2023,236220,Weston Solutions,Goshawk,,subcontract-05-09-23-22-23-37.csv,2026-08-05
MMLKPW9JLX64,X1VVTNMDE2F5,5,5216000.00,2017,2019,541330,Science Applications International Corporation,Cherokee Nation Red Wing,,subcontract-05-09-23-22-23-37.csv,2026-08-05
