uei,cage_code,legal_business_name,role,state,n_subawards,first_year,last_year,total_subaward_usd,malformed_flag,total_usd_as_sub,total_usd_as_prime,n_name_variants,name_variants,uei_new_vs_union,cage_new_vs_union,uei_new_vs_tiered_ledger,cage_new_vs_tiered_ledger,compared_against
GL6NEAEVM736,56WQ7,BAY Shore Steel Works,sub,Michigan,259,2011,2022,77473251.00,missing_duns,77473251.00,0.00,1,,no,no,no,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
RLJHBANUMT78,57VT4,Cherokee Federal Solutions,sub_parent+prime_parent,,67,2016,2023,109583760.00,missing_duns,0.00,0.00,1,,no,no,yes,no,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
JHFZTG8ZC9V2,3B1R2,Bell Boeing Joint Project Office,prime+prime_parent,,33,2015,2023,9468844.00,missing_duns,0.00,4734422.00,1,,no,no,yes,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
XSV6AZJ6SDJ7,5716,Raytheon Company,prime,,24,2015,2022,8177641.00,cage_len_4_ne_5|missing_duns,0.00,8177641.00,1,,no,no,yes,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
DKJ1R5ABCN48,022Q2,Serco,prime,,17,2016,2022,28415481.00,missing_duns,0.00,28415481.00,1,,no,no,yes,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
RE7WMNV9L719,6UW89,Science Applications International Corporation,prime_parent,,16,2013,2023,48617640.00,missing_duns,0.00,0.00,1,,no,no,yes,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
G4KDGE4JFFK7,81755,Lockheed Martin Corporation,prime,,15,2017,2022,1789685.00,missing_duns,0.00,1789685.00,1,,no,no,yes,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
J2GPEJQ1TYG7,6.90E+25,S & K Security Group,sub,Montana,8,2019,2023,2286564.00,cage_len_8_ne_5|cage_nonalnum|missing_duns,2286564.00,0.00,1,,no,no,no,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
U8ZSN9MATNB7,1KT61,Southeast Cherokee Construction,sub+sub_parent,ALABAMA,3,2016,2016,731000.00,missing_duns,365500.00,0.00,1,,no,no,no,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
DGCQQJQCN4X8,8EUM5,Puyenpa Construction,sub+sub_parent,DISTRICT OF COLUMBIA,1,2021,2021,5468470.00,missing_duns,2734235.00,0.00,1,,no,no,no,yes,cedar_identifier_ledger_final.csv;fpds_uei_cage_map.csv
