sub_uei,sub_cage,sub_name,sub_state,prime_uei,prime_cage,prime_name,prime_award_id,subaward_amount,subaward_date,fiscal_year,naics,psc,description,direction,fetched_date,subaward_number,source_url,sub_parent_uei,sub_parent_cage,sub_parent_name,prime_parent_uei,prime_parent_cage,prime_parent_name,naics_title,psc_title,prime_top_awarding_agency,prime_set_aside,pre_2000_flag,floor_basis_field,source_dataset,source_population,award_kind,subaward_type,prime_award_unique_key,prime_award_amount,subaward_to_prime_ratio,subaward_exceeds_prime_flag,action_date_precedes_ffata_flag,subaward_sam_report_year,prime_native_tier,sub_native_tier,sub_business_types,prime_awarding_sub_agency,duplicate_status,promoted_date,subaward_amount_real2025,deflator_factor_2025,inflation_base_year,cedar_uid,subaward_sam_report_id,subaward_sam_report_month,subaward_sam_report_last_modified_date,subaward_sam_report_id_basis,subaward_source_record_id,subaward_source_record_id_basis,prime_cedar_uid,sub_cedar_uid,geo_prime_award_recipient_county_fips,geo_prime_award_recipient_county_name,geo_prime_award_recipient_state_fips,geo_prime_award_pop_county_fips,geo_prime_award_pop_county_name,geo_prime_award_pop_state_fips,geo_key_tier,geo_key_basis,geo_subawardee_county_gap_reason,geo_built_date,geo_subawardee_city,geo_subawardee_state_code,geo_subawardee_zip5,geo_subawardee_country_code,geo_subawardee_county_fips,geo_subawardee_county_name,geo_subawardee_state_fips,geo_subawardee_place_dominance_share,geo_subawardee_place_ambiguous,geo_subawardee_basis
FZYKN78D9LJ2,,"NAKUURUQ SOLUTIONS, LLC",VA,FCMQGH4JWE61,,"LYNXNET, LLC",HR01,1204180.82,2016-03-15,2016,541330,,ROVIDE THE SUPPORT NECESSARY TO PROVIDE SUPPORT WITHIN THE CORPORATE OPERATIONS SUPPORT FUNCTIONAL AREAS SPECIFIED HEREIN.,both_sides_native,2026-08-05,A16-002982,https://www.usaspending.gov/award/CONT_AWD_HR01_9700_N0017815D8310_9700/,KW9NCQ8W64S4,,NANA REGIONAL CORPORATION INC,KW9NCQ8W64S4,,LYNXNET  LLC,ENGINEERING SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_HR01_9700_N0017815D8310_9700,10077060.46,0.1195,,,2017,B,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE NAVY,primary,2026-08-06,1580949.73,1.312884,2025,CE-0007G-30,2FD8D0DE-FCB9-11EF-8E2A-E7034F2D18CD,11,2017-11-15 00:00:00+00,recovered_unique,2FD8D0DE-FCB9-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0007G-30,CE-0007G-30,51800,SUFFOLK (CITY),51,12005,BAY,12,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,HERNDON,VA,20171,USA,51059,FAIRFAX,51,0.999486,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
M46UYYHVH4B1,,"AFFIGENT, LLC",VA,NBEWZB8LQ8Z5,,"INUTEQ, LLC",W912DY14F0095,135378.76,2017-08-31,2017,541512,,PWS4.5 NETWORK OPS SPT,both_sides_native,2026-08-05,HTR5-00022,https://www.usaspending.gov/award/CONT_AWD_W912DY14F0095_9700_GS06F0605Z_4730/,KW9NCQ8W64S4,,NANA REGIONAL CORPORATION INC,CY16XXPHX213,,ASRC FEDERAL HOLDING COMPANY  LLC,COMPUTER SYSTEMS DESIGN SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_W912DY14F0095_9700_GS06F0605Z_4730,108833407.61,0.0012,,,2017,A,A,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE ARMY,primary,2026-08-06,174610.17,1.28979,2025,CE-00078-KR,046F1B58-FCBC-11EF-8E2A-E7034F2D18CD,11,2017-11-29 00:00:00+00,recovered_unique,046F1B58-FCBC-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-00078-KR,CE-0007G-30,24033,PRINCE GEORGE'S,24,51059,FAIRFAX,51,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,HERNDON,VA,20171,USA,51059,FAIRFAX,51,0.999486,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
KWU1UHG2JGG6,,"SOLUTIONS71, LLC",VA,RKJRNHS4MCH4,,"NORTHTIDE GROUP, LLC",FA877117C0005,114214.40,2018-02-27,2018,541519,,PROVIDE NETWORK ADMINISTRATOR,both_sides_native,2026-08-05,NT18.0018,https://www.usaspending.gov/award/CONT_AWD_FA877117C0005_9700_-NONE-_-NONE-/,JVECDKERKEJ3,,THE EYAK CORP,RKJRNHS4MCH4,,EYAK CORPORATION,OTHER COMPUTER RELATED SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_FA877117C0005_9700_-NONE-_-NONE-,708036.58,0.1613,,,2019,B,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE AIR FORCE,primary,2026-08-06,144013.28,1.260903,2025,CE-0008V-A3,073AD30C-FCB9-11EF-8E2A-E7034F2D18CD,1,2019-01-31 00:00:00+00,recovered_unique,073AD30C-FCB9-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0008V-A3,CE-0008V-A3,51107,LOUDOUN,51,51107,LOUDOUN,51,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,DULLES,VA,20166,USA,51107,LOUDOUN,51,0.999552,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
LJJWK5BTBG99,,"BOWHEAD SCIENCE AND TECHNOLOGY, LLC",VA,LP58KKM2GJF8,,"CHUGACH INFORMATION TECHNOLOGY, INC.",N6523618F3075,1126982.93,2018-05-24,2018,541330,,"PROVIDE CHUGACH/SPAWAR WITH PERFORMANCE BASED LOGISTICS ORGANIC&NBSP; SUPPPORT IN CHARLESTON SOUTH CAROLINA FACILITIES. MOD-01, 1/17/19: INCREASE CEILING AND ADD INCREMENTAL FUNDING.",both_sides_native,2026-08-05,SC-C-AV057-0001,https://www.usaspending.gov/award/CONT_AWD_N6523618F3075_9700_N0017815D8134_9700/,LJJWK5BTBG99,,"BOWHEAD SCIENCE AND TECHNOLOGY, LLC",LP58KKM2GJF8,,CHUGACH INFORMATION TECHNOLOGY  INC.,ENGINEERING SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_N6523618F3075_9700_N0017815D8134_9700,2909490.24,0.3873,,,2019,B,A,"ALASKAN NATIVE CORPORATION OWNED FIRM,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE NAVY,primary,2026-08-06,1421016.16,1.260903,2025,CE-0007C-BW,E75E378E-FCBA-11EF-8E2A-E7034F2D18CD,1,2019-01-28 00:00:00+00,recovered_unique,E75E378E-FCBA-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0007C-BW,CE-0009Z-7Q,02020,ANCHORAGE,02,45019,CHARLESTON,45,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,ALEXANDRIA,VA,22311,USA,51510,ALEXANDRIA (CITY),51,0.980036,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
V6HJJE6A2CC4,,"BERING SEA ECCOTECH, LLC",AK,J4NXZFGSEBF4,,"BERING SEA ENVIRONMENTAL, LLC",W9133L16C0091,217505.10,2017-10-10,2018,541513,,SUPPORT OF CRTC ACTS CONTRACT,both_sides_native,2026-08-05,S.315011.1.BSE.16,https://www.usaspending.gov/award/CONT_AWD_W9133L16C0091_9700_-NONE-_-NONE-/,JTT1TMUBS2N5,,TANADGUSIX CORPORATION,ZS99E3ARAZG1,,BERING SEA ENVIRONMENTAL  LLC,COMPUTER FACILITIES MANAGEMENT SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_W9133L16C0091_9700_-NONE-_-NONE-,26245202.05,0.0083,,,2018,B,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,NATIVE AMERICAN OWNED",DEPT OF THE ARMY,primary,2026-08-06,274252.83,1.260903,2025,CE-00079-SH,07A5E07C-FCBC-11EF-8E2A-E7034F2D18CD,3,2018-03-22 00:00:00+00,recovered_unique,07A5E07C-FCBC-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-00079-SH,CE-00079-SH,02020,ANCHORAGE,02,12103,PINELLAS,12,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,ANCHORAGE,AK,99503,USA,02020,ANCHORAGE,02,0.998952,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
KWU1UHG2JGG6,,"SOLUTIONS71, LLC",VA,RKJRNHS4MCH4,,"NORTHTIDE GROUP, LLC",W52P1J18F0072,147596.80,2018-10-22,2019,541519,,PROVIDE PROGRAM ADMINISTRATION SPECIALISTS,both_sides_native,2026-08-05,NT18.0049,https://www.usaspending.gov/award/CONT_AWD_W52P1J18F0072_9700_W52P1J18D0076_9700/,JVECDKERKEJ3,,THE EYAK CORP,JVECDKERKEJ3,,EYAK CORPORATION,OTHER COMPUTER RELATED SERVICES,,Department of Defense (DOD),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_W52P1J18F0072_9700_W52P1J18D0076_9700,13011468.39,0.0113,,,2019,B,B,"ALASKAN NATIVE CORPORATION OWNED FIRM,MINORITY-OWNED BUSINESS,SELF-CERTIFIED SMALL DISADVANTAGED BUSINESS,FOR-PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY,NATIVE AMERICAN OWNED",DEPT OF THE ARMY,primary,2026-08-06,183083.94,1.240433,2025,CE-0008V-A3,79D11A3C-FCBB-11EF-8E2A-E7034F2D18CD,2,2019-02-01 00:00:00+00,recovered_group_bijection,79D11A3C-FCBB-11EF-8E2A-E7034F2D18CD,sam_subaward_report_id,CE-0008V-A3,CE-0008V-A3,51107,LOUDOUN,51,51107,LOUDOUN,51,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,DULLES,VA,20166,USA,51107,LOUDOUN,51,0.999552,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
CXTLBKAXP5Y7,,HOPI TRIBE,AZ,YZCLNX5DTCM4,,"EQM SERVICES, LLC",140A1621F0154,95000.00,2025-03-18,2025,238910,,LANDFILL DISPOSAL,both_sides_native,2026-08-05,800245,https://www.usaspending.gov/award/CONT_AWD_140A1621F0154_1450_140A1621D0016_1450/,CXTLBKAXP5Y7,,HOPI TRIBE,YZCLNX5DTCM4,,EQM SERVICES  LLC,SITE PREPARATION CONTRACTORS,,Department of the Interior (DOI),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_140A1621F0154_1450_140A1621D0016_1450,6478819.65,0.0147,,,2025,B,A,"TRIBAL GOVERNMENT,COUNCIL OF GOVERNMENTS,INDIAN TRIBE (FEDERALLY RECOGNIZED)",BUREAU OF INDIAN AFFAIRS,primary,2026-08-06,95000.0,1.0,2025,CE-00078-KR,F59B5DB8-ED51-431F-9BAD-995460246102,4,2025-04-23 00:00:00+00,recovered_unique,F59B5DB8-ED51-431F-9BAD-995460246102,sam_subaward_report_id,CE-00078-KR,CE-00153-F4,39061,HAMILTON,39,04005,COCONINO,04,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,KYKOTSMOVI VILLAGE,AZ,86039,USA,04017,NAVAJO,04,0.996400,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
XG32CSGYKGM8,,"CHEROKEE STRATEGIC SOLUTIONS, L.L.C.",OK,FMWVU3EYSVF7,,"CHEROKEE NATION SYSTEM SOLUTIONS, LLC",140G0120F0546,379050.00,2024-10-01,2025,541990,,SCIENCE AND TECHNICAL SUPPORT SERVICES,both_sides_native,2026-08-05,SUB-006547,https://www.usaspending.gov/award/CONT_AWD_140G0120F0546_1434_140G0120D0021_1434/,X1VVTNMDE2F5,,"CHEROKEE NATION RED WING, L.L.C.",TBAHL1WANLF3,,CHEROKEE NATION SYSTEM SOLUTIONS LLC,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,Department of the Interior (DOI),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_140G0120F0546_1434_140G0120D0021_1434,777898.71,0.4873,,,2026,A,A,"BUSINESS OR ORGANIZATION,MINORITY-OWNED BUSINESS,NATIVE AMERICAN OWNED,INDIAN ECONOMIC ENTERPRISE,TRIBALLY OWNED FIRM,FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",US GEOLOGICAL SURVEY,primary,2026-08-06,379050.0,1.0,2025,CE-00134-BX,FF55076B-07FC-4F6E-A72B-5E0E7F2B42D9,7,2026-07-13 00:00:00+00,recovered_unique,FF55076B-07FC-4F6E-A72B-5E0E7F2B42D9,sam_subaward_report_id,CE-00134-BX,CE-00134-BX,40143,TULSA,40,12001,ALACHUA,12,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,TULSA,OK,74103,USA,40143,TULSA,40,0.996485,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
XG32CSGYKGM8,,"CHEROKEE STRATEGIC SOLUTIONS, L.L.C.",OK,FMWVU3EYSVF7,,"CHEROKEE NATION SYSTEM SOLUTIONS, LLC",140G0121F0456,199641.60,2024-10-01,2025,541990,,SCIENCE AND TECHNICAL SUPPORT SERVICES.,both_sides_native,2026-08-05,SUB-006543,https://www.usaspending.gov/award/CONT_AWD_140G0121F0456_1434_140G0120D0021_1434/,X1VVTNMDE2F5,,"CHEROKEE NATION RED WING, L.L.C.",FMWVU3EYSVF7,,CHEROKEE NATION SYSTEM SOLUTIONS LLC,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",,Department of the Interior (DOI),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_140G0121F0456_1434_140G0120D0021_1434,1450454.41,0.1376,,,2026,A,A,"BUSINESS OR ORGANIZATION,MINORITY-OWNED BUSINESS,NATIVE AMERICAN OWNED,INDIAN ECONOMIC ENTERPRISE,TRIBALLY OWNED FIRM,FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY",US GEOLOGICAL SURVEY,primary,2026-08-06,199641.6,1.0,2025,CE-00134-BX,0F878267-EBF2-49D0-88FD-2469651E53DF,7,2026-07-13 00:00:00+00,recovered_unique,0F878267-EBF2-49D0-88FD-2469651E53DF,sam_subaward_report_id,CE-00134-BX,CE-00134-BX,40143,TULSA,40,22055,LAFAYETTE,22,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,TULSA,OK,74103,USA,40143,TULSA,40,0.996485,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
CVEMGYV2YJW1,,CHEROKEE NATION DEFENSE SOLUTIONS LLC,OK,PQNNHF72NNM6,,"CHEROKEE NATION STRATEGIC PROGRAMS, L.L.C.",89503025FWA400977,2016313.86,2025-03-27,2025,541330,,"SERVICES INCLUDE ELECTRICAL, CIVIL, ARCHITECTURAL, CONTROLS, COMMUNICATIONS AND STUDIES.",both_sides_native,2026-08-05,SUB-006779,https://www.usaspending.gov/award/CONT_AWD_89503025FWA400977_8900_GS00Q14OADS110_4732/,TBAHL1WANLF3,,CHEROKEE NATION,TBAHL1WANLF3,,CHEROKEE NATION BUSINESSES LLC,ENGINEERING SERVICES,,Department of Energy (DOE),,,subaward_date,usaspending_fsrs_pull,full_federal_subaward_universe,contract,sub-contract,CONT_AWD_89503025FWA400977_8900_GS00Q14OADS110_4732,8872373.00,0.2273,,,2026,A,A,"BUSINESS OR ORGANIZATION,MINORITY-OWNED BUSINESS,INDIAN ECONOMIC ENTERPRISE,NATIVE AMERICAN OWNED,TRIBALLY OWNED FIRM,FOR PROFIT ORGANIZATION,LIMITED LIABILITY COMPANY","ENERGY, DEPARTMENT OF",primary,2026-08-06,2016313.86,1.0,2025,CE-00134-BX,A686CBDC-74E9-404C-8D27-01664073D3D4,7,2026-07-08 00:00:00+00,recovered_unique,A686CBDC-74E9-404C-8D27-01664073D3D4,sam_subaward_report_id,CE-00134-BX,CE-00134-BX,40143,TULSA,40,08059,JEFFERSON,08,exact_award_summary,usaspending_prime_award_summary_on_prime_award_unique_key,closed 2026-09-02 by code/1109_subawardee_geo_promote: subawardee county derived from the subawardee's own ZIP in the staged FSRS extract,2026-09-02,TULSA,OK,74103,USA,40143,TULSA,40,0.996485,1,subawardee_zip5_from_fsrs_extract_via_subaward_sam_report_id_1109
